OPR_DESC_TXT,BUS_SVC_NO_TXT,BUS_DIRCTN_TXT,BUS_ROUTE_SEQ_NUM,RD_NAM,BUS_STOP_DESC_TXT,OP_HR_1_TXT,OP_HR_2_TXT,ORIG_DEST_TXT,FARE_TXT,SVC_IND_CD,LATTD_TXT,LONGTD_TXT,BUS_STOP_CD,NO_SVC_IND,WEBSITE_TXT,CONTACT_TXT
"The MCST Plan No. 1895","-","1","1","Cactus Drive","Grande Vista Condomium","6.15am to 6.45pm (Monday to Friday, No Service on Public Holidays)","7.00am to 7.45pm (Saturday to Sunday, No Service on Public Holidays)","Grande Vista Condominium to Yio Chu Kang / Ang Mo Kio Station","$2.00 ","PREMIUM","1.38880600000000","103.85241800000000",,"Y",,"26 Cactus Drive #01-01 Singapore 809695 Tel: 64834929 Fax: 64835725"
"The MCST Plan No. 1895","-","1","2","Ang Mo Kio Avenue 6","Bus stop outside Yio Chu Kang MRT Station","6.15am to 6.45pm (Monday to Friday, No Service on Public Holidays)","7.00am to 7.45pm (Saturday to Sunday, No Service on Public Holidays)","Grande Vista Condominium to Yio Chu Kang / Ang Mo Kio Station","$2.00 ","PREMIUM","1.38261995800000","103.84383840000000","55189","Y",,"26 Cactus Drive #01-01 Singapore 809695 Tel: 64834929 Fax: 64835725"
"The MCST Plan No. 1895","-","1","3","Ang Mo Kio Avenue 3","Bus stop outside Ang Mo Kio MRT Station","6.15am to 6.45pm (Monday to Friday, No Service on Public Holidays)","7.00am to 7.45pm (Saturday to Sunday, No Service on Public Holidays)","Grande Vista Condominium to Yio Chu Kang / Ang Mo Kio Station","$2.00 ","PREMIUM","1.36946941900000","103.85075450000000","54261","Y",,"26 Cactus Drive #01-01 Singapore 809695 Tel: 64834929 Fax: 64835725"
"ComfortDelgro Bus","-","1","1","Rhu Cross","Outside Costa Rhu Condominium","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.29664000000000","103.86759000000000",,"Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
"ComfortDelgro Bus","-","1","2","Tanjong Rhu Road","Outside No. 130-136 Pebble Bay Condominium","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.29716000000000","103.87048000000000",,"Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
"ComfortDelgro Bus","-","1","3","Tanjong Rhu Road","Outside Pebble Bay Condominium","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.29719000000000","103.87131000000000",,"Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
"ComfortDelgro Bus","-","1","4","Tanjong Rhu Road","Outside Camelot Condominium","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.29728000000000","103.87545000000000",,"Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
"ComfortDelgro Bus","-","1","5","Tanjong Rhu Road","Outside Dunman High School","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.29802000000000","103.88203000000000",,"Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
"ComfortDelgro Bus","-","1","6","Robinson Road","Bus stop after Capital Tower","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.27782595360790","103.84810117197290","03111","Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
"ComfortDelgro Bus","-","1","7","Robinson Road","Outside GMG Building","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.27945000000000","103.84915000000000",,"Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
"ComfortDelgro Bus","-","1","8","Fullerton Road","Bus stop outside Fullerton Square","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.28559758900000","103.85333600000000","03011","Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
"ComfortDelgro Bus","-","1","9","Temasek Boulevard","Bus stop outside Suntec Convention Centre","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.29317776300000","103.85784620000000","02151","Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
"ComfortDelgro Bus","-","2","1","Robinson Road","Bus stop after Capital Tower","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.27782595360790","103.84810117197290","03111","Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
"ComfortDelgro Bus","-","2","2","Robinson Road","Outside GMG Building","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.27945000000000","103.84915000000000",,"Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
"ComfortDelgro Bus","-","2","3","Fullerton Road","Bus stop outside Fullerton Square","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.28559758900000","103.85333600000000","03011","Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
"ComfortDelgro Bus","-","2","4","Temasek Boulevard","Bus stop outside Suntec Convention Centre","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.29317776300000","103.85784620000000","02151","Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
"ComfortDelgro Bus","-","2","5","Tanjong Rhu Road","Outside The Waterside Condominium","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.29803000000000","103.88352000000000",,"Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
"ComfortDelgro Bus","-","2","6","Tanjong Rhu Road","Outside Camelot Condominium","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.29728000000000","103.87545000000000",,"Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
"ComfortDelgro Bus","-","2","7","Tanjong Rhu Road","Bus stop opposite Pebble Bay Condominium","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.29709000000000","103.87122000000000",,"Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
"ComfortDelgro Bus","-","2","8","Tanjong Rhu Road","Bus stop outside Park Shore Condominium","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.29706000000000","103.87034000000000",,"Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
"ComfortDelgro Bus","-","2","9","Rhu Cross","Outside Costa Rhu Condominium","Morning: 8.00am to 9.40am (Monday to Friday)","Evening: 6.00pm to 8.00pm (Monday to Friday)","Tanjong Rhu to Shenton Way / Suntec City","$4.00","PREMIUM","1.29664000000000","103.86759000000000",,"Y","http://www.comfortdelgrobus.com.sg/premium.htm","205 Braddell Road, Block C, Ext 2, Level 3 Singapore 579701 Tel: 6553 3838 Fax: 6456 0922 Email: enquiry@comfortdelgrobus.com.sg"
