Beds,Bathrooms,LivingArea,PlotArea,AskPrice,Description,BuiltYear,Tenure,Property,FloorLevel,Latitude,Longitude,PropertyType,Floor,LeaseYearsLeft,Freehold,DistanceMRT,DistanceCBD,PlanningArea,Region,PriceSqft,Overlooking,Facing
3,2,1259,,599888,HDB Flat for Sale in 113 Depot Road,1976,99,HDB 3 Rooms ,,1.2814199,103.80729,HDB,,53,0,1.1671427,5.067095542025141,BUKIT MERAH,CENTRAL REGION,476.47974,Not mentioned,.
2,1,603,,318000,HDB Flat for Sale in 6 Jalan Bukit Ho Swee,1971,99,HDB 3 Rooms ,Mid,1.2876387,103.83144,HDB,Mid,48,0,.46112049,2.542007718876717,BUKIT MERAH,CENTRAL REGION,527.36316,Not mentioned,.
4,4,1496,,2638000,4 Bed Condo for Sale in Avenue South Residence,2023,99,Condo,,1.2764318,103.82967,Condo,,100,0,1.0282778,2.592204809714282,BUKIT MERAH,CENTRAL REGION,1763.369,Not mentioned,.
2,1,581,,380000,HDB Flat for Sale in 18 Taman Ho Swee,1970,99,HDB 3 Rooms ,High,1.2880987,103.83103,HDB,High,47,0,.43752638,2.603198032726083,BUKIT MERAH,CENTRAL REGION,654.04474,Not mentioned,North South
4,3,1001,,2088888,4 Bed Condo for Sale in Echelon,2016,99,Condo,Low (46 total),1.29079,103.81806,Condo,Ground,93,0,.16997699,4.062738209151309,BUKIT MERAH,CENTRAL REGION,2086.8013,Pool view,North
3,2,915,,785000,HDB Flat for Sale in 21 Jalan Membina,2003,99,HDB 4 Rooms ,,1.2850865,103.82578,HDB,,80,0,.15341,3.068703170607082,BUKIT MERAH,CENTRAL REGION,857.92352,Not mentioned,.
3,2,1281,,749999,HDB Flat for Sale in 140 Jalan Bukit Merah,1979,99,HDB 5 Rooms ,,1.2781562,103.82952,HDB,,56,0,.88673389,2.591803077550253,BUKIT MERAH,CENTRAL REGION,585.47931,Not mentioned,.
3,2,1270,,728000,HDB Flat for Sale in 53 Telok Blangah Drive,1978,99,HDB 5 Rooms ,High,1.2742981,103.81143,HDB,High,55,0,.43143937,4.635961229600287,BUKIT MERAH,CENTRAL REGION,573.22833,Not mentioned,.
3,2,1539,,2800000,3 Bed Condo for Sale in Reflections At Keppel Bay,2011,99,Condo,,1.266854,103.81164,Condo,,88,0,.47009417,4.784539518609329,BUKIT MERAH,CENTRAL REGION,1819.3633,Not mentioned,.
4,4,1496,,2901000,4 Bed Condo for Sale in Avenue South Residence,2023,99,Condo,,1.2764318,103.82967,Condo,,100,0,1.0282778,2.592204809714282,BUKIT MERAH,CENTRAL REGION,1939.1711,Not mentioned,.
1,1,570,,1511000,1 Bed Condo for Sale in Corals At Keppel Bay,2016,99,Condo,High (10 total),1.2651784,103.81636,Condo,High,93,0,.46191493,4.347955963000712,BUKIT MERAH,CENTRAL REGION,2650.8772,Greenery view,South
3,2,1238,,928000,HDB Flat for Sale in 6B Boon Tiong Road,2005,99,HDB 5 Rooms ,,1.286546,103.83083,HDB,,82,0,.37076125,2.566732471768779,BUKIT MERAH,CENTRAL REGION,749.59613,Not mentioned,.
3,2,1280,,900000,HDB Flat for Sale in 1 Delta Avenue,1983,99,HDB 5 Rooms ,,1.2920753,103.82858,HDB,,60,0,.64315462,3.034340571282984,BUKIT MERAH,CENTRAL REGION,703.125,Not mentioned,.
2,1,657,,1511000,2 Bed Condo for Sale in Avenue South Residence,2023,99,Condo,,1.2764318,103.82967,Condo,,100,0,1.0282778,2.592204809714282,BUKIT MERAH,CENTRAL REGION,2299.8479,Sea view,North South
3,2,1184,,1080000,HDB Flat for Sale in 11 Cantonment Close,2002,99,HDB 5 Rooms ,High,1.2744261,103.83967,HDB,High,79,0,.50008154,1.559794670879256,BUKIT MERAH,CENTRAL REGION,912.16217,Not mentioned,North South
3,1,882,,468888,HDB Flat for Sale in 27 Telok Blangah Way,1976,99,HDB 4 Rooms ,,1.2744687,103.82147,HDB,,53,0,.93874902,3.526594071733514,BUKIT MERAH,CENTRAL REGION,531.61902,Not mentioned,.
1,2,947,,480000,HDB Flat for Sale in 63 Telok Blangah Heights,1976,99,HDB 3 Rooms ,High,1.2748313,103.81094,HDB,High,53,0,.46954834,4.683144298598199,BUKIT MERAH,CENTRAL REGION,506.86377,Not mentioned,North West
3,2,1238,,948000,HDB Flat for Sale in 77A Redhill Road,2005,,HDB 3 Rooms ,,1.2883811,103.81739,HDB,,,,.11799232,4.060791792235253,BUKIT MERAH,CENTRAL REGION,765.75122,Not mentioned,.
3,2,1345,,2650000,3 Bed Condo for Sale in Reflections At Keppel Bay,2011,99,Condo,,1.266854,103.81164,Condo,,88,0,.47009417,4.784539518609329,BUKIT MERAH,CENTRAL REGION,1970.2603,Not mentioned,.
2,2,893,,480000,HDB Flat for Sale in 122 Bukit Merah Lane 1,1979,99,HDB 3 Rooms ,High,1.2864588,103.8042,HDB,High,56,0,.88904846,5.461873038691169,BUKIT MERAH,CENTRAL REGION,537.51398,Not mentioned,South
2,2,753,,1565000,2 Bed Condo for Sale in The Reef At King&#x27;s Dock,2025,99,Condo,,1.2651302,103.81738,Condo,,102,0,.34813941,4.244088481749881,BUKIT MERAH,CENTRAL REGION,2078.3533,Not mentioned,.
3,2,1237,,880000,HDB Flat for Sale in 75C Redhill Road,2007,,HDB 5 Rooms ,High,1.2890232,103.81628,HDB,High,,,.088581711,4.198511144481964,BUKIT MERAH,CENTRAL REGION,711.39856,Not mentioned,.
2,2,893,,2000000,2 Bed Condo for Sale in The Reef At King&#x27;s Dock,2025,99,Condo,,1.2651302,103.81738,Condo,,102,0,.34813941,4.244088481749881,BUKIT MERAH,CENTRAL REGION,2239.6416,Not mentioned,.
