Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2020,2,1,0,0,0,0,28.3,32,26.2,17.6,38.5
Changi,2020,2,2,0,0,0,0,27.9,31.8,26.6,16.9,40.3
Changi,2020,2,3,0,0,0,0,28,31.5,25.6,13,34.6
Changi,2020,2,4,0,0,0,0,27.5,31.5,24.6,11.2,31
Changi,2020,2,5,0,0,0,0,27.8,32.3,24.5,12.2,33.8
Changi,2020,2,6,0,0,0,0,28.1,32.2,25.6,14.4,35.3
Changi,2020,2,7,0,0,0,0,28,31.3,25.9,14.4,41
Changi,2020,2,8,0,0,0,0,27.7,31.4,24.7,9.7,30.2
Changi,2020,2,9,14.6,4.8,5.2,8.6,26.2,29.8,23.7,7.2,34.6
Changi,2020,2,10,0,0,0,0,27,30.9,24.2,9.4,29.5
Changi,2020,2,11,23.8,20.4,20.8,20.8,26.9,30.4,24.6,7.6,33.1
Changi,2020,2,12,0,0,0,0,27.9,31.9,25.4,10.4,28.8
Changi,2020,2,13,0,0,0,0,28.4,32.2,26.1,13.7,35.3
Changi,2020,2,14,0,0,0,0,28.4,31.9,26.1,13.3,31.7
Changi,2020,2,15,0,0,0,0,28.3,32.7,25.1,8.6,23.4
Changi,2020,2,16,0,0,0,0,28.2,32.8,25.9,8.6,29.9
Changi,2020,2,17,0,0,0,0,28.6,33.1,25.9,13,36.4
Changi,2020,2,18,1.6,1.4,1.4,1.4,26.8,30.7,24.3,10.4,39.2
Changi,2020,2,19,0.6,0.6,0.6,0.6,28.1,31.9,26,15.5,38.5
Changi,2020,2,20,3.6,3.2,3.2,3.4,27.8,32,24.9,14,41
Changi,2020,2,21,15.8,5,6,7.6,27.2,30.5,24.1,13.3,42.8
Changi,2020,2,22,0.4,0.2,0.4,0.4,28.2,31.7,25.8,16.6,46.4
Changi,2020,2,23,0,0,0,0,28.1,31.7,24.7,17.3,43.9
Changi,2020,2,24,4.6,3.2,3.2,4,27,30.6,25.1,14,45.7
Changi,2020,2,25,0,0,0,0,28.2,31.9,25.7,14,36.7
Changi,2020,2,26,0,0,0,0,28.4,32.2,25.7,14.4,37.8
Changi,2020,2,27,0,0,0,0,28.3,32.5,25.7,13,33.5
Changi,2020,2,28,0,0,0,0,28.4,32.3,26.3,15.1,35.3
Changi,2020,2,29,0,0,0,0,28.2,31.8,25.7,14.4,39.2
