Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2020,8,1,     0.0,     0.0,     0.0,     0.0,    28.5,    30.4,    26.0,    12.3,    40.7
Changi,2020,8,2,     0.0,     0.0,     0.0,     0.0,    28.9,    31.7,    26.9,    10.3,    31.5
Changi,2020,8,3,     0.0,     0.0,     0.0,     0.0,    29.2,    31.7,    27.2,    12.0,    31.5
Changi,2020,8,4,     4.8,     4.6,     4.8,     4.8,    27.9,    30.2,    24.1,     8.8,    44.4
Changi,2020,8,5,     0.0,     0.0,     0.0,     0.0,    28.8,    31.8,    26.7,     8.6,    25.9
Changi,2020,8,6,     0.0,     0.0,     0.0,     0.0,    29.2,    31.4,    27.6,     8.1,    27.8
Changi,2020,8,7,     0.0,     0.0,     0.0,     0.0,    29.4,    32.7,    27.3,    11.4,    29.6
Changi,2020,8,8,     0.0,     0.0,     0.0,     0.0,    29.7,    32.9,    27.6,    11.0,    27.8
Changi,2020,8,9,     0.0,     0.0,     0.0,     0.0,    29.6,    32.8,    27.7,    12.3,    31.5
Changi,2020,8,10,     0.0,     0.0,     0.0,     0.0,    29.7,    33.0,    27.8,    12.9,    33.3
Changi,2020,8,11,     0.0,     0.0,     0.0,     0.0,    29.5,    32.7,    28.2,    11.0,    31.5
Changi,2020,8,12,     0.0,     0.0,     0.0,     0.0,    27.9,    30.0,    26.8,     8.7,    31.5
Changi,2020,8,13,    34.6,    22.2,    30.8,    33.4,    28.3,    32.2,    22.5,     6.4,    40.7
Changi,2020,8,14,    13.8,     7.2,    12.2,    12.6,    25.9,    28.5,    23.4,     5.1,    35.2
Changi,2020,8,15,     0.0,     0.0,     0.0,     0.0,    28.0,    31.5,    24.6,     6.5,    25.9
Changi,2020,8,16,     0.0,     0.0,     0.0,     0.0,    28.0,    30.0,    26.4,     8.0,    27.8
Changi,2020,8,17,     5.2,     4.0,     4.6,     4.6,    27.4,    31.4,    24.3,     6.2,    29.6
Changi,2020,8,18,     2.0,     1.0,     1.0,     2.0,    27.1,    30.1,    25.3,     6.4,    48.2
Changi,2020,8,19,     1.8,     1.4,     1.6,     1.8,    28.0,    31.3,    25.4,     5.7,    25.9
Changi,2020,8,20,     2.2,     2.0,     2.0,     2.0,    28.1,    31.9,    25.5,    10.6,    37.0
Changi,2020,8,21,     0.0,     0.0,     0.0,     0.0,    29.6,    33.0,    27.7,    15.2,    31.5
Changi,2020,8,22,     2.0,     1.4,     1.6,     1.6,    27.9,    32.1,    25.3,     9.3,    38.9
Changi,2020,8,23,    24.4,     8.2,    11.2,    15.2,    25.6,    27.0,    23.0,     5.1,    48.2
Changi,2020,8,24,     0.0,     0.2,     0.2,     0.2,    28.1,    32.4,    24.5,     9.0,    33.3
Changi,2020,8,25,     0.0,     0.0,     0.0,     0.0,    27.9,    31.9,    25.7,     8.6,    44.4
Changi,2020,8,26,     4.6,     4.4,     4.6,     4.6,    27.0,    31.3,    24.0,     9.6,    51.9
Changi,2020,8,27,     1.4,     1.4,     1.4,     1.4,    27.8,    30.4,    25.6,     8.4,    27.8
Changi,2020,8,28,     0.0,     0.0,     0.0,     0.0,    28.9,    32.3,    26.2,     9.6,    33.3
Changi,2020,8,29,     6.6,     2.8,     3.4,     4.8,    27.2,    30.8,    25.1,     8.0,-
Changi,2020,8,30,     0.0,     0.0,     0.0,     0.0,    28.6,    32.1,    26.4,    11.2,    35.2
Changi,2020,8,31,     0.0,     0.0,     0.0,     0.0,    29.0,    32.2,    27.2,    11.7,    29.6
