"","Items","Findings","Cause","Area","Discipline","S","Interventions","NPV_shorterm"
"1","Roof Fabric Sheet, Roof Trusses,  Main-Lateral-Frame-System","Structural code used for the design was oudated - may not comply to current standards for wind and seismic loadings","Aging","Terminal 1","Architectural","4","Conduct structural evaluation to comply with the current structural code of the philippines
May undergo retrofitting to increase the strength and meet the requirements for current structural code of the philippines",2.5e+07
"2","Ceiling Tiles","1) Uneven ceiling surface/sagging of ceiling boards
2) Stains on the ceiling/discoloration
Due to aging that reach its end-of-life","Aging","Terminal 1","Architectural","4","Replacement of ceiling and proper disposal of the existing",3069324
"3","Ceiling Tiles","1) Uneven ceiling surface/sagging of ceiling boards
2) Stains on the ceiling/discoloration
Due to aging that reach its end-of-life","Aging","Terminal 1","Architectural","4","Replacement of ceiling and proper disposal of the existing",3069072
"4","Ceiling Tiles","1) Uneven ceiling surface/sagging of ceiling boards
2) Stains on the ceiling/discoloration
Due to aging that reach its end-of-life","Aging","Terminal 1","Architectural","4","Replacement of ceiling and proper disposal of the existing",3060054
"5","Ceiling Tiles","1) Uneven ceiling surface/sagging of ceiling boards
2) Stains on the ceiling/discoloration
Due to aging that reach its end-of-life","Aging","Terminal 1","Architectural","4","Replacement of ceiling and proper disposal of the existing",3055842
"6","Ceiling Tiles","1) Uneven ceiling surface/sagging of ceiling boards
2) Stains on the ceiling/discoloration
Due to aging that reach its end-of-life","Aging","Terminal 1","Architectural","4","Replacement of ceiling and proper disposal of the existing",2576772
"7","Ceiling Tiles","1) Uneven ceiling surface/sagging of ceiling boards
2) Stains on the ceiling/discoloration
Due to aging that reach its end-of-life","Aging","Terminal 1","Architectural","4","Replacement of ceiling and proper disposal of the existing",2570544
"8","Ceiling Tiles","1) Uneven ceiling surface/sagging of ceiling boards
2) Stains on the ceiling/discoloration
Due to aging that reach its end-of-life","Aging","Terminal 1","Architectural","4","Replacement of ceiling and proper disposal of the existing",2503296
"9","Ceiling Tiles","1) Uneven ceiling surface/sagging of ceiling boards
2) Stains on the ceiling/discoloration
Due to aging that reach its end-of-life","Aging","Terminal 1","Architectural","4","Replacement of ceiling and proper disposal of the existing",2501820
"10","Ceiling Tiles","1) Uneven ceiling surface/sagging of ceiling boards
2) Stains on the ceiling/discoloration
Due to aging that reach its end-of-life","Aging","Terminal 1","Architectural","4","Replacement of ceiling and proper disposal of the existing",2500344
"11","Ceiling Tiles","1) Uneven ceiling surface/sagging of ceiling boards
2) Stains on the ceiling/discoloration
Due to aging that reach its end-of-life","Aging","Terminal 1","Architectural","4","Replacement of ceiling and proper disposal of the existing",2490372
"12","Ceiling Tiles","1) Uneven ceiling surface/sagging of ceiling boards
2) Stains on the ceiling/discoloration
Due to aging that reach its end-of-life","Aging","Terminal 1","Architectural","4","Replacement of ceiling and proper disposal of the existing",2490138
"13","Ceiling Tiles","1) Uneven ceiling surface/sagging of ceiling boards
2) Stains on the ceiling/discoloration
Due to aging that reach its end-of-life","Aging","Terminal 1","Architectural","4","Replacement of ceiling and proper disposal of the existing",2489022
"14","Ceiling Tiles","1) Uneven ceiling surface/sagging of ceiling boards
2) Stains on the ceiling/discoloration
Due to aging that reach its end-of-life","Aging","Terminal 1","Architectural","4","Replacement of ceiling and proper disposal of the existing",2441520
"15","Ceiling Tiles","1) Uneven ceiling surface/sagging of ceiling boards
2) Stains on the ceiling/discoloration
Due to aging that reach its end-of-life","Aging","Terminal 1","Architectural","4","Replacement of ceiling and proper disposal of the existing",2378826
