"","Items","Findings","Cause","Area","Discipline","S","Interventions","NPV_shorterm"
"1","Pavement","1) Longitudinal and Transverse Cracks","Deterioration","Airside","Civil","3","Crack sealing",540000
"2","Pavement","1) Longitudinal and Transverse Cracks","Deterioration","Airside","Civil","3","Crack sealing",540000
"3","Pavement","1) Longitudinal and Transverse Cracks","Deterioration","Airside","Civil","3","Crack sealing",432000
"4","Pavement","1) Longitudinal and Transverse Cracks","Deterioration","Airside","Civil","3","Crack sealing",432000
"5","Pavement","1) Longitudinal and Transverse Cracks
2) Ponding of water possibly due to uneven surface","Deterioration","Airside","Civil","3","Repair the cracked areas with epoxy injection and level area to suite the design slope of the apron pavement",364500
"6","Pavement","1) Longitudinal and Transverse Cracks","Deterioration","Airside","Civil","3","Crack sealing",324000
"7","Pavement","1) Longitudinal and Transverse Cracks","Deterioration","Airside","Civil","3","Crack sealing",324000
"8","Pavement","1) Longitudinal and Transverse Cracks","Deterioration","Airside","Civil","3","Crack sealing",324000
"9","Pavement","1) Longitudinal and Transverse Cracks","Deterioration","Airside","Civil","3","Crack sealing",324000
"10","Pavement","1) Longitudinal and Transverse Cracks
2) Ponding of water possibly due to uneven surface","Deterioration","Airside","Civil","3","Repair the cracked areas with epoxy injection and level area to suite the design slope of the apron pavement",324000
"11","Pavement","1) Longitudinal and Transverse Cracks","Deterioration","Airside","Civil","3","Crack sealing",324000
"12","Pavement","1) Longitudinal and Transverse Cracks","Deterioration","Airside","Civil","3","Crack sealing",324000
"13","Pavement","1) Longitudinal and Transverse Cracks","Deterioration","Airside","Civil","3","Crack sealing",324000
"14","Pavement","1) Longitudinal and Transverse Cracks","Deterioration","Airside","Civil","3","Crack sealing",324000
"15","Pavement","1) Longitudinal and Transverse Cracks","Deterioration","Airside","Civil","3","Crack sealing",324000
"16","Pavement","1) Longitudinal and Transverse Cracks
2) Ponding of water possibly due to uneven surface","Deterioration","Airside","Civil","3","Repair the cracked areas with epoxy injection and level area to suite the design slope of the apron pavement",324000
