"","Items","Findings","Cause","Area","Discipline","S","Interventions","NPV_shorterm"
"1","Airfield Ground Lighting (by MCIA)","1.) Reported that there is a high possibility of Deteriorated Airfield Ground Lights on runway due to Typhoon Odette.
2.)  Still working however there is a risk of not providing adequate level of services due to low reliability because of aging.","Typhoon","Airside","Electrical","4","replacement of airfield ground lighting",3975000
"2","Electrical Feeder Cables","1.) 10% were damaged by typhoon.
2.) There is a risk of not providing adequate level of services due to low reliability because of aging for remaining.
","Typhoon","Airside","Electrical","5","Renewal of Electrical Feeder Cables",970000
"3","Approach Lighting (by MCIA)","1.) 15% of the Approach Lighting were damaged by the typhoon.
2.)  Still working however there is a risk of not providing adequate level of services due to low reliability because of aging.","Typhoon","Airside","Electrical","4","replacement of approach lighting",731250
"4","Louver","Missing louver pannel due to Odette or Typhoon ""Rai""","Typhoon","Landside","Civil","3","Replacement of detached louvers",533250
"5","Metal Roof","Damage roofing due to Odette or Typhoon ""Rai""","Typhoon","Landside","Architectural","5","Replaced damaged roofing sheet",237000
"6","Metal Roof","Damage roofing due to Odette or Typhoon ""Rai""","Typhoon","Landside","Architectural","5","Replaced damaged roofing sheet",237000
"7","Metal Roof","Damage roofing due to Odette or Typhoon ""Rai""","Typhoon","Landside","Architectural","5","Replaced damaged roofing sheet",79000
"8","PBB 6","Condemned. Parts were cannibalized for other bridges.","Typhoon","Terminal 1","Mechanical","5","Procure parts and restore bridge to ensure equipment is ready for use.",1.5e+07
"9","High Mast Lighting","1.) Power supply for 3 fixed pole were damaged by the typhoon. 
2.) 6 out of 14 poles had defective lightings.
3.) Controls for High Mast Lighting are manual since BMS is not existing on Terminal 1.","Typhoon","Terminal 1","Electrical","5","Replacement of damaged high mast lights
Automation of Monitoring and Control for High Mast Lighting",9187500
"10","Solar Panels","93 out of 17,000 panels were damaged by the typhoon","Typhoon","Terminal 1","Electrical","4","replacement of damaged solar panels",4500000
"11","Directional Signages","90% of the directional signages were damaged by the typhoon.","Typhoon","Terminal 1","Electrical","5","Replacement of directional signages",2130000
