"GeographyCode","CT00100001","CT00100002","CT00100003","CT00100004","CT00100005","CT00100006","CT00100007","CT00100008","CT00100009","CT00100010","CT00100011","CT00100012","CT00100013","CT00100014","CT00100015","CT00100016","CT00100017","CT00100018","CT00100019","CT00100020","CT00100021","CT00100022","CT00100023","CT00100024","CT00100025","CT00100026","CT00100027","CT00100028","CT00100029","CT00100030","CT00100031","CT00100032","CT00100033","CT00100034","CT00100035","CT00100036","CT00100037","CT00100038","CT00100039","CT00100040","CT00100041","CT00100042","CT00100043","CT00100044","CT00100045","CT00100046","CT00100047","CT00100048","CT00100049","CT00100050","CT00100051","CT00100052","CT00100053","CT00100054","CT00100055","CT00100056","CT00100057","CT00100058","CT00100059","CT00100060","CT00100061","CT00100062","CT00100063","CT00100064","CT00100065","CT00100066","CT00100067","CT00100068","CT00100069","CT00100070","CT00100071","CT00100072","CT00100073","CT00100074","CT00100075","CT00100076","CT00100077","CT00100078","CT00100079","CT00100080","CT00100081","CT00100082","CT00100083","CT00100084","CT00100085","CT00100086","CT00100087","CT00100088","CT00100089","CT00100090","CT00100091","CT00100092","CT00100093","CT00100094","CT00100095"
"E01000842",1444,671,45,0,55,7,17,25,3,40,5,0,38,3,31,14,1,4,11,0,0,0,0,4,37,0,0,0,0,1,0,0,0,7,0,0,0,0,0,1,4,20,0,0,0,0,0,49,6,2,0,0,27,6,17,31,0,2,1,0,11,1,1,0,1,0,0,1,59,14,3,126,0,28,0,0,2,0,0,0,0,1,3,0,2,6,0,0,0,0,0,0,0,0,0
"E01000843",1678,789,30,0,45,16,15,35,9,47,6,70,29,0,98,16,1,9,7,6,0,3,0,3,19,2,1,0,1,7,0,1,0,3,2,0,0,0,0,2,3,16,3,0,2,0,0,56,13,13,1,0,9,13,29,27,0,8,9,0,14,2,1,1,2,0,0,1,33,16,0,85,1,12,0,0,2,0,10,0,0,0,0,0,5,12,0,0,0,1,1,5,0,0,0
"E01000844",1772,672,30,0,73,13,6,42,14,92,14,5,91,1,20,19,1,32,7,1,0,2,1,0,44,3,0,0,0,3,0,9,0,11,1,1,0,0,0,15,0,26,0,0,2,0,0,66,9,17,0,1,35,9,44,24,0,4,7,4,6,1,0,0,0,3,0,0,79,10,6,159,1,20,1,0,1,0,0,0,0,4,0,0,1,8,0,1,0,0,0,0,0,0,0
"E01000845",1464,746,36,0,41,13,10,31,17,27,8,34,42,1,58,4,1,6,4,3,0,0,0,2,34,2,0,0,2,0,0,2,0,7,0,0,0,0,0,0,0,13,0,0,5,0,1,42,15,7,2,0,13,2,19,16,0,2,1,2,12,2,0,1,1,0,0,1,52,9,2,91,0,6,0,0,3,0,1,0,0,2,0,0,1,4,0,0,3,0,0,2,0,0,0
"E01000846",1501,585,32,0,42,23,12,20,5,23,16,87,34,4,177,13,8,17,3,7,3,2,0,0,11,1,0,0,4,18,0,0,0,2,0,0,0,1,0,4,0,21,0,0,1,0,0,29,15,7,0,4,18,1,14,5,0,7,38,8,34,3,0,0,0,1,2,3,17,5,8,38,0,12,0,0,4,0,41,0,0,0,0,0,4,2,0,0,5,0,0,0,0,0,0
"E01000847",1686,626,41,4,62,16,21,31,3,79,25,103,42,2,118,26,2,34,4,9,0,1,0,0,12,1,3,0,0,21,0,2,2,2,2,0,1,5,0,0,0,16,3,0,1,0,1,42,19,7,2,0,16,3,11,24,0,7,39,4,14,0,1,1,2,0,0,8,19,7,20,60,0,9,0,0,3,0,33,0,0,1,1,0,1,4,4,0,1,0,0,0,0,1,1
"E01000848",1588,752,26,0,59,5,5,43,4,47,11,4,42,4,21,11,1,33,21,3,0,2,1,1,28,2,0,0,0,0,0,1,1,4,0,0,0,0,0,4,0,32,6,0,2,0,0,71,5,13,2,0,10,8,17,10,0,4,1,1,7,1,1,0,0,0,0,4,49,12,5,140,0,10,0,0,2,0,0,0,0,0,0,0,35,0,0,0,3,0,1,0,0,0,0
"E01000849",1569,707,36,0,64,6,10,32,16,69,9,18,36,3,39,15,2,19,5,1,0,0,0,1,38,1,0,0,1,3,0,0,0,2,0,2,0,1,0,1,3,16,1,0,1,0,0,55,5,23,4,0,10,4,25,30,3,6,3,0,14,2,1,0,0,0,0,4,60,24,3,91,0,8,2,0,5,0,3,0,0,6,1,1,1,4,2,0,2,1,5,1,0,1,1
"E01000850",1694,686,49,3,55,5,6,36,5,86,9,16,156,8,43,7,21,39,0,2,2,0,2,0,21,3,2,0,0,5,0,0,0,12,0,1,0,1,0,1,0,8,1,1,9,0,0,36,40,17,3,0,8,0,24,16,0,26,3,1,13,2,3,1,2,1,1,5,26,8,3,106,0,12,0,0,2,0,0,0,0,8,3,1,10,6,0,0,2,1,2,1,0,0,0
"E01000851",2383,965,52,0,49,9,7,50,13,150,31,49,240,9,67,21,9,35,5,4,2,0,0,0,22,11,0,0,0,11,0,1,0,3,0,4,0,3,0,0,1,20,2,0,3,0,0,71,16,15,5,1,11,6,53,18,0,13,4,0,25,6,0,0,3,1,0,15,25,14,4,138,0,21,0,0,3,0,13,0,0,22,0,0,20,3,0,0,5,0,3,0,0,1,0
"E01000852",1587,565,40,0,35,10,10,24,13,60,28,23,257,3,48,5,1,25,8,1,0,0,0,0,13,3,0,0,0,1,0,1,0,2,0,0,1,0,0,2,5,30,0,0,9,0,0,33,4,33,5,2,13,1,19,26,0,16,4,1,12,7,1,0,2,0,0,1,16,13,4,84,0,12,0,0,5,0,0,0,1,6,8,1,15,8,1,0,8,0,1,0,1,0,0
"E01000853",1631,701,60,0,22,27,21,24,7,21,9,174,68,7,105,44,7,25,0,4,0,0,1,0,10,0,0,0,0,23,0,1,2,2,1,0,0,3,0,1,2,7,0,0,4,0,0,33,26,13,4,1,7,0,27,13,0,2,7,0,7,1,3,0,0,1,1,1,10,9,0,45,0,10,0,0,2,0,4,0,1,3,1,0,6,8,0,0,0,2,0,0,0,0,0
"E01000854",1833,445,29,0,21,7,22,18,7,126,13,233,115,5,146,43,1,40,5,5,2,0,0,1,79,3,0,0,0,35,0,0,0,3,0,0,0,3,4,0,0,18,0,0,5,1,0,13,17,5,12,4,8,0,22,3,0,7,0,2,14,3,0,4,3,9,0,63,11,9,7,81,0,11,0,0,4,1,7,0,0,70,0,1,3,1,0,0,2,0,0,1,0,0,0
"E01000855",1764,858,53,2,43,3,4,36,3,58,17,23,114,4,22,7,2,22,0,0,0,1,2,0,28,6,0,0,1,36,0,1,2,0,0,2,0,1,0,1,0,21,7,0,1,0,0,49,16,22,2,0,2,1,46,7,0,22,1,0,22,0,3,1,2,0,0,5,24,8,3,77,0,15,0,0,0,0,2,0,0,13,4,0,6,2,0,0,22,0,5,1,0,0,0
"E01000856",1645,648,53,5,30,27,12,51,6,25,5,213,44,1,121,18,11,35,1,23,0,0,0,0,16,1,0,0,0,14,0,0,0,0,0,2,0,0,0,1,5,2,2,1,2,1,0,17,14,16,5,4,9,0,21,5,0,0,20,10,5,0,0,8,0,2,0,6,14,5,1,54,0,22,1,0,0,0,14,3,0,1,1,0,4,3,0,0,0,0,3,0,1,0,0
"E01000857",1447,800,39,0,44,5,13,24,6,19,3,58,28,0,33,11,1,3,2,6,0,9,1,1,23,0,0,0,3,1,0,0,1,6,0,0,0,0,0,1,0,4,1,0,0,1,0,29,4,15,3,0,6,1,19,1,0,3,4,8,9,1,0,0,3,0,0,0,88,10,1,72,1,9,0,0,0,0,0,0,0,8,0,0,1,3,0,0,0,0,1,0,0,0,0
"E01000858",1861,731,88,1,33,27,17,27,14,35,8,162,30,4,172,56,6,31,8,1,0,1,2,0,19,2,1,0,5,16,0,0,1,4,2,0,0,1,0,0,5,10,0,0,8,0,0,36,13,6,9,0,22,4,19,6,1,0,13,15,21,2,1,2,0,0,0,9,9,8,4,55,0,3,0,1,2,0,38,0,0,5,1,3,0,14,4,0,3,0,1,0,0,0,3
"E01000859",1586,972,50,0,49,18,12,35,2,19,1,0,26,1,28,5,1,1,7,0,0,0,0,0,51,2,0,0,0,3,0,0,1,7,0,0,0,1,0,0,0,2,0,0,1,0,0,56,2,9,2,0,3,0,19,13,0,0,4,1,9,8,2,0,0,0,0,1,57,6,2,74,1,10,0,0,3,0,2,0,0,1,0,0,2,2,0,0,1,1,0,0,0,0,0
