"GeographyCode","CT00100001","CT00100002","CT00100003","CT00100004","CT00100005","CT00100006","CT00100007","CT00100008","CT00100009","CT00100010","CT00100011","CT00100012","CT00100013","CT00100014","CT00100015","CT00100016","CT00100017","CT00100018","CT00100019","CT00100020","CT00100021","CT00100022","CT00100023","CT00100024","CT00100025","CT00100026","CT00100027","CT00100028","CT00100029","CT00100030","CT00100031","CT00100032","CT00100033","CT00100034","CT00100035","CT00100036","CT00100037","CT00100038","CT00100039","CT00100040","CT00100041","CT00100042","CT00100043","CT00100044","CT00100045","CT00100046","CT00100047","CT00100048","CT00100049","CT00100050","CT00100051","CT00100052","CT00100053","CT00100054","CT00100055","CT00100056","CT00100057","CT00100058","CT00100059","CT00100060","CT00100061","CT00100062","CT00100063","CT00100064","CT00100065","CT00100066","CT00100067","CT00100068","CT00100069","CT00100070","CT00100071","CT00100072","CT00100073","CT00100074","CT00100075","CT00100076","CT00100077","CT00100078","CT00100079","CT00100080","CT00100081","CT00100082","CT00100083","CT00100084","CT00100085","CT00100086","CT00100087","CT00100088","CT00100089","CT00100090","CT00100091","CT00100092","CT00100093","CT00100094","CT00100095"
"E02000166",7924,4784,318,7,141,142,54,188,32,79,7,151,84,27,289,132,6,51,25,12,0,17,2,3,76,2,0,1,6,37,0,0,4,11,0,2,0,0,1,7,8,30,2,0,11,0,0,205,31,51,34,1,40,8,47,31,1,11,35,11,64,5,2,5,10,2,0,5,120,30,13,266,0,46,0,0,5,0,16,5,1,20,0,0,5,27,6,0,4,1,4,0,1,1,5
"E02000167",7944,4611,163,7,253,37,26,196,38,167,25,17,125,4,150,41,13,41,25,2,0,0,5,3,150,9,0,0,3,4,0,3,1,14,0,2,0,2,9,15,1,39,3,1,13,1,0,217,43,74,18,2,44,12,113,92,0,21,10,5,30,1,5,1,7,0,1,15,328,50,14,497,1,38,3,0,5,0,1,0,2,20,2,0,2,15,0,1,6,7,12,4,5,0,1
"E02000168",8172,4892,349,2,127,141,55,193,46,85,24,254,69,28,277,140,9,41,17,7,0,14,2,0,81,7,6,0,5,45,0,4,3,15,2,3,4,1,1,3,8,33,2,0,11,1,1,146,43,26,52,2,33,3,78,28,0,7,14,29,73,0,3,1,6,1,0,12,99,52,5,280,0,82,0,0,2,0,28,0,0,17,1,1,11,13,0,0,5,2,4,3,1,1,0
"E02000169",7637,3673,176,1,278,58,39,214,42,333,53,24,157,24,138,59,3,84,40,7,0,10,2,0,87,9,4,0,12,13,0,5,4,18,4,3,0,0,0,23,0,91,6,0,4,1,1,220,64,54,10,0,168,48,119,118,0,25,17,2,43,6,1,2,8,4,1,11,259,66,29,494,1,55,0,0,7,0,3,2,1,28,1,4,20,23,0,1,3,6,9,3,0,0,1
"E02000170",8338,4067,338,2,238,89,36,195,32,307,77,106,144,43,245,100,12,181,25,29,5,8,0,4,140,28,2,0,4,29,0,12,0,20,3,5,0,3,1,10,2,62,11,3,5,1,0,254,58,49,17,0,110,26,147,46,0,13,16,11,47,7,3,11,7,9,0,30,130,86,14,367,2,107,3,0,13,0,21,0,2,46,2,0,11,24,0,0,6,5,7,2,3,1,1
"E02000171",7818,4241,251,13,201,115,51,148,24,159,26,270,138,10,214,107,15,53,31,28,3,23,3,2,137,18,3,0,1,21,0,0,1,19,5,3,0,0,1,6,7,38,2,0,10,0,1,177,37,62,19,0,61,17,85,58,0,7,37,9,46,4,5,1,3,4,0,14,166,54,5,368,2,50,4,0,6,2,21,0,0,25,1,0,7,26,5,3,5,5,7,8,1,1,1
"E02000172",10147,4708,385,11,129,168,149,151,61,117,66,829,176,26,758,251,37,155,16,41,11,28,1,4,77,7,1,0,2,74,0,2,1,11,15,2,0,1,3,12,13,44,0,0,8,0,0,173,83,34,26,2,59,11,87,22,9,14,92,41,96,5,6,8,5,12,0,29,71,46,5,324,1,67,2,0,3,0,113,16,0,22,3,1,10,52,5,3,19,2,11,1,0,5,0
"E02000173",7675,3169,198,2,273,72,44,202,28,304,90,103,236,12,185,109,31,74,32,19,2,7,1,4,108,10,3,0,2,16,0,4,5,19,4,0,3,4,2,51,8,67,7,0,7,4,0,190,135,84,11,1,122,47,134,187,0,44,16,2,57,16,4,0,9,2,1,26,208,67,27,562,0,57,4,0,8,0,10,0,3,36,3,1,23,36,0,2,7,0,6,2,0,2,2
"E02000174",8714,4329,326,13,127,121,93,94,44,190,45,501,81,115,590,176,27,172,33,13,0,12,4,3,83,15,5,0,10,51,0,5,2,10,10,0,2,4,0,5,9,27,1,0,15,1,0,134,44,64,59,1,40,6,106,51,0,14,46,10,65,5,3,9,1,7,2,13,65,36,6,358,3,48,3,0,4,1,76,0,0,4,0,3,7,24,1,2,10,2,5,4,5,3,0
"E02000175",8848,4002,299,4,254,106,87,147,37,325,81,199,185,36,451,162,17,128,32,21,2,16,2,3,207,16,0,0,3,37,0,4,5,21,5,1,2,5,2,11,5,59,4,2,10,2,0,218,28,53,7,1,97,22,111,109,1,52,74,8,71,17,6,1,15,2,2,6,159,83,15,453,0,85,0,0,10,3,36,0,2,35,1,1,25,24,3,0,8,0,4,2,1,0,0
