UID,Price,Date,Street,District,Region,Postcode,oseast1m,osnrth1m
597034,22500000,06/12/2015 0:00,AVENUE ROAD,CAMDEN,GREATER LONDON,NW86HS,527076,183790
594622,15200000,11/04/2015 0:00,GREENAWAY GARDENS,CAMDEN,GREATER LONDON,NW37DJ,525813,185524
594696,13500000,03/10/2015 0:00,TEMPLEWOOD AVENUE,CAMDEN,GREATER LONDON,NW37XA,525779,186084
594592,10500000,09/14/2015 0:00,CHURCH ROW,CAMDEN,GREATER LONDON,NW36UU,526159,185603
515677,8950000,10/30/2015 0:00,THE GROVE,CAMDEN,GREATER LONDON,N66JU,528177,187307
592992,8750000,09/01/2015 0:00,ST GEORGES TERRACE,CAMDEN,GREATER LONDON,NW18XH,527818,184013
592670,8500000,11/12/2015 0:00,CHESTER TERRACE,CAMDEN,GREATER LONDON,NW14ND,528756,182768
594265,8300000,08/19/2015 0:00,BELSIZE PARK,CAMDEN,GREATER LONDON,NW34EE,526693,184611
594623,8000000,02/13/2015 0:00,GREENAWAY GARDENS,CAMDEN,GREATER LONDON,NW37DJ,525813,185524
594637,7720000,07/10/2015 0:00,SPANIARDS ROAD,CAMDEN,GREATER LONDON,NW37JH,526633,187131
592661,7500000,01/30/2015 0:00,CUMBERLAND TERRACE,CAMDEN,GREATER LONDON,NW14HJ,528661,183198
594635,6925000,11/03/2015 0:00,NORTH END AVENUE,CAMDEN,GREATER LONDON,NW37HP,526191,186886
594642,6870000,02/19/2015 0:00,OAK HILL WAY,CAMDEN,GREATER LONDON,NW37LR,526061,185950
592920,6800000,01/28/2015 0:00,REGENTS PARK ROAD,CAMDEN,GREATER LONDON,NW17TL,528374,183727
592669,6500000,07/31/2015 0:00,CHESTER TERRACE,CAMDEN,GREATER LONDON,NW14ND,528756,182768
592996,6500000,08/07/2015 0:00,CHALCOT SQUARE,CAMDEN,GREATER LONDON,NW18YA,528060,184103
594669,6500000,01/12/2015 0:00,HEATH DRIVE,CAMDEN,GREATER LONDON,NW37SD,525569,185561
515689,6000000,11/18/2015 0:00,ROBIN GROVE,CAMDEN,GREATER LONDON,N66PA,528144,186864
592646,6000000,09/21/2015 0:00,ALBANY STREET,CAMDEN,GREATER LONDON,NW14AB,528635,183373
594127,5900000,11/09/2015 0:00,UPPER PARK ROAD,CAMDEN,GREATER LONDON,NW32UP,527617,184980
594643,5850000,06/26/2015 0:00,BRANCH HILL,CAMDEN,GREATER LONDON,NW37NA,526007,186207
594279,5800000,07/15/2015 0:00,BELSIZE SQUARE,CAMDEN,GREATER LONDON,NW34HN,526971,184787
597017,5800000,08/03/2015 0:00,RUDGWICK TERRACE,CAMDEN,GREATER LONDON,NW86BR,527287,183670
592648,5775000,12/01/2015 0:00,PARK VILLAGE WEST,CAMDEN,GREATER LONDON,NW14AE,528707,183342
594118,5750000,06/22/2015 0:00,PARLIAMENT HILL,CAMDEN,GREATER LONDON,NW32TN,527471,185831
594160,5750000,07/24/2015 0:00,ELSWORTHY ROAD,CAMDEN,GREATER LONDON,NW33BT,527258,183965
594361,5750000,09/29/2015 0:00,ETON ROAD,CAMDEN,GREATER LONDON,NW34SS,527736,184470
515670,5700000,07/10/2015 0:00,HIGHFIELDS GROVE,CAMDEN,GREATER LONDON,N66HN,527973,187231
594421,5675000,02/16/2015 0:00,BUCKLAND CRESCENT,CAMDEN,GREATER LONDON,NW35DJ,526740,184481
594660,5600000,03/13/2015 0:00,REDINGTON ROAD,CAMDEN,GREATER LONDON,NW37QX,525980,185674
594572,5500000,10/01/2015 0:00,LANGLAND GARDENS,CAMDEN,GREATER LONDON,NW36PY,525949,185271
594132,5250000,05/08/2015 0:00,LAWN ROAD,CAMDEN,GREATER LONDON,NW32XB,527531,185083
594478,5100000,07/03/2015 0:00,ELDON GROVE,CAMDEN,GREATER LONDON,NW35PT,526857,185443
515672,5000000,10/20/2015 0:00,HIGHFIELDS GROVE,CAMDEN,GREATER LONDON,N66HN,527973,187231
594364,4850000,05/15/2015 0:00,PROVOST ROAD,CAMDEN,GREATER LONDON,NW34ST,527876,184457
594534,4850000,07/03/2015 0:00,ARKWRIGHT ROAD,CAMDEN,GREATER LONDON,NW36BJ,526145,185154
515676,4700000,09/04/2015 0:00,HIGHGATE WEST HILL,CAMDEN,GREATER LONDON,N66JR,528171,186465
