"GeographyCode","KS101EW0001","KS101EW0002","KS101EW0003","KS101EW0004","KS101EW0005","KS101EW0006","KS101EW0007","KS101EW0008","KS101EW0009","KS101EW0010","KS101EW0011","KS101EW0012"
"E01000842",1444,687,757,1368,76,14,10.52,137.262357414449,47.5761772853186,52.4238227146814,94.7368421052632,5.26315789473684
"E01000843",1678,777,901,1678,0,13,8.33,201.440576230492,46.3051251489869,53.6948748510131,100,0
"E01000844",1772,903,869,1772,0,5,11.39,155.575065847234,50.9593679458239,49.0406320541761,100,0
"E01000845",1464,689,775,1444,20,21,11.8,124.067796610169,47.0628415300546,52.9371584699454,98.6338797814208,1.36612021857923
"E01000846",1501,699,802,1499,2,35,8.27,181.499395405079,46.5689540306462,53.4310459693538,99.8667554963358,0.133244503664224
"E01000847",1686,815,871,1684,2,24,9.85,171.167512690355,48.3392645314353,51.6607354685646,99.8813760379597,0.118623962040332
"E01000848",1588,773,815,1580,8,12,10.1,157.227722772277,48.6775818639798,51.3224181360202,99.4962216624685,0.503778337531486
"E01000849",1569,748,821,1569,0,27,7.77,201.930501930502,47.6736775015934,52.3263224984066,100,0
"E01000850",1694,919,775,1281,413,16,19.53,86.7383512544803,54.2502951593861,45.7497048406139,75.6198347107438,24.3801652892562
"E01000851",2383,1327,1056,1645,738,28,13.35,178.501872659176,55.6861099454469,44.3138900545531,69.0306336550566,30.9693663449433
"E01000852",1587,725,862,976,611,21,12.46,127.367576243981,45.6836798991808,54.3163201008192,61.4996849401386,38.5003150598614
"E01000853",1631,798,833,1596,35,10,5.86,278.327645051195,48.9270386266094,51.0729613733906,97.8540772532189,2.14592274678112
"E01000854",1833,1037,796,1643,190,12,18.87,97.1383147853736,56.5739225313693,43.4260774686307,89.6344789961811,10.3655210038189
"E01000855",1764,880,884,1714,50,19,32.05,55.0390015600624,49.8866213151927,50.1133786848073,97.1655328798186,2.83446712018141
"E01000856",1645,815,830,1645,0,10,11.87,138.584667228307,49.5440729483283,50.4559270516717,100,0
"E01000857",1447,705,742,1443,4,22,8.12,178.20197044335,48.7214927436075,51.2785072563925,99.7235659986178,0.27643400138217
"E01000858",1861,910,951,1861,0,22,21.79,85.4061496099128,48.8984416980118,51.1015583019882,100,0
"E01000859",1586,757,829,1586,0,38,9.67,164.012409513961,47.7301387137453,52.2698612862547,100,0
"E01000860",1307,621,686,1307,0,16,20.59,63.4774162214667,47.513389441469,52.486610558531,100,0
"E01000861",1574,818,756,1574,0,11,11.4,138.070175438596,51.9695044472681,48.0304955527319,100,0
"E01000862",1712,871,841,1712,0,39,17,100.705882352941,50.8761682242991,49.1238317757009,100,0
"E01000863",1481,781,700,1383,98,11,16.14,91.7596034696406,52.7346387575962,47.2653612424038,93.3828494260635,6.61715057393653
"E01000864",1537,733,804,1537,0,15,9.76,157.479508196721,47.690305790501,52.309694209499,100,0
"E01000865",1505,748,757,977,528,27,10.87,138.454461821527,49.7009966777409,50.2990033222591,64.9169435215947,35.0830564784053
"E01000866",2030,942,1088,2030,0,23,14.55,139.518900343643,46.4039408866995,53.5960591133005,100,0
"E01000867",1608,788,820,1608,0,3,8.09,198.76390605686,49.0049751243781,50.9950248756219,100,0
"E01000868",1442,744,698,1442,0,8,8.37,172.281959378734,51.5950069348128,48.4049930651872,100,0
"E01000869",2110,1053,1057,2098,12,8,11.45,184.279475982533,49.9052132701422,50.0947867298578,99.4312796208531,0.568720379146919
"E01000870",1693,779,914,1693,0,10,12.67,133.6227308603,46.0129946839929,53.9870053160071,100,0
"E01000871",1664,821,843,1653,11,44,30.63,54.3258243552073,49.3389423076923,50.6610576923077,99.3389423076923,0.661057692307692
"E01000872",1902,965,937,1896,6,11,14.69,129.475833900613,50.7360672975815,49.2639327024185,99.6845425867508,0.315457413249211
"E01000873",1639,816,823,1639,0,21,12.2,134.344262295082,49.7864551555827,50.2135448444173,100,0
"E01000874",1559,746,813,1559,0,13,8.56,182.126168224299,47.8511866581142,52.1488133418858,100,0
"E01000875",1654,874,780,1646,8,8,11.7,141.367521367521,52.8415961305925,47.1584038694075,99.5163240628779,0.483675937122128
"E01000876",1748,877,871,1748,0,14,11.68,149.657534246575,50.1716247139588,49.8283752860412,100,0
"E01000877",1574,786,788,1546,28,14,11.05,142.443438914027,49.9364675984752,50.0635324015248,98.2210927573062,1.77890724269377
"E01000878",1624,766,858,1246,378,22,19.21,84.5393024466424,47.1674876847291,52.8325123152709,76.7241379310345,23.2758620689655
"E01000879",1458,714,744,1305,153,25,17.73,82.2335025380711,48.9711934156379,51.0288065843621,89.5061728395062,10.4938271604938
"E01000880",1602,767,835,1558,44,21,20.37,78.6450662739322,47.8776529338327,52.1223470661673,97.2534332084894,2.74656679151061
"E01000881",1510,784,726,1451,59,13,14.78,102.165087956698,51.9205298013245,48.0794701986755,96.0927152317881,3.90728476821192
"E01000882",1513,745,768,1512,1,18,12.19,124.118129614438,49.2399206873761,50.7600793126239,99.9339061467284,0.0660938532716457
"E01000883",1326,635,691,1319,7,16,14.05,94.3772241992882,47.8883861236802,52.1116138763198,99.4720965309201,0.52790346907994
"E01000884",1469,724,745,1462,7,43,24.52,59.910277324633,49.28522804629,50.71477195371,99.5234853641933,0.476514635806671
"E01000885",1484,694,790,1410,74,33,30.43,48.767663489977,46.7654986522911,53.2345013477089,95.0134770889488,4.98652291105121
"E01000886",1445,704,741,1445,0,28,10.31,140.15518913676,48.719723183391,51.280276816609,100,0
"E01000887",1486,705,781,1478,8,16,9.99,148.748748748749,47.442799461642,52.557200538358,99.4616419919246,0.53835800807537
"E01000888",1605,793,812,1605,0,23,9.42,170.382165605096,49.4080996884735,50.5919003115265,100,0
"E01000889",1670,798,872,1670,0,24,11.73,142.369991474851,47.7844311377246,52.2155688622755,100,0
"E01000890",1640,806,834,1625,15,17,7.63,214.941022280472,49.1463414634146,50.8536585365854,99.0853658536585,0.914634146341463
"E01000891",1575,752,823,1534,41,17,7.76,202.963917525773,47.7460317460317,52.2539682539683,97.3968253968254,2.6031746031746
