"GeographyCode","KS101EW0001","KS101EW0002","KS101EW0003","KS101EW0004","KS101EW0005","KS101EW0006","KS101EW0007","KS101EW0008","KS101EW0009","KS101EW0010","KS101EW0011","KS101EW0012"
"E02000166",7924,3689,4235,7916,8,146,302.39,26.2045702569529,46.5547703180212,53.4452296819788,99.8990408884402,0.100959111559818
"E02000167",7944,3880,4064,7869,75,179,208.13,38.1684524095517,48.8418932527694,51.1581067472306,99.0558912386707,0.944108761329305
"E02000168",8172,3928,4244,8040,132,101,68.06,120.070526006465,48.0665687714146,51.9334312285854,98.3847283406755,1.61527165932452
"E02000169",7637,3665,3972,6981,656,144,112.26,68.0295742027436,47.9900484483436,52.0099515516564,91.4102396228886,8.58976037711143
"E02000170",8338,4134,4204,8293,45,103,77.13,108.103202385583,49.5802350683617,50.4197649316383,99.4603022307508,0.53969776924922
"E02000171",7818,3791,4027,7789,29,103,52.14,149.94246260069,48.4906625735482,51.5093374264518,99.6290611409568,0.370938859043234
"E02000172",10147,4892,5255,9919,228,96,66.89,151.696815667514,48.2112939785158,51.7887060214842,97.7530304523505,2.24696954764955
"E02000173",7675,3759,3916,7565,110,90,77.87,98.5617054064466,48.9771986970684,51.0228013029316,98.5667752442997,1.43322475570033
"E02000174",8714,4108,4606,8703,11,87,54.57,159.68480850284,47.1425292632545,52.8574707367455,99.8737663529952,0.12623364700482
"E02000175",8848,4272,4576,8846,2,70,69.16,127.935222672065,48.2820976491863,51.7179023508137,99.9773960216998,0.0226039783001808
"E02000176",6373,3111,3262,6289,84,58,39.78,160.206133735546,48.8153146085046,51.1846853914954,98.6819394319787,1.31806056802134
"E02000177",8948,4242,4706,8863,85,96,52.36,170.893812070283,47.4072418417523,52.5927581582477,99.0500670540903,0.9499329459097
"E02000178",8857,4403,4454,8823,34,70,56.18,157.653969384122,49.7120921305182,50.2879078694818,99.616122840691,0.383877159309021
"E02000179",6329,2980,3349,6305,24,93,38.25,165.464052287582,47.0848475272555,52.9151524727445,99.6207931742771,0.379206825722863
"E02000180",8202,4066,4136,7662,540,61,48.54,168.974042027194,49.5732748110217,50.4267251889783,93.4162399414777,6.58376005852231
"E02000181",7708,3657,4051,7703,5,65,54.09,142.503235348493,47.4442138038402,52.5557861961598,99.9351323300467,0.0648676699532953
"E02000182",6697,3100,3597,6638,59,127,79.78,83.9433441965405,46.2893833059579,53.7106166940421,99.1190085112737,0.880991488726295
"E02000183",7913,3864,4049,7909,4,137,77.17,102.539847090838,48.8310375331733,51.1689624668267,99.9494502717048,0.0505497282952104
"E02000184",8882,4342,4540,8726,156,79,66.48,133.604091456077,48.8853861742851,51.1146138257149,98.2436388200856,1.75636117991443
"E02000185",8290,3902,4388,8213,77,89,47.22,175.561202880136,47.0687575392039,52.9312424607961,99.0711700844391,0.928829915560917
"E02000186",6687,3449,3238,6491,196,98,100.33,66.650054819097,51.5776880514431,48.4223119485569,97.0689397338119,2.93106026618813
"E02000187",8155,3881,4274,8064,91,67,96.84,84.2110698058653,47.5904353157572,52.4095646842428,98.8841201716738,1.11587982832618
"E02000188",8322,4250,4072,7939,383,64,50.79,163.851151801536,51.069454458063,48.930545541937,95.3977409276616,4.60225907233838
"E02000189",5944,2986,2958,5407,537,54,29.77,199.664091367148,50.235531628533,49.764468371467,90.9656796769852,9.03432032301481
"E02000190",7530,3738,3792,5914,1616,48,37.05,203.238866396761,49.6414342629482,50.3585657370518,78.539176626826,21.460823373174
"E02000191",7497,4008,3489,5545,1952,77,64.21,116.757514405856,53.4613845538215,46.5386154461785,73.9629185007336,26.0370814992664
"E02000192",7157,3771,3386,7021,136,61,43.24,165.518038852914,52.6896744445997,47.3103255554003,98.0997624703088,1.90023752969121
"E02000193",7630,4017,3613,7010,620,67,108.92,70.0514138817481,52.6474442988204,47.3525557011796,91.8741808650066,8.12581913499345
