"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0018","KS102EW0019","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E00004120",314,22,8,3,8,0,3,3,20,42,108,38,25,25,5,3,1,37.5,35,7.00636942675159,2.54777070063694,0.955414012738854,2.54777070063694,0,0.955414012738854,0.955414012738854,6.36942675159236,13.3757961783439,34.3949044585987,12.1019108280255,7.96178343949045,7.96178343949045,1.59235668789809,0.955414012738854,0.318471337579618
"E00004121",250,29,12,3,0,0,1,0,5,16,93,28,16,27,12,8,0,40.128,37,11.6,4.8,1.2,0,0,0.4,0,2,6.4,37.2,11.2,6.4,10.8,4.8,3.2,0
"E00004122",236,29,12,5,8,0,2,2,8,21,74,39,7,12,14,3,0,35.385593220339,35,12.2881355932203,5.08474576271187,2.11864406779661,3.38983050847458,0,0.847457627118644,0.847457627118644,3.38983050847458,8.89830508474576,31.3559322033898,16.5254237288136,2.96610169491525,5.08474576271187,5.93220338983051,1.27118644067797,0
"E00004123",296,28,12,5,17,2,2,3,16,31,70,58,9,25,10,5,3,37.3310810810811,37,9.45945945945946,4.05405405405405,1.68918918918919,5.74324324324324,0.675675675675676,0.675675675675676,1.01351351351351,5.40540540540541,10.472972972973,23.6486486486486,19.5945945945946,3.04054054054054,8.44594594594595,3.37837837837838,1.68918918918919,1.01351351351351
"E00004124",176,14,8,4,3,0,1,1,11,20,48,31,10,9,11,4,1,39.0568181818182,36,7.95454545454545,4.54545454545455,2.27272727272727,1.70454545454545,0,0.568181818181818,0.568181818181818,6.25,11.3636363636364,27.2727272727273,17.6136363636364,5.68181818181818,5.11363636363636,6.25,2.27272727272727,0.568181818181818
"E00004125",268,7,3,3,2,1,2,0,14,53,102,29,9,25,12,5,1,40.134328358209,35,2.61194029850746,1.11940298507463,1.11940298507463,0.746268656716418,0.373134328358209,0.746268656716418,0,5.22388059701492,19.7761194029851,38.0597014925373,10.8208955223881,3.35820895522388,9.32835820895522,4.47761194029851,1.86567164179104,0.373134328358209
"E00004126",274,19,5,4,7,2,1,3,8,21,123,43,8,13,13,3,1,38.1167883211679,36,6.93430656934307,1.82481751824817,1.45985401459854,2.55474452554745,0.72992700729927,0.364963503649635,1.09489051094891,2.91970802919708,7.66423357664234,44.8905109489051,15.6934306569343,2.91970802919708,4.74452554744525,4.74452554744525,1.09489051094891,0.364963503649635
"E00004127",265,16,4,3,14,1,4,5,22,43,75,32,13,19,12,1,1,36.1849056603774,31,6.0377358490566,1.50943396226415,1.13207547169811,5.28301886792453,0.377358490566038,1.50943396226415,1.88679245283019,8.30188679245283,16.2264150943396,28.3018867924528,12.0754716981132,4.90566037735849,7.16981132075472,4.52830188679245,0.377358490566038,0.377358490566038
"E00004128",293,17,11,4,5,2,0,3,14,36,108,33,17,20,18,4,1,39.1501706484642,36,5.80204778156997,3.7542662116041,1.36518771331058,1.70648464163823,0.68259385665529,0,1.02389078498294,4.77815699658703,12.2866894197952,36.8600682593857,11.2627986348123,5.80204778156997,6.8259385665529,6.14334470989761,1.36518771331058,0.341296928327645
"E00004129",265,19,2,0,1,0,1,3,7,41,98,42,16,24,6,5,0,39.9018867924528,35,7.16981132075472,0.754716981132076,0,0.377358490566038,0,0.377358490566038,1.13207547169811,2.64150943396226,15.4716981132075,36.9811320754717,15.8490566037736,6.0377358490566,9.05660377358491,2.26415094339623,1.88679245283019,0
