"GeographyCode","KS104EW0001","KS104EW0002","KS104EW0003","KS104EW0004","KS104EW0005","KS104EW0006","KS104EW0007","KS104EW0008","KS104EW0009","KS104EW0010","KS104EW0011","KS104EW0012","KS104EW0013","KS104EW0014","KS104EW0015"
"E01000842",1181,444,172,408,33,18,68,38,37.5952582557155,14.5639288738357,34.5469940728196,2.79424216765453,1.52413209144793,5.75783234546994,3.21761219305673
"E01000843",1370,440,246,480,42,36,97,29,32.1167883211679,17.956204379562,35.036496350365,3.06569343065693,2.62773722627737,7.08029197080292,2.11678832116788
"E01000844",1483,566,252,497,50,22,70,26,38.1658799730276,16.9925826028321,33.5131490222522,3.37154416722859,1.48347943358058,4.72016183412003,1.75320296695887
"E01000845",1236,352,206,461,48,25,94,50,28.4789644012945,16.6666666666667,37.2977346278317,3.88349514563107,2.02265372168285,7.60517799352751,4.0453074433657
"E01000846",1124,384,80,421,33,45,98,63,34.1637010676157,7.11743772241993,37.4555160142349,2.93594306049822,4.00355871886121,8.71886120996441,5.60498220640569
"E01000847",1256,448,132,437,40,41,107,51,35.6687898089172,10.5095541401274,34.7929936305732,3.18471337579618,3.26433121019108,8.51910828025478,4.06050955414013
"E01000848",1356,518,241,407,44,18,80,48,38.2005899705015,17.7728613569322,30.0147492625369,3.24483775811209,1.32743362831858,5.89970501474926,3.53982300884956
"E01000849",1372,394,166,609,37,34,79,53,28.7172011661808,12.0991253644315,44.3877551020408,2.69679300291545,2.47813411078717,5.75801749271137,3.86297376093294
"E01000850",1200,222,178,648,37,16,60,39,18.5,14.8333333333333,54,3.08333333333333,1.33333333333333,5,3.25
"E01000851",1511,262,184,863,58,34,85,25,17.3395102581072,12.1773659827929,57.114493712773,3.83851753805427,2.25016545334216,5.62541363335539,1.65453342157512
"E01000852",933,164,66,575,31,14,51,32,17.577706323687,7.07395498392283,61.6291532690246,3.32261521972133,1.5005359056806,5.46623794212219,3.42979635584137
