"GeographyCode","KS104EW0001","KS104EW0002","KS104EW0003","KS104EW0004","KS104EW0005","KS104EW0006","KS104EW0007","KS104EW0008","KS104EW0009","KS104EW0010","KS104EW0011","KS104EW0012","KS104EW0013","KS104EW0014","KS104EW0015"
"E02000166",6533,2200,824,2392,131,160,499,327,33.6751875095668,12.6128884126741,36.6141129649472,2.00520434716057,2.44910454615031,7.63814480330629,5.0053574161947
"E02000167",6472,2870,916,1728,158,89,392,319,44.344870210136,14.1532756489493,26.6996291718171,2.44128553770087,1.37515451174289,6.05686032138443,4.92892459826947
"E02000168",6663,2042,1068,2688,123,149,377,216,30.6468557706739,16.0288158487168,40.3421882035119,1.84601530841963,2.23622992645955,5.65811196157887,3.24178298063935
"E02000169",5537,2640,552,1474,176,81,328,286,47.6792486906267,9.96929745349467,26.6209138522666,3.17861657937511,1.4628860393715,5.92378544338089,5.16525194148456
"E02000170",7049,2320,974,2833,179,132,394,217,32.91246985388,13.8175627748617,40.190097886225,2.53936728613988,1.87260604341041,5.58944531139169,3.07845084409136
"E02000171",6415,2012,962,2429,181,132,443,256,31.3639906469213,14.9961028838659,37.8643803585347,2.82151208106002,2.0576773187841,6.90568978955573,3.99064692127825
"E02000172",7923,1928,905,3631,204,252,599,404,24.3342168370567,11.4224409945728,45.8286002776726,2.57478227943961,3.18061340401363,7.56026757541335,5.09907863183138
"E02000173",6293,2296,872,2200,202,114,390,219,36.4849833147942,13.8566661369776,34.9594787859526,3.20991577943747,1.81153662799936,6.19736214841888,3.48005720641983
"E02000174",7276,1520,1159,3462,149,184,530,272,20.8905992303463,15.9290819131391,47.5810885101704,2.04782847718527,2.52886201209456,7.28422210005498,3.73831775700935
"E02000175",7718,2020,1206,3527,182,158,422,203,26.1725835708733,15.6258097952838,45.698367452708,2.3581238662866,2.04716247732573,5.46773775589531,2.63021508162736
"E02000176",5392,1922,831,1921,164,92,297,165,35.6454005934718,15.4117210682493,35.6268545994065,3.04154302670623,1.70623145400593,5.50816023738872,3.06008902077151
"E02000177",7184,1838,863,3227,179,185,532,360,25.5846325167038,12.0128062360802,44.9192650334076,2.49164810690423,2.57516703786192,7.40534521158129,5.01113585746102
"E02000178",7601,1594,1221,3521,211,230,549,275,20.9709248783055,16.0636758321274,46.3228522562821,2.77595053282463,3.02591764241547,7.2227338508091,3.61794500723589
"E02000179",4986,1624,664,1799,163,147,396,193,32.571199358203,13.3172884075411,36.0810268752507,3.26915363016446,2.9482551143201,7.94223826714801,3.87083834737264
"E02000180",6314,1462,935,2949,178,179,408,203,23.1548938866012,14.808362369338,46.7057332910991,2.81913208742477,2.83496990814064,6.46183085207475,3.21507760532151
"E02000181",6627,2062,1194,2568,138,109,360,196,31.1151350535687,18.0172023540063,38.7505658669081,2.08239022181983,1.64478647955334,5.43232231779086,2.9575977063528
"E02000182",5418,2072,528,1871,215,111,317,304,38.2428940568475,9.7452934662237,34.5330380214101,3.96825396825397,2.04872646733112,5.85086747877446,5.6109265411591
"E02000183",6656,2056,987,2481,196,163,534,239,30.8894230769231,14.8287259615385,37.2746394230769,2.94471153846154,2.44891826923077,8.02283653846154,3.59074519230769
"E02000184",7196,1604,833,3641,220,214,436,248,22.290161200667,11.5758754863813,50.597554196776,3.05725403001668,2.97387437465258,6.05892162312396,3.44635908838243
"E02000185",6618,1774,759,2673,217,226,630,339,26.8056814747658,11.4687216681777,40.3898458748867,3.27893623451194,3.41492898156543,9.51949229374433,5.12239347234814
"E02000186",5695,1306,815,2688,166,133,377,210,22.9323968393327,14.3107989464443,47.1992976294996,2.91483757682177,2.33538191395961,6.6198419666374,3.68744512730465
"E02000187",6295,1628,541,2922,180,221,459,344,25.8617950754567,8.59412231930103,46.417791898332,2.8594122319301,3.51072279586974,7.29150119142176,5.46465448768864
"E02000188",6437,1503,491,3370,181,200,387,305,23.3493863601056,7.62777691471182,52.3535808606494,2.81186888302004,3.10703743980115,6.01211744601522,4.73823209569675
"E02000189",4266,968,397,2168,145,144,267,177,22.6910454758556,9.3061415846226,50.8204406938584,3.39896858884201,3.37552742616034,6.25879043600563,4.14908579465541
"E02000190",5109,986,507,2717,168,154,366,211,19.2992757878254,9.9236641221374,53.1806615776081,3.28831473869642,3.01428851047172,7.16382853787434,4.12996672538657
"E02000191",5070,934,516,2939,181,104,258,138,18.422090729783,10.1775147928994,57.9684418145957,3.57001972386588,2.05128205128205,5.0887573964497,2.72189349112426
"E02000192",5851,1364,830,2666,191,177,396,227,23.3122543155016,14.185609297556,45.5648607075714,3.2643992479918,3.02512391044266,6.76807383353273,3.87967868740386
"E02000193",6455,1206,661,3506,321,131,423,207,18.6831913245546,10.2401239349342,54.3144848954299,4.9728892331526,2.0294345468629,6.55305964368706,3.20681642137878
