"GeographyCode","KS106EW0001","KS106EW0002","KS106EW0003","KS106EW0004","KS106EW0005","KS106EW0006","KS106EW0007","KS106EW0008","KS106EW0009","KS106EW0010","KS106EW0011","KS106EW0012","KS106EW0013"
"E01000842",724,8,167,128,75,6,98,1.10497237569061,23.0662983425414,17.6795580110497,10.3591160220994,0.828729281767956,13.5359116022099
"E01000843",846,60,174,215,149,23,99,7.09219858156028,20.5673758865248,25.4137115839243,17.612293144208,2.71867612293144,11.7021276595745
"E01000844",870,11,172,187,140,13,114,1.26436781609195,19.7701149425287,21.4942528735632,16.0919540229885,1.49425287356322,13.1034482758621
"E01000845",731,17,140,132,62,24,82,2.32558139534884,19.1518467852257,18.0574555403557,8.48153214774282,3.28317373461012,11.2175102599179
"E01000846",616,60,181,212,88,36,136,9.74025974025974,29.3831168831169,34.4155844155844,14.2857142857143,5.84415584415584,22.0779220779221
"E01000847",677,53,159,229,125,31,112,7.82865583456425,23.4859675036928,33.8257016248154,18.4638109305761,4.57902511078287,16.5435745937962
"E01000848",805,4,152,143,83,10,107,0.496894409937888,18.8819875776398,17.7639751552795,10.3105590062112,1.24223602484472,13.2919254658385
"E01000849",862,10,194,132,74,7,111,1.16009280742459,22.5058004640371,15.3132250580046,8.58468677494199,0.812064965197216,12.877030162413
"E01000850",664,11,188,62,37,15,102,1.6566265060241,28.3132530120482,9.33734939759036,5.57228915662651,2.25903614457831,15.3614457831325
"E01000851",861,9,225,71,35,8,111,1.04529616724739,26.1324041811847,8.24622531939605,4.0650406504065,0.929152148664344,12.8919860627178
"E01000852",625,6,344,37,15,9,88,0.96,55.04,5.92,2.4,1.44,14.08
"E01000853",840,26,383,135,70,26,263,3.0952380952381,45.5952380952381,16.0714285714286,8.33333333333333,3.0952380952381,31.3095238095238
"E01000854",718,12,279,109,66,32,125,1.67130919220056,38.857938718663,15.1810584958217,9.19220055710306,4.45682451253482,17.4094707520891
"E01000855",1111,7,320,48,22,5,147,0.63006300630063,28.8028802880288,4.32043204320432,1.98019801980198,0.45004500450045,13.2313231323132
"E01000856",628,44,134,182,72,48,124,7.00636942675159,21.3375796178344,28.9808917197452,11.4649681528662,7.64331210191083,19.7452229299363
"E01000857",686,18,163,144,63,24,130,2.62390670553936,23.7609329446064,20.9912536443149,9.18367346938776,3.49854227405248,18.9504373177843
"E01000858",775,79,198,227,78,69,162,10.1935483870968,25.5483870967742,29.2903225806452,10.0645161290323,8.90322580645161,20.9032258064516
"E01000859",807,8,127,151,68,17,114,0.991325898389095,15.7372986369269,18.7112763320942,8.42627013630731,2.10656753407683,14.1263940520446
"E01000860",797,12,300,101,46,13,195,1.50564617314931,37.6411543287327,12.67252195734,5.77164366373902,1.63111668757842,24.4667503136763
"E01000861",729,26,150,124,46,30,146,3.56652949245542,20.5761316872428,17.0096021947874,6.31001371742112,4.11522633744856,20.0274348422497
"E01000862",816,15,127,156,68,11,106,1.83823529411765,15.5637254901961,19.1176470588235,8.33333333333333,1.34803921568627,12.9901960784314
"E01000863",667,15,95,94,43,17,76,2.24887556221889,14.2428785607196,14.0929535232384,6.44677661169415,2.54872563718141,11.3943028485757
"E01000864",717,28,131,140,67,22,117,3.90516039051604,18.2705718270572,19.5258019525802,9.34449093444909,3.06834030683403,16.3179916317992
"E01000865",451,6,109,85,31,7,84,1.33037694013304,24.1685144124169,18.8470066518847,6.87361419068736,1.55210643015521,18.6252771618625
"E01000866",926,45,221,209,88,49,196,4.85961123110151,23.866090712743,22.5701943844492,9.50323974082074,5.29157667386609,21.1663066954644
"E01000867",675,38,182,143,75,28,144,5.62962962962963,26.962962962963,21.1851851851852,11.1111111111111,4.14814814814815,21.3333333333333
"E01000868",584,48,151,206,119,40,148,8.21917808219178,25.8561643835616,35.2739726027397,20.3767123287671,6.84931506849315,25.3424657534247
"E01000869",967,33,208,183,100,36,157,3.41261633919338,21.5098241985522,18.9245087900724,10.3412616339193,3.72285418821096,16.2357807652534
"E01000870",774,41,191,181,70,48,178,5.29715762273902,24.6770025839793,23.3850129198966,9.04392764857881,6.2015503875969,22.9974160206718
"E01000871",632,21,113,187,84,24,84,3.32278481012658,17.879746835443,29.5886075949367,13.2911392405063,3.79746835443038,13.2911392405063
"E01000872",913,36,173,161,75,24,157,3.94304490690033,18.9485213581599,17.6341730558598,8.21467688937568,2.62869660460022,17.1960569550931
"E01000873",710,16,137,168,89,14,100,2.25352112676056,19.2957746478873,23.6619718309859,12.5352112676056,1.97183098591549,14.0845070422535
"E01000874",704,8,124,162,89,13,86,1.13636363636364,17.6136363636364,23.0113636363636,12.6420454545455,1.84659090909091,12.2159090909091
"E01000875",839,35,185,146,61,36,137,4.17163289630513,22.0500595947557,17.4016686531585,7.27056019070322,4.29082240762813,16.3289630512515
"E01000876",800,59,214,179,81,47,184,7.375,26.75,22.375,10.125,5.875,23
"E01000877",726,11,126,151,91,18,85,1.51515151515152,17.3553719008264,20.7988980716253,12.534435261708,2.47933884297521,11.7079889807163
"E01000878",550,16,140,127,62,10,79,2.90909090909091,25.4545454545455,23.0909090909091,11.2727272727273,1.81818181818182,14.3636363636364
"E01000879",602,10,129,140,77,14,84,1.66112956810631,21.4285714285714,23.2558139534884,12.7906976744186,2.32558139534884,13.953488372093
"E01000880",621,11,92,221,116,9,60,1.77133655394525,14.8148148148148,35.5877616747182,18.6795491143317,1.44927536231884,9.66183574879227
"E01000881",632,16,119,141,77,25,86,2.53164556962025,18.8291139240506,22.3101265822785,12.1835443037975,3.95569620253165,13.6075949367089
"E01000882",728,4,92,146,77,9,74,0.549450549450549,12.6373626373626,20.0549450549451,10.5769230769231,1.23626373626374,10.1648351648352
"E01000883",638,16,155,118,67,12,87,2.50783699059561,24.294670846395,18.4952978056426,10.5015673981191,1.88087774294671,13.6363636363636
"E01000884",577,16,116,197,89,13,81,2.77296360485269,20.103986135182,34.1421143847487,15.4246100519931,2.25303292894281,14.0381282495667
"E01000885",592,12,125,166,79,15,93,2.02702702702703,21.1148648648649,28.0405405405405,13.3445945945946,2.53378378378378,15.7094594594595
"E01000886",606,30,95,184,70,38,85,4.95049504950495,15.6765676567657,30.3630363036304,11.5511551155116,6.27062706270627,14.026402640264
"E01000887",690,24,126,145,62,20,128,3.47826086956522,18.2608695652174,21.0144927536232,8.98550724637681,2.89855072463768,18.5507246376812
"E01000888",697,22,163,193,93,18,137,3.15638450502152,23.3859397417504,27.6901004304161,13.3428981348637,2.58249641319943,19.6556671449067
"E01000889",657,69,182,224,82,65,170,10.5022831050228,27.7016742770167,34.0943683409437,12.4809741248097,9.89345509893455,25.8751902587519
"E01000890",767,70,299,199,82,56,259,9.1264667535854,38.9830508474576,25.9452411994785,10.6910039113429,7.30117340286832,33.767926988266
"E01000891",672,81,240,201,86,59,192,12.0535714285714,35.7142857142857,29.9107142857143,12.797619047619,8.7797619047619,28.5714285714286
"E01000892",823,44,171,211,105,52,142,5.34629404617254,20.7776427703524,25.6379100850547,12.7582017010936,6.318347509113,17.2539489671932
"E01000893",715,12,134,179,79,16,113,1.67832167832168,18.7412587412587,25.034965034965,11.048951048951,2.23776223776224,15.8041958041958
"E01000894",619,9,116,154,85,14,80,1.45395799676898,18.7399030694669,24.8788368336026,13.7318255250404,2.26171243941842,12.924071082391
"E01000895",841,9,232,166,81,20,170,1.07015457788347,27.5862068965517,19.7384066587396,9.63139120095125,2.37812128418549,20.2140309155767
"E01000896",756,16,149,182,85,16,98,2.11640211640212,19.7089947089947,24.0740740740741,11.2433862433862,2.11640211640212,12.962962962963
"E01000897",721,5,141,188,96,17,102,0.693481276005548,19.5561719833564,26.0748959778086,13.3148404993065,2.35783633841886,14.1470180305132
"E01000898",850,22,185,152,76,27,154,2.58823529411765,21.7647058823529,17.8823529411765,8.94117647058824,3.17647058823529,18.1176470588235
"E01000899",698,10,140,199,86,13,90,1.43266475644699,20.0573065902579,28.5100286532951,12.3209169054441,1.86246418338109,12.8939828080229
"E01000900",757,50,173,196,89,43,162,6.60501981505945,22.8533685601057,25.891677675033,11.7569352708058,5.68031704095112,21.4002642007926
"E01000901",703,100,165,289,130,74,149,14.2247510668563,23.4708392603129,41.1095305832148,18.4921763869132,10.5263157894737,21.1948790896159
"E01000902",590,62,175,195,94,49,142,10.5084745762712,29.6610169491525,33.0508474576271,15.9322033898305,8.30508474576271,24.0677966101695
"E01000903",686,16,187,141,80,24,155,2.33236151603499,27.2594752186589,20.5539358600583,11.6618075801749,3.49854227405248,22.5947521865889
"E01000904",918,78,224,229,99,55,200,8.49673202614379,24.400871459695,24.9455337690632,10.7843137254902,5.99128540305011,21.7864923747277
"E01000905",812,108,268,268,114,74,221,13.3004926108374,33.0049261083744,33.0049261083744,14.0394088669951,9.11330049261084,27.2167487684729
"E01000906",788,14,172,106,50,17,117,1.77664974619289,21.8274111675127,13.4517766497462,6.34517766497462,2.15736040609137,14.8477157360406
"E01000907",627,65,154,191,78,44,149,10.3668261562998,24.5614035087719,30.4625199362041,12.4401913875598,7.01754385964912,23.7639553429027
"E01000908",827,41,243,188,88,29,206,4.95767835550181,29.3833131801693,22.73276904474,10.6408706166868,3.50665054413543,24.9093107617896
"E01000909",661,16,168,163,61,35,151,2.42057488653555,25.4160363086233,24.6596066565809,9.22844175491679,5.29500756429652,22.8441754916793
"E01000910",588,11,100,154,63,17,105,1.87074829931973,17.0068027210884,26.1904761904762,10.7142857142857,2.89115646258503,17.8571428571429
"E01000911",663,37,158,188,85,24,138,5.58069381598793,23.8310708898944,28.3559577677225,12.8205128205128,3.61990950226244,20.8144796380091
"E01000912",700,49,197,177,73,44,179,7,28.1428571428571,25.2857142857143,10.4285714285714,6.28571428571429,25.5714285714286
"E01000913",722,6,133,181,66,13,107,0.831024930747922,18.4210526315789,25.0692520775623,9.14127423822715,1.8005540166205,14.8199445983379
"E01000914",970,14,311,82,36,23,155,1.44329896907216,32.0618556701031,8.45360824742268,3.71134020618557,2.37113402061856,15.979381443299
"E01000915",635,51,172,152,62,34,142,8.03149606299213,27.0866141732283,23.9370078740157,9.76377952755906,5.35433070866142,22.3622047244094
"E01000916",881,37,195,143,61,32,138,4.19977298524404,22.1339387060159,16.2315550510783,6.92395005675369,3.6322360953462,15.6640181611805
"E01000917",913,82,292,231,106,59,222,8.98138006571742,31.9824753559693,25.3012048192771,11.6100766703176,6.46221248630887,24.315443592552
"E01000918",935,22,280,130,55,28,184,2.35294117647059,29.9465240641711,13.903743315508,5.88235294117647,2.99465240641711,19.6791443850267
