"GeographyCode","KS106EW0001","KS106EW0002","KS106EW0003","KS106EW0004","KS106EW0005","KS106EW0006","KS106EW0007","KS106EW0008","KS106EW0009","KS106EW0010","KS106EW0011","KS106EW0012","KS106EW0013"
"E00004120",143,1,26,27,19,2,13,0.699300699300699,18.1818181818182,18.8811188811189,13.2867132867133,1.3986013986014,9.09090909090909
"E00004121",118,2,27,27,22,2,25,1.69491525423729,22.8813559322034,22.8813559322034,18.6440677966102,1.69491525423729,21.1864406779661
"E00004122",103,0,23,32,25,1,9,0,22.3300970873786,31.0679611650485,24.2718446601942,0.970873786407767,8.7378640776699
"E00004123",108,2,13,39,20,1,10,1.85185185185185,12.037037037037,36.1111111111111,18.5185185185185,0.925925925925926,9.25925925925926
"E00004124",100,1,32,17,10,0,10,1,32,17,10,0,10
"E00004125",178,2,47,14,6,0,27,1.12359550561798,26.4044943820225,7.86516853932584,3.37078651685393,0,15.1685393258427
"E00004126",144,1,27,25,14,1,23,0.694444444444444,18.75,17.3611111111111,9.72222222222222,0.694444444444444,15.9722222222222
"E00004127",124,5,19,25,13,2,18,4.03225806451613,15.3225806451613,20.1612903225806,10.4838709677419,1.61290322580645,14.5161290322581
"E00004128",161,0,43,24,14,1,26,0,26.7080745341615,14.9068322981366,8.69565217391304,0.62111801242236,16.1490683229814
"E00004129",142,0,31,14,12,1,24,0,21.830985915493,9.85915492957746,8.45070422535211,0.704225352112676,16.9014084507042
"E00004130",128,1,24,22,13,1,13,0.78125,18.75,17.1875,10.15625,0.78125,10.15625
"E00004131",119,3,11,35,15,3,9,2.52100840336134,9.2436974789916,29.4117647058824,12.6050420168067,2.52100840336134,7.56302521008403
"E00004132",92,0,10,24,17,1,3,0,10.8695652173913,26.0869565217391,18.4782608695652,1.08695652173913,3.26086956521739
"E00004133",118,1,22,33,15,2,10,0.847457627118644,18.6440677966102,27.9661016949153,12.7118644067797,1.69491525423729,8.47457627118644
"E00004134",100,0,24,16,6,1,13,0,24,16,6,1,13
"E00004135",105,0,16,5,3,0,18,0,15.2380952380952,4.76190476190476,2.85714285714286,0,17.1428571428571
"E00004136",110,2,14,23,15,0,14,1.81818181818182,12.7272727272727,20.9090909090909,13.6363636363636,0,12.7272727272727
"E00004137",147,0,30,21,11,3,22,0,20.4081632653061,14.2857142857143,7.48299319727891,2.04081632653061,14.9659863945578
"E00004138",142,2,45,19,15,2,27,1.40845070422535,31.6901408450704,13.3802816901408,10.5633802816901,1.40845070422535,19.0140845070423
"E00004139",140,53,21,101,76,17,10,37.8571428571429,15,72.1428571428571,54.2857142857143,12.1428571428571,7.14285714285714
"E00004140",111,0,24,15,7,1,15,0,21.6216216216216,13.5135135135135,6.30630630630631,0.900900900900901,13.5135135135135
"E00004141",114,4,37,15,8,2,29,3.50877192982456,32.4561403508772,13.1578947368421,7.01754385964912,1.75438596491228,25.4385964912281
"E00004142",133,0,33,20,14,0,14,0,24.812030075188,15.0375939849624,10.5263157894737,0,10.5263157894737
"E00004143",126,1,33,25,16,1,27,0.793650793650794,26.1904761904762,19.8412698412698,12.6984126984127,0.793650793650794,21.4285714285714
"E00004144",102,1,20,28,22,0,11,0.980392156862745,19.6078431372549,27.4509803921569,21.5686274509804,0,10.7843137254902
"E00004145",110,0,27,23,11,1,13,0,24.5454545454545,20.9090909090909,10,0.909090909090909,11.8181818181818
"E00004146",126,1,20,15,8,3,15,0.793650793650794,15.8730158730159,11.9047619047619,6.34920634920635,2.38095238095238,11.9047619047619
"E00004147",126,1,30,13,7,0,9,0.793650793650794,23.8095238095238,10.3174603174603,5.55555555555556,0,7.14285714285714
"E00004148",106,0,25,14,3,3,11,0,23.5849056603774,13.2075471698113,2.83018867924528,2.83018867924528,10.377358490566
"E00004149",149,2,23,34,17,2,13,1.34228187919463,15.4362416107383,22.8187919463087,11.4093959731544,1.34228187919463,8.7248322147651
"E00004150",147,3,22,27,20,2,14,2.04081632653061,14.9659863945578,18.3673469387755,13.6054421768707,1.36054421768707,9.52380952380952
"E00004151",148,0,16,15,10,3,7,0,10.8108108108108,10.1351351351351,6.75675675675676,2.02702702702703,4.72972972972973
"E00004152",113,3,20,28,16,0,14,2.65486725663717,17.6991150442478,24.7787610619469,14.1592920353982,0,12.3893805309735
"E00004153",108,1,24,17,11,2,16,0.925925925925926,22.2222222222222,15.7407407407407,10.1851851851852,1.85185185185185,14.8148148148148
"E00004154",122,1,15,29,25,1,10,0.819672131147541,12.2950819672131,23.7704918032787,20.4918032786885,0.819672131147541,8.19672131147541
"E00004155",103,2,12,32,21,1,11,1.94174757281553,11.6504854368932,31.0679611650485,20.3883495145631,0.970873786407767,10.6796116504854
"E00004156",126,1,36,25,18,3,16,0.793650793650794,28.5714285714286,19.8412698412698,14.2857142857143,2.38095238095238,12.6984126984127
"E00004157",94,1,18,28,18,1,8,1.06382978723404,19.1489361702128,29.7872340425532,19.1489361702128,1.06382978723404,8.51063829787234
"E00004158",124,13,33,37,14,13,27,10.4838709677419,26.6129032258064,29.8387096774194,11.2903225806452,10.4838709677419,21.7741935483871
"E00004159",160,28,48,65,21,17,38,17.5,30,40.625,13.125,10.625,23.75
"E00004160",103,8,51,27,6,5,39,7.76699029126214,49.5145631067961,26.2135922330097,5.8252427184466,4.85436893203883,37.8640776699029
"E00004161",96,1,19,15,7,1,8,1.04166666666667,19.7916666666667,15.625,7.29166666666667,1.04166666666667,8.33333333333333
"E00004162",128,1,27,22,18,3,11,0.78125,21.09375,17.1875,14.0625,2.34375,8.59375
"E00004163",163,12,27,49,27,8,23,7.36196319018405,16.5644171779141,30.0613496932515,16.5644171779141,4.9079754601227,14.1104294478528
"E00004164",160,18,47,53,24,10,38,11.25,29.375,33.125,15,6.25,23.75
"E00004165",146,18,44,45,22,3,30,12.3287671232877,30.1369863013699,30.8219178082192,15.0684931506849,2.05479452054794,20.5479452054795
"E00004166",157,21,52,64,31,18,40,13.3757961783439,33.1210191082803,40.7643312101911,19.7452229299363,11.4649681528662,25.4777070063694
"E00004167",99,5,17,39,19,3,13,5.05050505050505,17.1717171717172,39.3939393939394,19.1919191919192,3.03030303030303,13.1313131313131
"E00004168",109,0,34,16,14,2,15,0,31.1926605504587,14.6788990825688,12.8440366972477,1.8348623853211,13.7614678899083
"E00004169",149,1,38,19,8,2,27,0.671140939597315,25.503355704698,12.751677852349,5.36912751677852,1.34228187919463,18.1208053691275
"E00004172",148,4,40,10,7,2,30,2.7027027027027,27.027027027027,6.75675675675676,4.72972972972973,1.35135135135135,20.2702702702703
"E00004173",127,1,72,8,2,1,24,0.78740157480315,56.6929133858268,6.2992125984252,1.5748031496063,0.78740157480315,18.8976377952756
"E00004174",131,5,67,21,8,6,35,3.81679389312977,51.1450381679389,16.030534351145,6.10687022900763,4.58015267175572,26.7175572519084
"E00004175",128,8,58,17,10,3,30,6.25,45.3125,13.28125,7.8125,2.34375,23.4375
"E00004177",74,0,30,3,2,1,9,0,40.5405405405405,4.05405405405405,2.7027027027027,1.35135135135135,12.1621621621622
"E00004179",190,5,99,29,8,7,83,2.63157894736842,52.1052631578947,15.2631578947368,4.21052631578947,3.68421052631579,43.6842105263158
"E00004180",128,2,51,27,24,0,19,1.5625,39.84375,21.09375,18.75,0,14.84375
"E00004181",212,6,119,25,15,6,99,2.83018867924528,56.1320754716981,11.7924528301887,7.07547169811321,2.83018867924528,46.6981132075472
"E00004182",76,1,26,14,7,2,8,1.31578947368421,34.2105263157895,18.4210526315789,9.21052631578947,2.63157894736842,10.5263157894737
"E00004183",106,4,30,23,6,8,24,3.77358490566038,28.3018867924528,21.6981132075472,5.66037735849057,7.54716981132075,22.6415094339623
"E00004184",112,3,42,18,8,6,34,2.67857142857143,37.5,16.0714285714286,7.14285714285714,5.35714285714286,30.3571428571429
