"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E01000842",18,8,5,5,4,3,1,0,14,5,4,5,44.4444444444444,27.7777777777778,27.7777777777778,22.2222222222222,16.6666666666667,5.55555555555556,0,77.7777777777778,27.7777777777778,22.2222222222222,27.7777777777778
"E01000843",70,15,7,48,3,1,0,2,67,14,7,46,21.4285714285714,10,68.5714285714286,4.28571428571429,1.42857142857143,0,2.85714285714286,95.7142857142857,20,10,65.7142857142857
"E01000844",17,2,8,7,0,0,0,0,17,2,8,7,11.7647058823529,47.0588235294118,41.1764705882353,0,0,0,0,100,11.7647058823529,47.0588235294118,41.1764705882353
"E01000845",26,8,8,10,0,0,0,0,26,8,8,10,30.7692307692308,30.7692307692308,38.4615384615385,0,0,0,0,100,30.7692307692308,30.7692307692308,38.4615384615385
"E01000846",81,25,11,45,5,2,0,3,76,23,11,42,30.8641975308642,13.5802469135802,55.5555555555556,6.17283950617284,2.46913580246914,0,3.7037037037037,93.8271604938272,28.3950617283951,13.5802469135802,51.8518518518518
"E01000847",65,18,8,39,3,0,1,2,62,18,7,37,27.6923076923077,12.3076923076923,60,4.61538461538462,0,1.53846153846154,3.07692307692308,95.3846153846154,27.6923076923077,10.7692307692308,56.9230769230769
"E01000848",8,2,6,0,0,0,0,0,8,2,6,0,25,75,0,0,0,0,0,100,25,75,0
"E01000849",26,8,8,10,1,0,1,0,25,8,7,10,30.7692307692308,30.7692307692308,38.4615384615385,3.84615384615385,0,3.84615384615385,0,96.1538461538462,30.7692307692308,26.9230769230769,38.4615384615385
"E01000850",14,3,4,7,1,0,0,1,13,3,4,6,21.4285714285714,28.5714285714286,50,7.14285714285714,0,0,7.14285714285714,92.8571428571429,21.4285714285714,28.5714285714286,42.8571428571429
"E01000851",19,10,6,3,0,0,0,0,19,10,6,3,52.6315789473684,31.5789473684211,15.7894736842105,0,0,0,0,100,52.6315789473684,31.5789473684211,15.7894736842105
"E01000852",10,3,1,6,1,0,1,0,9,3,0,6,30,10,60,10,0,10,0,90,30,0,60
"E01000853",69,28,24,17,1,0,0,1,68,28,24,16,40.5797101449275,34.7826086956522,24.6376811594203,1.44927536231884,0,0,1.44927536231884,98.5507246376812,40.5797101449275,34.7826086956522,23.1884057971014
"E01000854",44,25,10,9,3,1,0,2,41,24,10,7,56.8181818181818,22.7272727272727,20.4545454545455,6.81818181818182,2.27272727272727,0,4.54545454545455,93.1818181818182,54.5454545454545,22.7272727272727,15.9090909090909
"E01000855",7,1,2,4,0,0,0,0,7,1,2,4,14.2857142857143,28.5714285714286,57.1428571428571,0,0,0,0,100,14.2857142857143,28.5714285714286,57.1428571428571
"E01000856",50,14,7,29,3,2,1,0,47,12,6,29,28,14,58,6,4,2,0,94,24,12,58
"E01000857",19,5,3,11,2,1,0,1,17,4,3,10,26.3157894736842,15.7894736842105,57.8947368421053,10.5263157894737,5.26315789473684,0,5.26315789473684,89.4736842105263,21.0526315789474,15.7894736842105,52.6315789473684
"E01000858",89,21,18,50,5,1,2,2,84,20,16,48,23.5955056179775,20.2247191011236,56.1797752808989,5.61797752808989,1.12359550561798,2.24719101123596,2.24719101123596,94.3820224719101,22.4719101123595,17.9775280898876,53.9325842696629
"E01000859",16,3,4,9,0,0,0,0,16,3,4,9,18.75,25,56.25,0,0,0,0,100,18.75,25,56.25
"E01000860",23,6,9,8,1,0,1,0,22,6,8,8,26.0869565217391,39.1304347826087,34.7826086956522,4.34782608695652,0,4.34782608695652,0,95.6521739130435,26.0869565217391,34.7826086956522,34.7826086956522
"E01000861",51,17,16,18,4,1,2,1,47,16,14,17,33.3333333333333,31.3725490196078,35.2941176470588,7.84313725490196,1.96078431372549,3.92156862745098,1.96078431372549,92.156862745098,31.3725490196078,27.4509803921569,33.3333333333333
"E01000862",20,4,5,11,0,0,0,0,20,4,5,11,20,25,55,0,0,0,0,100,20,25,55
"E01000863",31,5,11,15,2,2,0,0,29,3,11,15,16.1290322580645,35.4838709677419,48.3870967741936,6.45161290322581,6.45161290322581,0,0,93.5483870967742,9.67741935483871,35.4838709677419,48.3870967741936
"E01000864",48,15,12,21,3,0,1,2,45,15,11,19,31.25,25,43.75,6.25,0,2.08333333333333,4.16666666666667,93.75,31.25,22.9166666666667,39.5833333333333
"E01000865",12,4,4,4,2,1,0,1,10,3,4,3,33.3333333333333,33.3333333333333,33.3333333333333,16.6666666666667,8.33333333333333,0,8.33333333333333,83.3333333333333,25,33.3333333333333,25
"E01000866",64,14,20,30,3,0,2,1,61,14,18,29,21.875,31.25,46.875,4.6875,0,3.125,1.5625,95.3125,21.875,28.125,45.3125
"E01000867",56,17,12,27,7,5,2,0,49,12,10,27,30.3571428571429,21.4285714285714,48.2142857142857,12.5,8.92857142857143,3.57142857142857,0,87.5,21.4285714285714,17.8571428571429,48.2142857142857
"E01000868",79,24,16,39,2,0,1,1,77,24,15,38,30.379746835443,20.253164556962,49.3670886075949,2.53164556962025,0,1.26582278481013,1.26582278481013,97.4683544303797,30.379746835443,18.9873417721519,48.1012658227848
"E01000869",60,19,15,26,3,1,0,2,57,18,15,24,31.6666666666667,25,43.3333333333333,5,1.66666666666667,0,3.33333333333333,95,30,25,40
"E01000870",63,14,15,34,2,0,1,1,61,14,14,33,22.2222222222222,23.8095238095238,53.968253968254,3.17460317460317,0,1.58730158730159,1.58730158730159,96.8253968253968,22.2222222222222,22.2222222222222,52.3809523809524
"E01000871",22,3,6,13,3,0,2,1,19,3,4,12,13.6363636363636,27.2727272727273,59.0909090909091,13.6363636363636,0,9.09090909090909,4.54545454545455,86.3636363636364,13.6363636363636,18.1818181818182,54.5454545454545
"E01000872",45,10,13,22,3,1,2,0,42,9,11,22,22.2222222222222,28.8888888888889,48.8888888888889,6.66666666666667,2.22222222222222,4.44444444444444,0,93.3333333333333,20,24.4444444444444,48.8888888888889
"E01000873",43,14,17,12,1,0,0,1,42,14,17,11,32.5581395348837,39.5348837209302,27.906976744186,2.32558139534884,0,0,2.32558139534884,97.6744186046512,32.5581395348837,39.5348837209302,25.5813953488372
"E01000874",20,6,9,5,1,0,1,0,19,6,8,5,30,45,25,5,0,5,0,95,30,40,25
"E01000875",65,20,18,27,5,2,1,2,60,18,17,25,30.7692307692308,27.6923076923077,41.5384615384615,7.69230769230769,3.07692307692308,1.53846153846154,3.07692307692308,92.3076923076923,27.6923076923077,26.1538461538462,38.4615384615385
"E01000876",67,10,12,45,4,0,3,1,63,10,9,44,14.9253731343284,17.910447761194,67.1641791044776,5.97014925373134,0,4.47761194029851,1.49253731343284,94.0298507462687,14.9253731343284,13.4328358208955,65.6716417910448
"E01000877",28,5,16,7,1,0,0,1,27,5,16,6,17.8571428571429,57.1428571428571,25,3.57142857142857,0,0,3.57142857142857,96.4285714285714,17.8571428571429,57.1428571428571,21.4285714285714
"E01000878",19,5,4,10,1,0,1,0,18,5,3,10,26.3157894736842,21.0526315789474,52.6315789473684,5.26315789473684,0,5.26315789473684,0,94.7368421052632,26.3157894736842,15.7894736842105,52.6315789473684
