"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E02000166",263,76,57,130,18,5,6,7,245,71,51,123,28.8973384030418,21.6730038022814,49.4296577946768,6.84410646387833,1.90114068441065,2.28136882129278,2.6615969581749,93.1558935361217,26.9961977186312,19.3916349809886,46.7680608365019
"E02000167",91,29,33,29,18,6,9,3,73,23,24,26,31.8681318681319,36.2637362637363,31.8681318681319,19.7802197802198,6.59340659340659,9.89010989010989,3.2967032967033,80.2197802197802,25.2747252747253,26.3736263736264,28.5714285714286
"E02000168",222,62,54,106,14,2,7,5,208,60,47,101,27.9279279279279,24.3243243243243,47.7477477477478,6.30630630630631,0.900900900900901,3.15315315315315,2.25225225225225,93.6936936936937,27.027027027027,21.1711711711712,45.4954954954955
"E02000169",99,32,29,38,11,1,7,3,88,31,22,35,32.3232323232323,29.2929292929293,38.3838383838384,11.1111111111111,1.01010101010101,7.07070707070707,3.03030303030303,88.8888888888889,31.3131313131313,22.2222222222222,35.3535353535354
"E02000170",158,38,61,59,9,1,5,3,149,37,56,56,24.0506329113924,38.6075949367089,37.3417721518987,5.69620253164557,0.632911392405063,3.16455696202532,1.89873417721519,94.3037974683544,23.4177215189873,35.4430379746835,35.4430379746835
"E02000171",197,38,54,105,16,0,3,13,181,38,51,92,19.2893401015228,27.4111675126904,53.2994923857868,8.12182741116751,0,1.52284263959391,6.5989847715736,91.8781725888325,19.2893401015228,25.8883248730964,46.7005076142132
"E02000172",487,96,95,296,36,9,14,13,451,87,81,283,19.7125256673511,19.5071868583162,60.7802874743327,7.39219712525667,1.84804928131417,2.87474332648871,2.6694045174538,92.6078028747433,17.864476386037,16.6324435318275,58.1108829568789
"E02000173",84,20,27,37,7,0,6,1,77,20,21,36,23.8095238095238,32.1428571428571,44.047619047619,8.33333333333333,0,7.14285714285714,1.19047619047619,91.6666666666667,23.8095238095238,25,42.8571428571429
"E02000174",301,75,73,153,16,4,8,4,285,71,65,149,24.9169435215947,24.2524916943522,50.8305647840532,5.3156146179402,1.32890365448505,2.6578073089701,1.32890365448505,94.6843853820598,23.5880398671096,21.5946843853821,49.5016611295681
"E02000175",214,46,65,103,8,1,3,4,206,45,62,99,21.4953271028037,30.3738317757009,48.1308411214953,3.73831775700935,0.467289719626168,1.4018691588785,1.86915887850467,96.2616822429907,21.0280373831776,28.9719626168224,46.2616822429907
"E02000176",69,20,27,22,5,3,2,0,64,17,25,22,28.9855072463768,39.1304347826087,31.8840579710145,7.2463768115942,4.34782608695652,2.89855072463768,0,92.7536231884058,24.6376811594203,36.231884057971,31.8840579710145
"E02000177",376,83,70,223,20,1,5,14,356,82,65,209,22.0744680851064,18.6170212765957,59.3085106382979,5.31914893617021,0.265957446808511,1.32978723404255,3.72340425531915,94.6808510638298,21.8085106382979,17.2872340425532,55.5851063829787
"E02000178",340,105,62,173,27,9,9,9,313,96,53,164,30.8823529411765,18.2352941176471,50.8823529411765,7.94117647058823,2.64705882352941,2.64705882352941,2.64705882352941,92.0588235294118,28.2352941176471,15.5882352941176,48.2352941176471
"E02000179",242,66,34,142,11,3,1,7,231,63,33,135,27.2727272727273,14.0495867768595,58.6776859504132,4.54545454545455,1.2396694214876,0.413223140495868,2.89256198347107,95.4545454545455,26.0330578512397,13.6363636363636,55.7851239669422
"E02000180",255,79,59,117,17,7,4,6,238,72,55,111,30.9803921568627,23.1372549019608,45.8823529411765,6.66666666666667,2.74509803921569,1.56862745098039,2.35294117647059,93.3333333333333,28.2352941176471,21.5686274509804,43.5294117647059
"E02000181",134,23,32,79,5,2,2,1,129,21,30,78,17.1641791044776,23.8805970149254,58.955223880597,3.73134328358209,1.49253731343284,1.49253731343284,0.746268656716418,96.2686567164179,15.6716417910448,22.3880597014925,58.2089552238806
"E02000182",158,27,37,94,6,0,3,3,152,27,34,91,17.0886075949367,23.4177215189873,59.4936708860759,3.79746835443038,0,1.89873417721519,1.89873417721519,96.2025316455696,17.0886075949367,21.5189873417722,57.5949367088608
"E02000183",167,39,39,89,8,2,3,3,159,37,36,86,23.3532934131737,23.3532934131737,53.2934131736527,4.79041916167665,1.19760479041916,1.79640718562874,1.79640718562874,95.2095808383233,22.1556886227545,21.5568862275449,51.497005988024
"E02000184",329,87,63,179,26,5,8,13,303,82,55,166,26.4437689969605,19.1489361702128,54.4072948328268,7.90273556231003,1.51975683890578,2.43161094224924,3.95136778115502,92.09726443769,24.9240121580547,16.7173252279635,50.4559270516717
"E02000185",340,82,62,196,11,5,2,4,329,77,60,192,24.1176470588235,18.2352941176471,57.6470588235294,3.23529411764706,1.47058823529412,0.588235294117647,1.17647058823529,96.7647058823529,22.6470588235294,17.6470588235294,56.4705882352941
"E02000186",155,35,40,80,8,3,2,3,147,32,38,77,22.5806451612903,25.8064516129032,51.6129032258064,5.16129032258065,1.93548387096774,1.29032258064516,1.93548387096774,94.8387096774194,20.6451612903226,24.5161290322581,49.6774193548387
"E02000187",362,85,66,211,22,4,5,13,340,81,61,198,23.4806629834254,18.232044198895,58.2872928176796,6.07734806629834,1.10497237569061,1.38121546961326,3.59116022099448,93.9226519337017,22.3756906077348,16.8508287292818,54.6961325966851
"E02000188",296,94,65,137,20,0,9,11,276,94,56,126,31.7567567567568,21.9594594594595,46.2837837837838,6.75675675675676,0,3.04054054054054,3.71621621621622,93.2432432432432,31.7567567567568,18.9189189189189,42.5675675675676
"E02000189",258,126,23,109,11,2,4,5,247,124,19,104,48.8372093023256,8.91472868217054,42.2480620155039,4.26356589147287,0.775193798449612,1.55038759689922,1.93798449612403,95.7364341085271,48.062015503876,7.36434108527132,40.3100775193798
"E02000190",203,72,56,75,14,2,3,9,189,70,53,66,35.4679802955665,27.5862068965517,36.9458128078818,6.89655172413793,0.985221674876847,1.47783251231527,4.43349753694581,93.1034482758621,34.4827586206897,26.1083743842365,32.512315270936
"E02000191",87,41,21,25,5,1,1,3,82,40,20,22,47.1264367816092,24.1379310344828,28.735632183908,5.74712643678161,1.14942528735632,1.14942528735632,3.44827586206897,94.2528735632184,45.9770114942529,22.9885057471264,25.2873563218391
"E02000192",242,44,57,141,23,1,10,12,219,43,47,129,18.1818181818182,23.5537190082645,58.2644628099173,9.50413223140496,0.413223140495868,4.13223140495868,4.95867768595041,90.495867768595,17.7685950413223,19.4214876033058,53.3057851239669
"E02000193",99,20,34,45,8,0,6,2,91,20,28,43,20.2020202020202,34.3434343434343,45.4545454545455,8.08080808080808,0,6.06060606060606,2.02020202020202,91.9191919191919,20.2020202020202,28.2828282828283,43.4343434343434
