"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E00004120",5,2,2,1,3,2,1,0,2,0,1,1,40,40,20,60,40,20,0,40,0,20,20
"E00004121",2,0,0,2,0,0,0,0,2,0,0,2,0,0,100,0,0,0,0,100,0,0,100
"E00004122",2,2,0,0,0,0,0,0,2,2,0,0,100,0,0,0,0,0,0,100,100,0,0
"E00004123",2,0,2,0,0,0,0,0,2,0,2,0,0,100,0,0,0,0,0,100,0,100,0
"E00004124",2,0,1,1,0,0,0,0,2,0,1,1,0,50,50,0,0,0,0,100,0,50,50
"E00004125",6,2,2,2,1,0,1,0,5,2,1,2,33.3333333333333,33.3333333333333,33.3333333333333,16.6666666666667,0,16.6666666666667,0,83.3333333333333,33.3333333333333,16.6666666666667,33.3333333333333
"E00004126",1,0,1,0,0,0,0,0,1,0,1,0,0,100,0,0,0,0,0,100,0,100,0
"E00004127",9,5,0,4,0,0,0,0,9,5,0,4,55.5555555555556,0,44.4444444444444,0,0,0,0,100,55.5555555555556,0,44.4444444444444
"E00004128",1,0,1,0,0,0,0,0,1,0,1,0,0,100,0,0,0,0,0,100,0,100,0
"E00004129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004130",3,0,1,2,0,0,0,0,3,0,1,2,0,33.3333333333333,66.6666666666667,0,0,0,0,100,0,33.3333333333333,66.6666666666667
"E00004131",2,1,1,0,0,0,0,0,2,1,1,0,50,50,0,0,0,0,0,100,50,50,0
"E00004132",2,0,2,0,0,0,0,0,2,0,2,0,0,100,0,0,0,0,0,100,0,100,0
