"GeographyCode","KS202EW0001","KS202EW0002","KS202EW0003","KS202EW0004","KS202EW0005","KS202EW0006","KS202EW0007","KS202EW0008","KS202EW0009","KS202EW0010","KS202EW0011","KS202EW0012","KS202EW0013","KS202EW0014","KS202EW0015","KS202EW0016","KS202EW0017","KS202EW0018","KS202EW0019","KS202EW0020","KS202EW0021","KS202EW0022","KS202EW0023","KS202EW0024","KS202EW0025","KS202EW0026","KS202EW0027","KS202EW0028","KS202EW0029","KS202EW0030","KS202EW0031","KS202EW0032","KS202EW0033","KS202EW0034","KS202EW0035","KS202EW0036","KS202EW0037","KS202EW0038","KS202EW0039","KS202EW0040","KS202EW0041","KS202EW0042","KS202EW0043","KS202EW0044","KS202EW0045","KS202EW0046","KS202EW0047","KS202EW0048","KS202EW0049","KS202EW0050","KS202EW0051","KS202EW0052","KS202EW0053","KS202EW0054","KS202EW0055","KS202EW0056","KS202EW0057","KS202EW0058","KS202EW0059","KS202EW0060","KS202EW0061","KS202EW0062","KS202EW0063","KS202EW0064","KS202EW0065","KS202EW0066","KS202EW0067","KS202EW0068","KS202EW0069","KS202EW0070","KS202EW0071","KS202EW0072","KS202EW0073","KS202EW0074"
"E02000166",7924,3372,454,137,3961,7924,39,10,15,7860,7924,95,19,30,7780,7924,48,5,13,7858,7924,2314,688,4922,7924,1,0,0,7923,7924,222,12,2,0,12,0,7676,7924,1270,270,6384,42.5542655224634,5.72942958101969,1.72892478546189,49.987380111055,0.492175668854114,0.126198889449773,0.189298334174659,99.1923271075215,1.19888944977284,0.239777889954568,0.378596668349319,98.1827359919233,0.60575466935891,0.0630994447248864,0.164058556284705,99.1670873296315,29.2024230186774,8.68248359414437,62.1150933871782,0.0126198889449773,0,0,99.987380111055,2.80161534578496,0.151438667339727,0.0252397778899546,0,0.151438667339727,0,96.8702675416456,16.0272589601212,3.40737001514387,80.565371024735
"E02000167",7944,2690,555,215,4484,7944,42,9,21,7872,7944,86,23,33,7802,7944,14,7,14,7909,7944,1871,870,5203,7944,2,0,0,7942,7944,103,0,0,1,4,0,7836,7944,2226,384,5334,33.8620342396777,6.98640483383686,2.70644511581067,56.4451158106747,0.528700906344411,0.113293051359517,0.264350453172205,99.0936555891239,1.08257804632427,0.289526686807654,0.415407854984894,98.2124874118832,0.176233635448137,0.0881168177240685,0.176233635448137,99.5594159113797,23.5523665659617,10.9516616314199,65.4959718026183,0.0251762336354481,0,0,99.9748237663646,1.29657603222558,0,0,0.0125881168177241,0.0503524672708963,0,98.6404833836858,28.0211480362538,4.83383685800604,67.1450151057402
"E02000168",8172,3182,582,201,4207,8172,42,11,35,8084,8172,106,20,44,8002,8172,37,1,13,8121,8172,2448,832,4892,8172,1,0,2,8169,8172,249,8,0,2,8,0,7905,8172,1397,266,6509,38.937836514929,7.12187958883994,2.45961820851689,51.4806656877141,0.513950073421439,0.134605971610377,0.428291727851199,98.923152227117,1.29711209006363,0.244738130200685,0.538423886441508,97.9197258932942,0.452765540871268,0.0122369065100343,0.159079784630445,99.3759177679883,29.9559471365639,10.1811062163485,59.8629466470876,0.0122369065100343,0,0.0244738130200685,99.9632892804699,3.04698972099853,0.0978952520802741,0,0.0244738130200685,0.0978952520802741,0,96.7327459618209,17.0949583945179,3.25501713166911,79.650024473813
"E02000169",7637,2503,429,169,4536,7637,30,4,12,7591,7637,64,16,16,7541,7637,15,2,11,7609,7637,1774,660,5203,7637,0,0,0,7637,7637,119,6,2,1,11,0,7498,7637,2451,329,4857,32.77464973157,5.61738902710488,2.2129108288595,59.3950504124656,0.392824407489852,0.0523765876653136,0.157129762995941,99.3976692418489,0.838025402645018,0.209506350661254,0.209506350661254,98.7429618960325,0.196412203744926,0.0261882938326568,0.144035616079612,99.6333638863428,23.2290166295666,8.64213696477674,68.1288464056567,0,0,0,100,1.55820348304308,0.0785648814979704,0.0261882938326568,0.0130941469163284,0.144035616079612,0,98.1799135786303,32.0937540919209,4.30797433547204,63.598271572607
"E02000170",8338,2560,505,176,5097,8338,57,17,22,8242,8338,106,15,14,8203,8338,43,7,7,8281,8338,2156,768,5414,8338,0,0,0,8338,8338,251,12,1,1,15,0,8058,8338,2514,329,5495,30.7028064284001,6.05660829935236,2.11081794195251,61.129767330295,0.683617174382346,0.203885823938594,0.263852242744063,98.848644758935,1.27128807867594,0.179899256416407,0.167905972655313,98.3809066922523,0.515711201727033,0.0839529863276565,0.0839529863276565,99.3163828256177,25.8575197889182,9.21084192852003,64.9316382825618,0,0,0,100,3.01031422403454,0.143919405133125,0.0119932837610938,0.0119932837610938,0.179899256416407,0,96.6418805468937,30.1511153753898,3.94579035739986,65.9030942672104
"E02000171",7818,2810,470,174,4364,7818,54,12,11,7741,7818,86,16,28,7688,7818,27,1,1,7789,7818,2221,685,4912,7818,1,0,0,7817,7818,155,7,0,0,11,0,7645,7818,1817,275,5726,35.9426963417754,6.01176771552827,2.2256331542594,55.8199027884369,0.69071373752878,0.153491941673062,0.14070094653364,99.0150933742645,1.10002558199028,0.20465592223075,0.358147863903812,98.3371706318752,0.34535686876439,0.0127909951394218,0.0127909951394218,99.6290611409568,28.4088002046559,8.76183167050397,62.8293681248401,0.0127909951394218,0,0,99.9872090048606,1.98260424661039,0.0895369659759529,0,0,0.14070094653364,0,97.78715784088,23.2412381683295,3.51752366334101,73.2412381683295
"E02000172",10147,3709,494,185,5759,10147,57,6,20,10064,10147,103,15,27,10002,10147,37,1,8,10101,10147,3431,717,5999,10147,0,1,0,10146,10147,252,6,0,0,24,0,9865,10147,1964,291,7892,36.552675667685,4.86843401990736,1.82319897506652,56.7556913373411,0.561742386912388,0.059130777569725,0.197102591899083,99.1820242436188,1.01507834828028,0.147826943924313,0.266088499063763,98.5710062087316,0.364639795013304,0.00985512959495417,0.0788410367596334,99.5466640386321,33.8129496402878,7.06612791958214,59.1209224401301,0,0.00985512959495417,0,99.990144870405,2.48349265792845,0.059130777569725,0,0,0.2365231102789,0,97.2208534542229,19.35547452449,2.86784271213166,77.7766827633783
"E02000173",7675,2020,418,163,5074,7675,32,4,9,7630,7675,70,18,15,7572,7675,25,2,2,7646,7675,1846,668,5161,7675,1,0,0,7674,7675,119,0,0,0,8,0,7548,7675,2897,323,4455,26.3192182410423,5.44625407166124,2.12377850162866,66.1107491856677,0.416938110749186,0.0521172638436482,0.117263843648208,99.413680781759,0.912052117263844,0.234527687296417,0.195439739413681,98.6579804560261,0.325732899022801,0.0260586319218241,0.0260586319218241,99.6221498371335,24.0521172638436,8.70358306188925,67.2442996742671,0.0130293159609121,0,0,99.9869706840391,1.55048859934853,0,0,0,0.104234527687296,0,98.3452768729642,37.7459283387622,4.20846905537459,58.0456026058632
"E02000174",8714,2863,485,139,5227,8714,50,10,23,8631,8714,108,20,21,8565,8714,27,6,10,8671,8714,2868,718,5128,8714,3,0,1,8710,8714,228,2,1,0,15,1,8467,8714,1995,248,6471,32.8551755795272,5.56575625430342,1.59513426669727,59.9839338994721,0.573789304567363,0.114757860913473,0.263943080100987,99.0475097544182,1.2393848978655,0.229515721826945,0.240991507918292,98.2901078723893,0.309846224466376,0.0688547165480835,0.114757860913473,99.5065411980721,32.9125545099839,8.23961441358733,58.8478310764287,0.0344273582740418,0,0.0114757860913473,99.9540968556346,2.61647922882717,0.0229515721826945,0.0114757860913473,0,0.172136791370209,0.0114757860913473,97.1654808354372,22.8941932522378,2.84599495065412,74.2598117971081
"E02000175",8848,2657,515,176,5500,8848,69,13,23,8743,8848,79,32,19,8718,8848,33,7,5,8803,8848,2412,804,5632,8848,0,0,0,8848,8848,222,1,0,1,16,0,8608,8848,2685,310,5853,30.0293851717902,5.82052441229656,1.98915009041591,62.1609403254973,0.779837251356239,0.146925858951175,0.25994575045208,98.8132911392405,0.892857142857143,0.361663652802893,0.214737793851718,98.5307414104882,0.372965641952984,0.0791139240506329,0.0565099457504521,99.4914104882459,27.2603978300181,9.08679927667269,63.6528028933092,0,0,0,100,2.50904159132007,0.0113019891500904,0,0.0113019891500904,0.180831826401447,0,97.2875226039783,30.3458408679928,3.50361663652803,66.1505424954792
