"GeographyCode","KS205EW0001","KS205EW0002","KS205EW0003","KS205EW0004","KS205EW0005","KS205EW0006","KS205EW0007","KS205EW0008","KS205EW0009","KS205EW0010","KS205EW0011","KS205EW0012","KS205EW0013","KS205EW0014","KS205EW0015","KS205EW0016","KS205EW0017","KS205EW0018","KS205EW0019","KS205EW0020","KS205EW0021","KS205EW0022","KS205EW0023","KS205EW0024","KS205EW0025"
"E01000842",1444,25,925,38,238,25,24,88,153,0,12,63,0,1.73130193905817,64.0581717451524,2.63157894736842,16.4819944598338,1.73130193905817,1.66204986149584,6.09418282548476,10.595567867036,0,0.831024930747922,4.36288088642659,0
"E01000843",1678,78,1148,21,191,42,35,116,115,4,13,50,1,4.64839094159714,68.414779499404,1.25148986889154,11.3825983313468,2.50297973778308,2.08581644815256,6.91299165673421,6.85339690107271,0.238379022646007,0.774731823599523,2.97973778307509,0.0595947556615018
"E01000844",1772,44,1020,35,301,59,24,189,165,2,17,92,0,2.48306997742664,57.5620767494357,1.97516930022573,16.9864559819413,3.32957110609481,1.35440180586907,10.665914221219,9.31151241534989,0.112866817155756,0.959367945823928,5.19187358916479,0
"E01000845",1464,40,1009,34,190,28,25,70,108,0,8,66,0,2.73224043715847,68.9207650273224,2.3224043715847,12.9781420765027,1.91256830601093,1.70765027322404,4.78142076502732,7.37704918032787,0,0.546448087431694,4.50819672131148,0
"E01000846",1501,86,1124,32,113,30,27,78,64,0,22,25,0,5.72951365756163,74.8834110592938,2.13191205862758,7.52831445702865,1.99866755496336,1.79880079946702,5.19653564290473,4.26382411725516,0,1.46568954030646,1.6655562958028,0
"E01000847",1686,65,1257,39,134,26,45,126,67,5,14,32,0,3.8552787663108,74.5551601423488,2.31316725978648,7.94780545670225,1.54211150652432,2.66903914590747,7.47330960854092,3.97390272835113,0.29655990510083,0.830367734282325,1.89798339264531,0
"E01000848",1588,38,982,28,248,45,18,105,186,1,16,77,0,2.39294710327456,61.8387909319899,1.7632241813602,15.6171284634761,2.83375314861461,1.13350125944584,6.61209068010076,11.7128463476071,0.0629722921914358,1.00755667506297,4.84886649874055,0
"E01000849",1569,40,1013,55,221,40,24,93,114,3,10,88,1,2.54939451880178,64.5634161886552,3.50541746335245,14.0854047163799,2.54939451880178,1.52963671128107,5.92734225621415,7.26577437858509,0.191204588910134,0.637348629700446,5.60866794136393,0.0637348629700446
"E01000850",1694,34,981,58,284,19,38,231,79,3,19,51,0,2.00708382526564,57.9102715466352,3.42384887839433,16.7650531286895,1.12160566706021,2.24321133412042,13.6363636363636,4.66351829988194,0.177095631641086,1.12160566706021,3.01062573789847,0
"E01000851",2383,39,1426,53,412,43,41,299,120,6,17,70,1,1.63659253042384,59.8405371380613,2.22408728493496,17.2891313470415,1.80444817456987,1.72052035249685,12.5472093999161,5.03566932438103,0.251783466219052,0.713386487620646,2.9374737725556,0.0419639110365086
"E01000852",1587,63,796,35,224,40,26,367,73,3,12,33,1,3.96975425330813,50.1575299306868,2.20541902961563,14.11468178954,2.52047889098929,1.63831127914304,23.1253938248267,4.59987397605545,0.189035916824197,0.756143667296786,2.07939508506616,0.0630119722747322
"E01000853",1631,122,1081,47,215,19,25,102,42,1,12,24,0,7.48007357449418,66.2783568362968,2.88166768853464,13.182096873084,1.16492949110975,1.53280196198651,6.25383200490497,2.57510729613734,0.0613120784794604,0.735744941753525,1.47148988350705,0
