"GeographyCode","KS209EW0001","KS209EW0002","KS209EW0003","KS209EW0004","KS209EW0005","KS209EW0006","KS209EW0007","KS209EW0008","KS209EW0009","KS209EW0010","KS209EW0011","KS209EW0012","KS209EW0013","KS209EW0014","KS209EW0015","KS209EW0016","KS209EW0017","KS209EW0018","KS209EW0019"
"E00004120",314,102,3,6,41,11,0,1,84,66,32.484076433121,0.955414012738854,1.91082802547771,13.0573248407643,3.5031847133758,0,0.318471337579618,26.7515923566879,21.0191082802548
"E00004121",250,82,4,7,43,2,5,1,68,38,32.8,1.6,2.8,17.2,0.8,2,0.4,27.2,15.2
"E00004122",236,64,5,7,42,12,0,1,64,41,27.1186440677966,2.11864406779661,2.96610169491525,17.7966101694915,5.08474576271187,0,0.423728813559322,27.1186440677966,17.3728813559322
"E00004123",296,80,6,8,86,19,1,1,47,48,27.027027027027,2.02702702702703,2.7027027027027,29.0540540540541,6.41891891891892,0.337837837837838,0.337837837837838,15.8783783783784,16.2162162162162
"E00004124",176,53,3,2,14,4,0,1,46,53,30.1136363636364,1.70454545454545,1.13636363636364,7.95454545454545,2.27272727272727,0,0.568181818181818,26.1363636363636,30.1136363636364
"E00004125",268,73,6,7,26,7,1,0,94,54,27.2388059701493,2.23880597014925,2.61194029850746,9.70149253731343,2.61194029850746,0.373134328358209,0,35.0746268656716,20.1492537313433
"E00004126",274,94,1,5,20,7,5,1,68,73,34.3065693430657,0.364963503649635,1.82481751824817,7.2992700729927,2.55474452554745,1.82481751824817,0.364963503649635,24.8175182481752,26.6423357664234
"E00004127",265,87,1,4,22,17,0,0,76,58,32.8301886792453,0.377358490566038,1.50943396226415,8.30188679245283,6.41509433962264,0,0,28.6792452830189,21.8867924528302
"E00004128",293,102,3,5,49,8,0,3,59,64,34.8122866894198,1.02389078498294,1.70648464163823,16.7235494880546,2.73037542662116,0,1.02389078498294,20.1365187713311,21.8430034129693
"E00004129",265,93,4,4,32,9,0,4,66,53,35.0943396226415,1.50943396226415,1.50943396226415,12.0754716981132,3.39622641509434,0,1.50943396226415,24.9056603773585,20
"E00004130",268,102,3,8,22,15,0,2,48,68,38.0597014925373,1.11940298507463,2.98507462686567,8.2089552238806,5.59701492537313,0,0.746268656716418,17.910447761194,25.3731343283582
"E00004131",280,67,14,0,33,7,0,0,89,70,23.9285714285714,5,0,11.7857142857143,2.5,0,0,31.7857142857143,25
"E00004132",204,70,0,3,19,3,0,0,67,42,34.3137254901961,0,1.47058823529412,9.31372549019608,1.47058823529412,0,0,32.843137254902,20.5882352941176
"E00004133",255,85,2,9,31,11,1,3,63,50,33.3333333333333,0.784313725490196,3.52941176470588,12.156862745098,4.31372549019608,0.392156862745098,1.17647058823529,24.7058823529412,19.6078431372549
"E00004134",188,56,4,2,22,5,0,3,55,41,29.7872340425532,2.12765957446809,1.06382978723404,11.7021276595745,2.65957446808511,0,1.59574468085106,29.2553191489362,21.8085106382979
"E00004135",143,47,5,4,12,6,1,1,39,28,32.8671328671329,3.4965034965035,2.7972027972028,8.39160839160839,4.1958041958042,0.699300699300699,0.699300699300699,27.2727272727273,19.5804195804196
"E00004136",228,90,2,2,30,1,1,0,71,31,39.4736842105263,0.87719298245614,0.87719298245614,13.1578947368421,0.43859649122807,0.43859649122807,0,31.140350877193,13.5964912280702
"E00004137",272,91,6,2,34,2,2,0,59,76,33.4558823529412,2.20588235294118,0.735294117647059,12.5,0.735294117647059,0.735294117647059,0,21.6911764705882,27.9411764705882
"E00004138",225,82,2,7,13,8,0,1,59,53,36.4444444444444,0.888888888888889,3.11111111111111,5.77777777777778,3.55555555555556,0,0.444444444444444,26.2222222222222,23.5555555555556
"E00004139",333,107,2,0,2,117,5,3,21,76,32.1321321321321,0.600600600600601,0,0.600600600600601,35.1351351351351,1.5015015015015,0.900900900900901,6.30630630630631,22.8228228228228
"E00004140",206,65,0,2,24,4,1,3,52,55,31.5533980582524,0,0.970873786407767,11.6504854368932,1.94174757281553,0.485436893203883,1.45631067961165,25.2427184466019,26.6990291262136
"E00004141",188,66,2,6,13,4,0,1,56,40,35.1063829787234,1.06382978723404,3.19148936170213,6.91489361702128,2.12765957446809,0,0.531914893617021,29.7872340425532,21.2765957446809
"E00004142",237,57,12,5,30,2,0,0,76,55,24.0506329113924,5.06329113924051,2.10970464135021,12.6582278481013,0.843881856540084,0,0,32.0675105485232,23.2067510548523
"E00004143",242,109,2,3,20,11,0,2,67,28,45.0413223140496,0.826446280991736,1.2396694214876,8.26446280991736,4.54545454545455,0,0.826446280991736,27.6859504132231,11.5702479338843
"E00004144",230,82,0,2,20,5,0,0,81,40,35.6521739130435,0,0.869565217391304,8.69565217391304,2.17391304347826,0,0,35.2173913043478,17.3913043478261
"E00004145",256,90,2,2,19,4,1,1,85,52,35.15625,0.78125,0.78125,7.421875,1.5625,0.390625,0.390625,33.203125,20.3125
"E00004146",249,86,2,7,22,2,1,0,70,59,34.5381526104418,0.803212851405622,2.81124497991968,8.83534136546185,0.803212851405622,0.401606425702811,0,28.1124497991968,23.6947791164659
"E00004147",225,81,4,3,26,0,0,4,68,39,36,1.77777777777778,1.33333333333333,11.5555555555556,0,0,1.77777777777778,30.2222222222222,17.3333333333333
"E00004148",175,44,5,2,23,1,0,0,50,50,25.1428571428571,2.85714285714286,1.14285714285714,13.1428571428571,0.571428571428571,0,0,28.5714285714286,28.5714285714286
"E00004149",337,108,5,8,46,7,0,0,101,62,32.0474777448071,1.48367952522255,2.37388724035608,13.6498516320475,2.07715133531157,0,0,29.9703264094956,18.3976261127596
"E00004150",304,94,6,1,30,7,0,2,67,97,30.9210526315789,1.97368421052632,0.328947368421053,9.86842105263158,2.30263157894737,0,0.657894736842105,22.0394736842105,31.9078947368421
"E00004151",261,82,1,4,23,2,1,2,103,43,31.4176245210728,0.383141762452107,1.53256704980843,8.81226053639847,0.766283524904214,0.383141762452107,0.766283524904214,39.463601532567,16.4750957854406
"E00004152",243,96,1,1,36,0,0,0,57,52,39.5061728395062,0.411522633744856,0.411522633744856,14.8148148148148,0,0,0,23.4567901234568,21.3991769547325
"E00004153",206,65,2,2,12,25,3,4,56,37,31.5533980582524,0.970873786407767,0.970873786407767,5.8252427184466,12.1359223300971,1.45631067961165,1.94174757281553,27.1844660194175,17.9611650485437
"E00004154",255,55,2,3,31,0,1,5,68,90,21.5686274509804,0.784313725490196,1.17647058823529,12.156862745098,0,0.392156862745098,1.96078431372549,26.6666666666667,35.2941176470588
"E00004155",250,63,4,19,29,9,1,0,64,61,25.2,1.6,7.6,11.6,3.6,0.4,0,25.6,24.4
"E00004156",223,69,1,1,16,11,1,2,71,51,30.9417040358744,0.448430493273543,0.448430493273543,7.17488789237668,4.93273542600897,0.448430493273543,0.896860986547085,31.8385650224215,22.8699551569507
"E00004157",226,63,0,3,25,3,0,0,72,60,27.8761061946903,0,1.32743362831858,11.0619469026549,1.32743362831858,0,0,31.858407079646,26.5486725663717
"E00004158",284,101,4,1,7,60,0,0,50,61,35.5633802816901,1.40845070422535,0.352112676056338,2.46478873239437,21.1267605633803,0,0,17.6056338028169,21.4788732394366
"E00004159",394,108,1,0,1,156,0,3,55,70,27.4111675126904,0.253807106598985,0,0.253807106598985,39.5939086294416,0,0.761421319796954,13.9593908629442,17.7664974619289
"E00004160",214,97,3,3,4,42,0,1,33,31,45.3271028037383,1.4018691588785,1.4018691588785,1.86915887850467,19.6261682242991,0,0.467289719626168,15.4205607476636,14.4859813084112
"E00004161",201,68,1,0,21,5,0,2,57,47,33.8308457711443,0.497512437810945,0,10.4477611940298,2.48756218905473,0,0.995024875621891,28.3582089552239,23.3830845771144
"E00004162",248,74,2,2,11,11,2,0,70,76,29.8387096774194,0.806451612903226,0.806451612903226,4.43548387096774,4.43548387096774,0.806451612903226,0,28.2258064516129,30.6451612903226
"E00004163",393,95,8,23,51,62,0,2,82,70,24.1730279898219,2.03562340966921,5.85241730279898,12.9770992366412,15.7760814249364,0,0.508905852417303,20.8651399491094,17.8117048346056
"E00004164",383,151,3,2,1,112,1,0,56,57,39.4255874673629,0.783289817232376,0.522193211488251,0.261096605744125,29.242819843342,0.261096605744125,0,14.621409921671,14.8825065274151
"E00004165",345,118,2,10,2,105,0,2,45,61,34.2028985507246,0.579710144927536,2.89855072463768,0.579710144927536,30.4347826086957,0,0.579710144927536,13.0434782608696,17.6811594202899
"E00004166",416,129,0,4,2,167,1,1,52,60,31.0096153846154,0,0.961538461538462,0.480769230769231,40.1442307692308,0.240384615384615,0.240384615384615,12.5,14.4230769230769
"E00004167",284,90,2,7,63,6,0,1,45,70,31.6901408450704,0.704225352112676,2.46478873239437,22.1830985915493,2.11267605633803,0,0.352112676056338,15.8450704225352,24.6478873239437
"E00004168",194,40,1,9,36,5,0,1,58,44,20.6185567010309,0.515463917525773,4.63917525773196,18.5567010309278,2.57731958762887,0,0.515463917525773,29.8969072164948,22.680412371134
"E00004169",317,88,3,5,5,8,2,5,77,124,27.7602523659306,0.946372239747634,1.57728706624606,1.57728706624606,2.52365930599369,0.630914826498423,1.57728706624606,24.2902208201893,39.1167192429022
"E00004172",229,86,2,5,3,12,0,2,66,53,37.5545851528384,0.873362445414847,2.18340611353712,1.31004366812227,5.24017467248908,0,0.873362445414847,28.82096069869,23.1441048034935
"E00004173",609,192,20,17,6,55,1,5,239,74,31.5270935960591,3.28407224958949,2.79146141215107,0.985221674876847,9.0311986863711,0.164203612479475,0.821018062397373,39.2446633825944,12.1510673234811
"E00004174",274,85,5,19,0,40,1,3,34,87,31.021897810219,1.82481751824817,6.93430656934307,0,14.5985401459854,0.364963503649635,1.09489051094891,12.4087591240876,31.7518248175182
"E00004175",289,86,5,6,0,45,0,4,58,85,29.757785467128,1.73010380622837,2.07612456747405,0,15.5709342560554,0,1.3840830449827,20.0692041522491,29.4117647058824
"E00004177",296,106,13,8,6,7,2,2,125,27,35.8108108108108,4.39189189189189,2.7027027027027,2.02702702702703,2.36486486486486,0.675675675675676,0.675675675675676,42.2297297297297,9.12162162162162
"E00004179",327,132,5,3,2,53,0,2,62,68,40.3669724770642,1.52905198776758,0.917431192660551,0.611620795107034,16.2079510703364,0,0.611620795107034,18.960244648318,20.7951070336391
"E00004180",283,97,6,2,0,22,0,2,74,80,34.2756183745583,2.12014134275618,0.706713780918728,0,7.77385159010601,0,0.706713780918728,26.1484098939929,28.2685512367491
"E00004181",355,126,5,2,9,58,0,0,74,81,35.4929577464789,1.40845070422535,0.563380281690141,2.53521126760563,16.3380281690141,0,0,20.8450704225352,22.8169014084507
