"GeographyCode","KS301EW0001","KS301EW0002","KS301EW0003","KS301EW0004","KS301EW0005","KS301EW0006","KS301EW0007","KS301EW0008","KS301EW0009","KS301EW0010","KS301EW0011","KS301EW0012","KS301EW0013","KS301EW0014","KS301EW0015","KS301EW0016","KS301EW0017","KS301EW0018","KS301EW0019","KS301EW0020","KS301EW0021","KS301EW0022","KS301EW0023","KS301EW0024","KS301EW0025","KS301EW0026","KS301EW0027","KS301EW0028","KS301EW0029","KS301EW0030","KS301EW0031"
"E02000166",7924,655,669,6600,366,364,4589,4055,2438,902,373,156,7055,600,114,155,8.26602725896012,8.4427057041898,83.2912670368501,4.61887935386169,4.59363957597173,57.9126703685008,51.1736496718829,30.7672892478546,11.3831398283695,4.70721857647653,1.96870267541646,89.0333165068147,7.57193336698637,1.43866733972741,1.95608278647148
"E02000167",7944,381,450,7113,127,192,4876,4936,2138,621,184,65,7298,506,51,89,4.79607250755287,5.66465256797583,89.5392749244713,1.59869083585096,2.41691842900302,61.3796576032226,62.134944612286,26.9133937562941,7.81722054380665,2.31621349446123,0.818227593152065,91.8680765357502,6.36958710976838,0.641993957703928,1.12034239677744
"E02000168",8172,576,641,6955,302,383,5137,4338,2563,851,308,112,7415,575,56,126,7.04845814977974,7.84385707293196,85.1076847772883,3.69554576603035,4.68673519334312,62.860988742046,53.0837004405286,31.3631913852178,10.4136074400392,3.76896720509055,1.37053352912384,90.7366617719041,7.0362212432697,0.685266764561919,1.54185022026432
"E02000169",7637,330,422,6885,86,173,4747,4703,2115,618,149,52,7096,411,53,77,4.32106848238837,5.52572999869059,90.1532015189211,1.12609663480424,2.26528741652481,62.1579154118109,61.5817729474925,27.6941207280346,8.09218279429095,1.95102789053293,0.680895639649077,92.9160665182663,5.38169438261097,0.693989786565405,1.00824931255729
"E02000170",8338,383,535,7420,206,335,5730,4771,2584,690,233,60,7742,419,73,104,4.59342768049892,6.41640681218518,88.9901655073159,2.47061645478532,4.01775005996642,68.7215159510674,57.2199568241785,30.9906452386663,8.27536579515471,2.79443511633485,0.719597025665627,92.8520028783881,5.0251858958983,0.875509714559846,1.24730151115375
"E02000171",7818,523,548,6747,276,312,4909,4355,2276,769,317,101,7129,488,89,112,6.68969045791763,7.00946533640317,86.3008442056792,3.53031465848043,3.99079048349962,62.7909951394218,55.7047838321821,29.1123049373241,9.8362752622154,4.05474545919673,1.29189050908161,91.1870043489383,6.24200562803786,1.13839856740854,1.43259145561525
"E02000172",10147,1059,951,8137,627,632,5817,4714,3223,1338,634,238,9185,572,157,233,10.4365822410565,9.37222824480142,80.1911895141421,6.17916625603627,6.22844190401104,57.3272888538484,46.457080910614,31.7630826845373,13.1861633980487,6.24815216320095,2.34552084359909,90.5193653296541,5.63713412831379,1.54725534640781,2.29624519562432
"E02000173",7675,374,454,6847,176,221,5070,4631,2191,608,179,66,7151,393,47,84,4.87296416938111,5.91530944625407,89.2117263843648,2.29315960912052,2.87947882736156,66.0586319218241,60.3387622149837,28.5472312703583,7.92182410423453,2.33224755700326,0.859934853420195,93.1726384364821,5.12052117263844,0.612377850162866,1.09446254071661
"E02000174",8714,698,635,7381,434,383,5608,4396,2795,945,430,148,7954,484,116,160,8.01009869176039,7.28712416800551,84.7027771402341,4.98049116364471,4.395226072986,64.3562084002754,50.4475556575625,32.0748221253156,10.8446178563232,4.93458801927932,1.69841634151939,91.2784025705761,5.55428046821207,1.33119118659628,1.83612577461556
"E02000175",8848,541,505,7802,340,312,6348,4982,2686,745,337,98,8247,400,92,109,6.11437613019891,5.70750452079566,88.1781193490054,3.84267631103074,3.52622061482821,71.745027124774,56.3065099457504,30.3571428571429,8.41998191681736,3.80877034358047,1.10759493670886,93.2075045207957,4.52079566003617,1.03978300180832,1.23191681735986
