"GeographyCode","KS401EW0001","KS401EW0002","KS401EW0003","KS401EW0004","KS401EW0005","KS401EW0006","KS401EW0007","KS401EW0008","KS401EW0009","KS401EW0010","KS401EW0011","KS401EW0012","KS401EW0013","KS401EW0014","KS401EW0015","KS401EW0016","KS401EW0017","KS401EW0018","KS401EW0019","KS401EW0020","KS401EW0021","KS401EW0022","KS401EW0023","KS401EW0024","KS401EW0025","KS401EW0026"
"E00004120",154,154,0,0,154,143,11,2,8,1,30,112,1,0,100,0,0,92.8571428571429,7.14285714285714,1.2987012987013,5.19480519480519,0.649350649350649,19.4805194805195,72.7272727272727,0.649350649350649,0
"E00004121",123,123,0,0,123,118,5,2,5,1,26,89,0,0,100,0,0,95.9349593495935,4.0650406504065,1.6260162601626,4.0650406504065,0.813008130081301,21.1382113821138,72.3577235772358,0,0
"E00004122",112,112,0,0,112,103,9,0,14,31,33,34,0,0,100,0,0,91.9642857142857,8.03571428571429,0,12.5,27.6785714285714,29.4642857142857,30.3571428571429,0,0
"E00004123",119,119,0,0,119,108,11,2,20,62,29,3,3,0,100,0,0,90.7563025210084,9.2436974789916,1.68067226890756,16.8067226890756,52.1008403361345,24.3697478991597,2.52100840336134,2.52100840336134,0
"E00004124",103,103,0,0,103,100,3,1,4,12,69,17,0,0,100,0,0,97.0873786407767,2.9126213592233,0.970873786407767,3.88349514563107,11.6504854368932,66.9902912621359,16.504854368932,0,0
"E00004125",179,177,1,1,189,178,11,2,4,5,136,41,1,0,98.8826815642458,0.558659217877095,0.558659217877095,94.1798941798942,5.82010582010582,1.05820105820106,2.11640211640212,2.64550264550265,71.9576719576719,21.6931216931217,0.529100529100529,0
"E00004126",139,138,0,1,150,144,6,2,4,19,51,68,6,0,99.2805755395683,0,0.719424460431655,96,4,1.33333333333333,2.66666666666667,12.6666666666667,34,45.3333333333333,4,0
"E00004127",125,125,0,0,125,124,1,0,2,5,83,26,9,0,100,0,0,99.2,0.8,0,1.6,4,66.4,20.8,7.2,0
"E00004128",183,183,0,0,183,161,22,5,12,11,71,83,1,0,100,0,0,87.9781420765027,12.0218579234973,2.73224043715847,6.55737704918033,6.01092896174863,38.7978142076503,45.3551912568306,0.546448087431694,0
"E00004129",147,146,0,1,150,142,8,0,2,17,77,53,1,0,99.3197278911565,0,0.680272108843537,94.6666666666667,5.33333333333333,0,1.33333333333333,11.3333333333333,51.3333333333333,35.3333333333333,0.666666666666667,0
"E00004130",114,112,0,2,131,128,3,1,0,21,10,99,0,0,98.2456140350877,0,1.75438596491228,97.7099236641221,2.29007633587786,0.763358778625954,0,16.030534351145,7.63358778625954,75.5725190839695,0,0
"E00004131",123,123,0,0,123,119,4,2,5,8,15,93,0,0,100,0,0,96.7479674796748,3.2520325203252,1.6260162601626,4.0650406504065,6.50406504065041,12.1951219512195,75.609756097561,0,0
"E00004132",97,97,0,0,97,92,5,2,8,1,17,69,0,0,100,0,0,94.8453608247423,5.15463917525773,2.06185567010309,8.24742268041237,1.03092783505155,17.5257731958763,71.1340206185567,0,0
"E00004133",108,105,0,3,127,118,9,0,2,22,12,91,0,0,97.2222222222222,0,2.77777777777778,92.9133858267717,7.08661417322835,0,1.5748031496063,17.3228346456693,9.44881889763779,71.6535433070866,0,0
"E00004134",109,109,0,0,109,100,9,0,11,6,92,0,0,0,100,0,0,91.743119266055,8.25688073394496,0,10.0917431192661,5.5045871559633,84.4036697247707,0,0,0
"E00004135",116,116,0,0,116,105,11,0,0,0,106,10,0,0,100,0,0,90.5172413793103,9.48275862068965,0,0,0,91.3793103448276,8.62068965517241,0,0
"E00004136",114,113,0,1,116,110,6,0,9,3,16,86,2,0,99.1228070175439,0,0.87719298245614,94.8275862068966,5.17241379310345,0,7.75862068965517,2.58620689655172,13.7931034482759,74.1379310344828,1.72413793103448,0
"E00004137",146,145,0,1,154,147,7,1,6,1,17,128,1,0,99.3150684931507,0,0.684931506849315,95.4545454545455,4.54545454545455,0.649350649350649,3.8961038961039,0.649350649350649,11.038961038961,83.1168831168831,0.649350649350649,0
"E00004138",111,109,0,2,148,142,6,0,0,0,72,76,0,0,98.1981981981982,0,1.8018018018018,95.9459459459459,4.05405405405405,0,0,0,48.6486486486487,51.3513513513513,0,0
"E00004139",113,110,0,3,150,140,10,0,0,1,98,33,13,5,97.3451327433628,0,2.65486725663717,93.3333333333333,6.66666666666667,0,0,0.666666666666667,65.3333333333333,22,8.66666666666667,3.33333333333333
"E00004140",107,104,0,3,119,111,8,1,10,3,8,97,0,0,97.196261682243,0,2.80373831775701,93.2773109243697,6.72268907563025,0.840336134453782,8.40336134453782,2.52100840336134,6.72268907563025,81.5126050420168,0,0
"E00004141",114,113,0,1,121,114,7,0,3,0,17,100,1,0,99.1228070175439,0,0.87719298245614,94.2148760330578,5.78512396694215,0,2.47933884297521,0,14.0495867768595,82.6446280991736,0.826446280991736,0
"E00004142",134,131,2,1,139,133,6,0,0,2,100,37,0,0,97.7611940298508,1.49253731343284,0.746268656716418,95.6834532374101,4.31654676258993,0,0,1.43884892086331,71.9424460431655,26.6187050359712,0,0
"E00004143",107,105,0,2,132,126,6,1,3,0,19,109,0,0,98.1308411214953,0,1.86915887850467,95.4545454545455,4.54545454545455,0.757575757575758,2.27272727272727,0,14.3939393939394,82.5757575757576,0,0
"E00004144",110,110,0,0,110,102,8,0,2,2,97,9,0,0,100,0,0,92.7272727272727,7.27272727272727,0,1.81818181818182,1.81818181818182,88.1818181818182,8.18181818181818,0,0
"E00004145",101,99,0,2,114,110,4,3,6,0,12,93,0,0,98.019801980198,0,1.98019801980198,96.4912280701754,3.50877192982456,2.63157894736842,5.26315789473684,0,10.5263157894737,81.5789473684211,0,0
"E00004146",131,129,0,2,135,126,9,0,2,19,11,103,0,0,98.4732824427481,0,1.52671755725191,93.3333333333333,6.66666666666667,0,1.48148148148148,14.0740740740741,8.14814814814815,76.2962962962963,0,0
"E00004147",130,129,0,1,132,126,6,5,8,12,67,37,3,0,99.2307692307692,0,0.769230769230769,95.4545454545455,4.54545454545455,3.78787878787879,6.06060606060606,9.09090909090909,50.7575757575758,28.030303030303,2.27272727272727,0
