"GeographyCode","KS402EW0001","KS402EW0002","KS402EW0003","KS402EW0004","KS402EW0005","KS402EW0006","KS402EW0007","KS402EW0008","KS402EW0009","KS402EW0010","KS402EW0011","KS402EW0012","KS402EW0013","KS402EW0014","KS402EW0015","KS402EW0016","KS402EW0017"
"E01000842",724,228,131,3,20,63,259,6,14,31.4917127071823,18.0939226519337,0.414364640883978,2.76243093922652,8.70165745856354,35.7734806629834,0.828729281767956,1.93370165745856
"E01000843",846,206,118,1,165,23,310,12,11,24.3498817966903,13.9479905437352,0.118203309692671,19.5035460992908,2.71867612293144,36.6430260047281,1.41843971631206,1.30023640661939
"E01000844",870,192,169,1,17,50,415,12,14,22.0689655172414,19.4252873563218,0.114942528735632,1.95402298850575,5.74712643678161,47.7011494252874,1.37931034482759,1.60919540229885
"E01000845",731,191,157,0,68,25,270,9,11,26.1285909712722,21.4774281805746,0,9.30232558139535,3.41997264021888,36.9357045143639,1.2311901504788,1.50478796169631
"E01000846",616,95,63,3,331,28,84,3,9,15.4220779220779,10.2272727272727,0.487012987012987,53.7337662337662,4.54545454545455,13.6363636363636,0.487012987012987,1.46103896103896
"E01000847",677,120,99,2,251,25,157,16,7,17.725258493353,14.6233382570162,0.295420974889217,37.0753323485968,3.69276218611521,23.1905465288035,2.36336779911374,1.03397341211226
"E01000848",805,236,163,3,52,21,301,11,18,29.3167701863354,20.2484472049689,0.372670807453416,6.45962732919255,2.60869565217391,37.3913043478261,1.36645962732919,2.2360248447205
"E01000849",862,217,157,2,25,38,394,13,16,25.1740139211137,18.2134570765661,0.232018561484919,2.90023201856148,4.40835266821346,45.707656612529,1.50812064965197,1.85614849187935
"E01000850",664,113,58,5,67,52,314,37,18,17.0180722891566,8.73493975903614,0.753012048192771,10.0903614457831,7.83132530120482,47.289156626506,5.57228915662651,2.71084337349398
"E01000851",861,113,105,4,89,58,433,33,26,13.1242740998839,12.1951219512195,0.464576074332172,10.3368176538908,6.73635307781649,50.2903600464576,3.83275261324042,3.01974448315912
"E01000852",625,121,36,1,60,94,265,32,16,19.36,5.76,0.16,9.6,15.04,42.4,5.12,2.56
"E01000853",840,82,62,4,407,123,135,14,13,9.76190476190476,7.38095238095238,0.476190476190476,48.4523809523809,14.6428571428571,16.0714285714286,1.66666666666667,1.54761904761905
"E01000854",718,85,84,2,183,60,249,24,31,11.8384401114206,11.6991643454039,0.278551532033426,25.4874651810585,8.35654596100279,34.6796657381616,3.34261838440111,4.31754874651811
"E01000855",1111,248,164,6,8,177,395,74,39,22.3222322232223,14.7614761476148,0.54005400540054,0.72007200720072,15.9315931593159,35.5535553555356,6.66066606660666,3.51035103510351
"E01000856",628,63,69,2,223,88,171,10,2,10.031847133758,10.9872611464968,0.318471337579618,35.5095541401274,14.0127388535032,27.2292993630573,1.59235668789809,0.318471337579618
"E01000857",686,180,119,2,137,29,200,11,8,26.2390670553936,17.3469387755102,0.291545189504373,19.9708454810496,4.22740524781341,29.1545189504373,1.60349854227405,1.16618075801749
"E01000858",775,59,79,8,221,223,161,13,11,7.61290322580645,10.1935483870968,1.03225806451613,28.5161290322581,28.7741935483871,20.7741935483871,1.67741935483871,1.41935483870968
"E01000859",807,231,161,7,36,51,293,15,13,28.6245353159851,19.9504337050805,0.867410161090459,4.46096654275093,6.31970260223048,36.3073110285006,1.85873605947955,1.61090458488228
"E01000860",797,137,69,3,56,325,141,51,15,17.189460476788,8.65746549560853,0.376411543287327,7.02634880803011,40.7779171894605,17.6913425345044,6.39899623588457,1.88205771643664
"E01000861",729,86,118,2,183,46,266,21,7,11.7969821673525,16.1865569272977,0.274348422496571,25.1028806584362,6.31001371742112,36.4883401920439,2.88065843621399,0.960219478737997
"E01000862",816,283,197,0,26,26,252,16,16,34.6813725490196,24.1421568627451,0,3.18627450980392,3.18627450980392,30.8823529411765,1.96078431372549,1.96078431372549
"E01000863",667,83,70,11,37,95,334,19,18,12.4437781109445,10.4947526236882,1.64917541229385,5.5472263868066,14.2428785607196,50.0749625187406,2.84857571214393,2.69865067466267
"E01000864",717,117,142,1,104,97,230,19,7,16.3179916317992,19.8047419804742,0.139470013947001,14.5048814504881,13.5285913528591,32.0781032078103,2.64993026499303,0.97629009762901
"E01000865",451,92,103,1,49,73,116,9,8,20.3991130820399,22.8381374722838,0.221729490022173,10.8647450110865,16.1862527716186,25.7206208425721,1.99556541019956,1.77383592017738
"E01000866",926,146,147,9,267,140,190,14,13,15.7667386609071,15.8747300215983,0.971922246220302,28.8336933045356,15.1187904967603,20.5183585313175,1.51187904967603,1.40388768898488
"E01000867",675,46,80,9,210,96,206,22,6,6.81481481481481,11.8518518518519,1.33333333333333,31.1111111111111,14.2222222222222,30.5185185185185,3.25925925925926,0.888888888888889
"E01000868",584,33,49,3,408,11,72,2,6,5.65068493150685,8.39041095890411,0.513698630136986,69.8630136986301,1.88356164383562,12.3287671232877,0.342465753424658,1.02739726027397
"E01000869",967,153,171,2,132,118,348,30,13,15.8221302998966,17.6835573940021,0.206825232678387,13.6504653567735,12.2026887280248,35.9875904860393,3.1023784901758,1.34436401240951
"E01000870",774,96,159,8,319,31,144,8,9,12.4031007751938,20.5426356589147,1.03359173126615,41.2144702842377,4.00516795865633,18.6046511627907,1.03359173126615,1.16279069767442
"E01000871",632,183,167,15,72,19,163,6,7,28.9556962025316,26.4240506329114,2.37341772151899,11.3924050632911,3.00632911392405,25.7911392405063,0.949367088607595,1.10759493670886
"E01000872",913,86,144,7,82,53,524,11,6,9.41949616648412,15.7721796276013,0.766703176341731,8.98138006571742,5.80503833515882,57.3932092004381,1.20481927710843,0.657174151150055
"E01000873",710,187,182,0,29,69,228,9,6,26.3380281690141,25.6338028169014,0,4.08450704225352,9.71830985915493,32.112676056338,1.26760563380282,0.845070422535211
"E01000874",704,195,199,1,17,4,261,12,15,27.6988636363636,28.2670454545455,0.142045454545455,2.41477272727273,0.568181818181818,37.0738636363636,1.70454545454545,2.13068181818182
"E01000875",839,106,145,7,46,87,427,11,10,12.6340882002384,17.2824791418355,0.834326579261025,5.48271752085816,10.3694874851013,50.8939213349225,1.31108462455304,1.19189511323004
"E01000876",800,64,144,7,271,71,225,8,10,8,18,0.875,33.875,8.875,28.125,1,1.25
"E01000877",726,130,170,1,34,37,328,12,14,17.9063360881543,23.4159779614325,0.137741046831956,4.6831955922865,5.09641873278237,45.1790633608815,1.65289256198347,1.92837465564738
"E01000878",550,193,113,1,41,21,154,7,20,35.0909090909091,20.5454545454545,0.181818181818182,7.45454545454545,3.81818181818182,28,1.27272727272727,3.63636363636364
"E01000879",602,181,118,1,46,4,236,5,11,30.0664451827243,19.6013289036545,0.166112956810631,7.64119601328904,0.664451827242525,39.202657807309,0.830564784053156,1.82724252491694
"E01000880",621,173,142,0,26,7,255,4,14,27.8582930756844,22.866344605475,0,4.18679549114332,1.12721417069243,41.0628019323672,0.644122383252818,2.25442834138486
"E01000881",632,140,73,3,48,14,339,3,12,22.1518987341772,11.5506329113924,0.474683544303797,7.59493670886076,2.21518987341772,53.6392405063291,0.474683544303797,1.89873417721519
"E01000882",728,211,149,3,17,3,324,6,15,28.9835164835165,20.467032967033,0.412087912087912,2.33516483516484,0.412087912087912,44.5054945054945,0.824175824175824,2.06043956043956
"E01000883",638,133,92,4,33,17,330,16,13,20.846394984326,14.4200626959248,0.626959247648903,5.17241379310345,2.66457680250784,51.7241379310345,2.50783699059561,2.03761755485893
"E01000884",577,214,149,1,15,9,171,7,11,37.0883882149047,25.8232235701906,0.173310225303293,2.59965337954939,1.55979202772964,29.6360485268631,1.21317157712305,1.90641247833622
"E01000885",592,256,92,2,42,8,157,5,30,43.2432432432432,15.5405405405405,0.337837837837838,7.09459459459459,1.35135135135135,26.5202702702703,0.844594594594595,5.06756756756757
"E01000886",606,151,181,2,93,14,150,6,9,24.9174917491749,29.8679867986799,0.33003300330033,15.3465346534653,2.31023102310231,24.7524752475248,0.99009900990099,1.48514851485149
"E01000887",690,128,170,5,119,13,233,12,10,18.5507246376812,24.6376811594203,0.72463768115942,17.2463768115942,1.88405797101449,33.768115942029,1.73913043478261,1.44927536231884
"E01000888",697,150,135,4,123,91,180,8,6,21.5208034433285,19.3687230989957,0.573888091822095,17.6470588235294,13.0559540889527,25.8249641319943,1.14777618364419,0.860832137733142
