"GeographyCode","KS402EW0001","KS402EW0002","KS402EW0003","KS402EW0004","KS402EW0005","KS402EW0006","KS402EW0007","KS402EW0008","KS402EW0009","KS402EW0010","KS402EW0011","KS402EW0012","KS402EW0013","KS402EW0014","KS402EW0015","KS402EW0016","KS402EW0017"
"E00004120",143,40,25,0,7,7,55,2,7,27.972027972028,17.4825174825175,0,4.89510489510489,4.89510489510489,38.4615384615385,1.3986013986014,4.89510489510489
"E00004121",118,37,19,0,0,27,30,3,2,31.3559322033898,16.1016949152542,0,0,22.8813559322034,25.4237288135593,2.54237288135593,1.69491525423729
"E00004122",103,28,31,0,0,0,42,1,1,27.1844660194175,30.0970873786408,0,0,0,40.7766990291262,0.970873786407767,0.970873786407767
"E00004123",108,33,32,0,2,5,21,11,4,30.5555555555556,29.6296296296296,0,1.85185185185185,4.62962962962963,19.4444444444444,10.1851851851852,3.7037037037037
"E00004124",100,31,21,0,4,0,41,0,3,31,21,0,4,0,41,0,3
"E00004125",178,46,28,1,1,0,96,4,2,25.8426966292135,15.7303370786517,0.561797752808989,0.561797752808989,0,53.9325842696629,2.24719101123596,1.12359550561798
"E00004126",144,36,22,0,16,2,61,1,6,25,15.2777777777778,0,11.1111111111111,1.38888888888889,42.3611111111111,0.694444444444444,4.16666666666667
"E00004127",124,22,24,1,5,25,39,3,5,17.741935483871,19.3548387096774,0.806451612903226,4.03225806451613,20.1612903225806,31.4516129032258,2.41935483870968,4.03225806451613
"E00004128",161,51,31,1,11,1,58,5,3,31.6770186335404,19.2546583850932,0.62111801242236,6.83229813664596,0.62111801242236,36.0248447204969,3.1055900621118,1.86335403726708
"E00004129",142,32,26,0,11,3,66,1,3,22.5352112676056,18.3098591549296,0,7.74647887323944,2.11267605633803,46.4788732394366,0.704225352112676,2.11267605633803
"E00004130",128,34,22,0,5,4,60,2,1,26.5625,17.1875,0,3.90625,3.125,46.875,1.5625,0.78125
"E00004131",119,44,29,0,6,0,35,2,3,36.9747899159664,24.3697478991597,0,5.04201680672269,0,29.4117647058824,1.68067226890756,2.52100840336134
"E00004132",92,27,21,2,1,0,36,2,3,29.3478260869565,22.8260869565217,2.17391304347826,1.08695652173913,0,39.1304347826087,2.17391304347826,3.26086956521739
"E00004133",118,17,25,0,8,6,60,1,1,14.4067796610169,21.1864406779661,0,6.77966101694915,5.08474576271187,50.8474576271186,0.847457627118644,0.847457627118644
"E00004134",100,33,15,0,1,2,43,2,4,33,15,0,1,2,43,2,4
"E00004135",105,15,17,0,1,1,66,2,3,14.2857142857143,16.1904761904762,0,0.952380952380952,0.952380952380952,62.8571428571429,1.9047619047619,2.85714285714286
"E00004136",110,31,24,0,2,0,49,3,1,28.1818181818182,21.8181818181818,0,1.81818181818182,0,44.5454545454545,2.72727272727273,0.909090909090909
"E00004137",147,46,34,0,7,15,45,0,0,31.2925170068027,23.1292517006803,0,4.76190476190476,10.2040816326531,30.6122448979592,0,0
"E00004138",142,28,11,0,44,7,51,0,1,19.7183098591549,7.74647887323944,0,30.9859154929577,4.92957746478873,35.9154929577465,0,0.704225352112676
"E00004139",140,3,6,0,104,9,15,2,1,2.14285714285714,4.28571428571429,0,74.2857142857143,6.42857142857143,10.7142857142857,1.42857142857143,0.714285714285714
"E00004140",111,40,15,0,2,0,54,0,0,36.036036036036,13.5135135135135,0,1.8018018018018,0,48.6486486486487,0,0
"E00004141",114,20,20,1,2,44,24,1,2,17.5438596491228,17.5438596491228,0.87719298245614,1.75438596491228,38.5964912280702,21.0526315789474,0.87719298245614,1.75438596491228
"E00004142",133,40,30,0,6,3,50,2,2,30.0751879699248,22.5563909774436,0,4.51127819548872,2.25563909774436,37.593984962406,1.50375939849624,1.50375939849624
"E00004143",126,27,34,0,2,12,49,1,1,21.4285714285714,26.984126984127,0,1.58730158730159,9.52380952380952,38.8888888888889,0.793650793650794,0.793650793650794
"E00004144",102,46,20,0,1,0,32,3,0,45.0980392156863,19.6078431372549,0,0.980392156862745,0,31.3725490196078,2.94117647058824,0
"E00004145",110,40,20,1,3,5,40,0,1,36.3636363636364,18.1818181818182,0.909090909090909,2.72727272727273,4.54545454545455,36.3636363636364,0,0.909090909090909
"E00004146",126,28,24,0,12,5,54,1,2,22.2222222222222,19.047619047619,0,9.52380952380952,3.96825396825397,42.8571428571429,0.793650793650794,1.58730158730159
