"GeographyCode","KS403EW0001","KS403EW0002","KS403EW0003","KS403EW0004","KS403EW0005","KS403EW0009","KS403EW0010","KS403EW0011","KS403EW0012"
"E01000842",724,27,697,154,32,3.7292817679558,96.2707182320442,21.2707182320442,4.41988950276243
"E01000843",846,29,817,327,124,3.42789598108747,96.5721040189125,38.6524822695035,14.6572104018913
"E01000844",870,55,815,233,45,6.32183908045977,93.6781609195402,26.7816091954023,5.17241379310345
"E01000845",731,25,706,167,44,3.41997264021888,96.5800273597811,22.8454172366621,6.01915184678523
"E01000846",616,18,598,182,95,2.92207792207792,97.0779220779221,29.5454545454545,15.4220779220779
"E01000847",677,20,657,169,83,2.95420974889217,97.0457902511078,24.9630723781388,12.2599704579025
"E01000848",805,31,774,165,38,3.85093167701863,96.1490683229814,20.4968944099379,4.72049689440994
"E01000849",862,49,813,299,46,5.68445475638051,94.3155452436195,34.6867749419954,5.33642691415313
"E01000850",664,52,612,241,68,7.83132530120482,92.1686746987952,36.2951807228916,10.2409638554217
"E01000851",861,59,802,429,107,6.85249709639954,93.1475029036005,49.8257839721254,12.4274099883856
"E01000852",625,18,607,299,54,2.88,97.12,47.84,8.64
"E01000853",840,23,817,301,114,2.73809523809524,97.2619047619048,35.8333333333333,13.5714285714286
"E01000854",718,24,694,362,148,3.34261838440111,96.6573816155989,50.4178272980501,20.6128133704735
"E01000855",1111,52,1059,667,102,4.68046804680468,95.3195319531953,60.03600360036,9.18091809180918
"E01000856",628,11,617,230,106,1.7515923566879,98.2484076433121,36.624203821656,16.8789808917197
"E01000857",686,19,667,158,39,2.76967930029155,97.2303206997084,23.0320699708455,5.68513119533528
"E01000858",775,20,755,279,120,2.58064516129032,97.4193548387097,36,15.4838709677419
"E01000859",807,34,773,229,43,4.21313506815366,95.7868649318464,28.3767038413879,5.32837670384139
"E01000860",797,21,776,368,37,2.63488080301129,97.3651191969887,46.1731493099122,4.64240903387704
"E01000861",729,64,665,320,110,8.77914951989026,91.2208504801097,43.8957475994513,15.0891632373114
"E01000862",816,27,789,181,48,3.30882352941176,96.6911764705882,22.1813725490196,5.88235294117647
"E01000863",667,32,635,263,60,4.7976011994003,95.2023988005997,39.4302848575712,8.99550224887556
"E01000864",717,23,694,210,84,3.20781032078103,96.792189679219,29.2887029288703,11.7154811715481
"E01000865",451,3,448,95,24,0.665188470066519,99.3348115299335,21.0643015521064,5.32150776053215
"E01000866",926,29,897,333,134,3.1317494600432,96.8682505399568,35.9611231101512,14.4708423326134
"E01000867",675,20,655,272,112,2.96296296296296,97.037037037037,40.2962962962963,16.5925925925926
"E01000868",584,19,565,273,140,3.25342465753425,96.7465753424658,46.7465753424658,23.972602739726
"E01000869",967,33,934,340,113,3.41261633919338,96.5873836608066,35.1602895553258,11.6856256463289
