"GeographyCode","KS403EW0001","KS403EW0002","KS403EW0003","KS403EW0004","KS403EW0005","KS403EW0009","KS403EW0010","KS403EW0011","KS403EW0012"
"E02000166",3537,96,3441,642,287,2.71416454622561,97.2858354537744,18.1509754028838,8.11422109132033
"E02000167",3629,90,3539,572,151,2.4800220446404,97.5199779553596,15.7619178837145,4.16092587489667
"E02000168",3535,108,3427,966,328,3.05516265912306,96.9448373408769,27.3267326732673,9.27864214992928
"E02000169",2942,49,2893,394,141,1.66553365057784,98.3344663494222,13.3922501699524,4.79265805574439
"E02000170",3685,139,3546,1066,299,3.77204884667571,96.2279511533243,28.9280868385346,8.11397557666214
"E02000171",3502,114,3388,857,307,3.25528269560251,96.7447173043975,24.4717304397487,8.76641918903484
"E02000172",4186,93,4093,1560,689,2.22169135212613,97.7783086478739,37.2670807453416,16.4596273291925
"E02000173",3569,110,3459,1030,256,3.08209582516111,96.9179041748389,28.8596245446904,7.17287755673858
"E02000174",3822,98,3724,1354,525,2.56410256410256,97.4358974358974,35.4264782836211,13.7362637362637
"E02000175",4277,212,4065,1357,389,4.9567453822773,95.0432546177227,31.7278466214636,9.09516015898994
"E02000176",3261,162,3099,851,161,4.96780128794848,95.0321987120515,26.0962894817541,4.93713584789942
"E02000177",3865,80,3785,1266,586,2.06985769728331,97.9301423027167,32.7554980595084,15.1617076326003
"E02000178",4280,139,4141,1533,564,3.24766355140187,96.7523364485981,35.8177570093458,13.1775700934579
"E02000179",2870,92,2778,845,346,3.20557491289199,96.794425087108,29.4425087108014,12.0557491289199
"E02000180",3394,98,3296,1190,473,2.88744843842074,97.1125515615793,35.061873895109,13.9363582793164
"E02000181",3657,106,3551,815,267,2.89855072463768,97.1014492753623,22.2860267979218,7.30106644790812
"E02000182",2963,94,2869,728,297,3.1724603442457,96.8275396557543,24.569692878839,10.0236247046912
"E02000183",3881,121,3760,1215,287,3.11775315640299,96.882246843597,31.3063643390879,7.39500128832775
"E02000184",3655,122,3533,1379,590,3.33789329685363,96.6621067031464,37.7291381668947,16.1422708618331
"E02000185",3938,159,3779,1532,578,4.03758252920264,95.9624174707974,38.9029964448959,14.67750126968
"E02000186",3099,134,2965,1221,370,4.32397547595999,95.67602452404,39.3998063891578,11.9393352694418
"E02000187",3290,64,3226,1243,683,1.94528875379939,98.0547112462006,37.7811550151976,20.7598784194529
"E02000188",3170,103,3067,1303,645,3.24921135646688,96.7507886435331,41.1041009463722,20.3470031545741
"E02000189",2253,116,2137,1072,432,5.14869063470928,94.8513093652907,47.5810031069685,19.1744340878828
"E02000190",3181,184,2997,1394,457,5.78434454574033,94.2156554542597,43.822697265011,14.3665513989312
"E02000191",2868,153,2715,1331,377,5.3347280334728,94.6652719665272,46.4086471408647,13.1450488145049
"E02000192",3375,154,3221,1290,477,4.56296296296296,95.437037037037,38.2222222222222,14.1333333333333
"E02000193",3850,216,3634,1687,433,5.61038961038961,94.3896103896104,43.8181818181818,11.2467532467532
