"GeographyCode","KS403EW0001","KS403EW0002","KS403EW0003","KS403EW0004","KS403EW0005","KS403EW0006","KS403EW0007","KS403EW0008","KS403EW0009","KS403EW0010","KS403EW0011","KS403EW0012"
"E00004120",143,0,143,27,9,2,4.07692307692308,2.01398601398601,0,100,18.8811188811189,6.29370629370629
"E00004121",118,1,117,18,7,2.11864406779661,4.38983050847458,2.17796610169492,0.847457627118644,99.1525423728814,15.2542372881356,5.93220338983051
"E00004122",103,5,98,15,3,2.29126213592233,4.78640776699029,2.47572815533981,4.85436893203883,95.1456310679612,14.5631067961165,2.9126213592233
"E00004123",108,1,107,3,1,2.74074074074074,6.0462962962963,3.37962962962963,0.925925925925926,99.0740740740741,2.77777777777778,0.925925925925926
"E00004124",100,10,90,36,2,1.76,4.03,1.99,10,90,36,2
"E00004125",178,6,172,93,7,1.50561797752809,3.03370786516854,1.64606741573034,3.37078651685393,96.6292134831461,52.247191011236,3.93258426966292
"E00004126",144,7,137,41,8,1.90277777777778,3.69444444444444,1.97222222222222,4.86111111111111,95.1388888888889,28.4722222222222,5.55555555555556
"E00004127",124,1,123,20,11,2.13709677419355,4.09677419354839,2.12096774193548,0.806451612903226,99.1935483870968,16.1290322580645,8.87096774193548
"E00004128",161,7,154,33,4,1.81987577639752,4.45962732919255,2.25465838509317,4.34782608695652,95.6521739130435,20.4968944099379,2.48447204968944
"E00004129",142,6,136,28,5,1.86619718309859,4.09154929577465,2.02112676056338,4.22535211267606,95.7746478873239,19.7183098591549,3.52112676056338
"E00004130",128,12,116,41,8,2.09375,4.078125,2.1796875,9.375,90.625,32.03125,6.25
"E00004131",119,4,115,18,9,2.35294117647059,4.85714285714286,2.42016806722689,3.36134453781513,96.6386554621849,15.1260504201681,7.56302521008403
"E00004132",92,3,89,12,4,2.1304347826087,4.47826086956522,2.28260869565217,3.26086956521739,96.7391304347826,13.0434782608696,4.34782608695652
"E00004133",118,11,107,44,9,2.16101694915254,4.05084745762712,2.28813559322034,9.32203389830508,90.6779661016949,37.2881355932203,7.6271186440678
"E00004134",100,8,92,32,6,1.88,3.89,1.99,8,92,32,6
"E00004135",105,1,104,53,5,1.36190476190476,2.73333333333333,1.24761904761905,0.952380952380952,99.0476190476191,50.4761904761905,4.76190476190476
"E00004136",110,3,107,20,1,2.07272727272727,4.34545454545455,2.26363636363636,2.72727272727273,97.2727272727273,18.1818181818182,0.909090909090909
"E00004137",147,4,143,33,8,1.85034013605442,3.68027210884354,1.79591836734694,2.72108843537415,97.2789115646258,22.4489795918367,5.4421768707483
"E00004138",142,3,139,72,4,1.58450704225352,3.07746478873239,1.56338028169014,2.11267605633803,97.887323943662,50.7042253521127,2.8169014084507
"E00004139",140,1,139,126,90,2.37857142857143,1.45714285714286,1.2,0.714285714285714,99.2857142857143,90,64.2857142857143
"E00004140",111,9,102,13,5,1.85585585585586,4.27927927927928,2.18918918918919,8.10810810810811,91.8918918918919,11.7117117117117,4.5045045045045
"E00004141",114,6,108,32,4,1.64912280701754,3.65789473684211,1.73684210526316,5.26315789473684,94.7368421052632,28.0701754385965,3.50877192982456
"E00004142",133,5,128,46,8,1.78195488721805,3.70676691729323,1.8796992481203,3.7593984962406,96.2406015037594,34.5864661654135,6.01503759398496
"E00004143",126,11,115,34,4,1.92063492063492,4.13492063492064,2.12698412698413,8.73015873015873,91.2698412698413,26.984126984127,3.17460317460317
"E00004144",102,6,96,6,2,2.25490196078431,4.7156862745098,2.44117647058824,5.88235294117647,94.1176470588235,5.88235294117647,1.96078431372549
"E00004145",110,4,106,28,4,1.89090909090909,3.80909090909091,1.92727272727273,3.63636363636364,96.3636363636364,25.4545454545455,3.63636363636364
"E00004146",126,5,121,44,12,1.97619047619048,3.96825396825397,1.85714285714286,3.96825396825397,96.031746031746,34.9206349206349,9.52380952380952
"E00004147",126,3,123,27,9,1.78571428571429,3.68253968253968,1.73809523809524,2.38095238095238,97.6190476190476,21.4285714285714,7.14285714285714
"E00004148",106,8,98,40,2,1.65094339622642,4.21698113207547,2.07547169811321,7.54716981132075,92.4528301886792,37.7358490566038,1.88679245283019
"E00004149",149,3,146,19,7,2.12751677852349,4.91946308724832,2.49664429530201,2.01342281879195,97.9865771812081,12.751677852349,4.69798657718121
"E00004150",147,4,143,34,13,2.06802721088435,4.09523809523809,2.14965986394558,2.72108843537415,97.2789115646258,23.1292517006803,8.84353741496599
"E00004151",148,0,148,26,4,1.76351351351351,3.75675675675676,1.89189189189189,0,100,17.5675675675676,2.7027027027027
"E00004152",113,3,110,8,2,2.15044247787611,5.12389380530973,2.44247787610619,2.65486725663717,97.3451327433628,7.07964601769912,1.76991150442478
"E00004153",108,7,101,25,7,1.90740740740741,3.81481481481481,1.82407407407407,6.48148148148148,93.5185185185185,23.1481481481481,6.48148148148148
"E00004154",122,6,116,27,2,2.09016393442623,4.07377049180328,2.17213114754098,4.91803278688525,95.0819672131148,22.1311475409836,1.63934426229508
"E00004155",103,3,100,14,3,2.42718446601942,4.63106796116505,2.46601941747573,2.9126213592233,97.0873786407767,13.5922330097087,2.9126213592233
"E00004156",126,14,112,49,7,1.76984126984127,3.5,1.92857142857143,11.1111111111111,88.8888888888889,38.8888888888889,5.55555555555556
"E00004157",94,6,88,19,6,2.40425531914894,4.69148936170213,2.46808510638298,6.38297872340426,93.6170212765958,20.2127659574468,6.38297872340426
"E00004158",124,4,120,40,18,2.29032258064516,3.85483870967742,2.06451612903226,3.2258064516129,96.7741935483871,32.258064516129,14.5161290322581
"E00004159",160,5,155,63,32,2.4625,3.875,2.01875,3.125,96.875,39.375,20
"E00004160",103,1,102,33,16,2.07766990291262,3.72815533980583,1.9126213592233,0.970873786407767,99.0291262135922,32.0388349514563,15.5339805825243
"E00004161",96,3,93,17,6,2.09375,4.45833333333333,2.33333333333333,3.125,96.875,17.7083333333333,6.25
"E00004162",128,16,112,57,9,1.9375,3.7734375,2.3203125,12.5,87.5,44.53125,7.03125
"E00004163",163,4,159,41,10,2.39877300613497,4.56441717791411,2.32515337423313,2.45398773006135,97.5460122699387,25.1533742331288,6.13496932515337
"E00004164",160,6,154,64,37,2.39375,3.85625,2.04375,3.75,96.25,40,23.125
"E00004165",146,5,141,48,30,2.36301369863014,3.8972602739726,2.06849315068493,3.42465753424658,96.5753424657534,32.8767123287671,20.5479452054795
"E00004166",157,5,152,62,39,2.64968152866242,3.85350318471338,1.97452229299363,3.18471337579618,96.8152866242038,39.4904458598726,24.8407643312102
"E00004167",99,0,99,3,4,2.84848484848485,5.74747474747475,3.16161616161616,0,100,3.03030303030303,4.04040404040404
"E00004168",109,8,101,12,4,1.77981651376147,4.09174311926605,1.93577981651376,7.3394495412844,92.6605504587156,11.0091743119266,3.6697247706422
"E00004169",149,10,139,36,24,1.96644295302013,4.58389261744966,1.98657718120805,6.71140939597315,93.2885906040269,24.1610738255034,16.1073825503356
"E00004172",148,7,141,52,15,1.5472972972973,3.15540540540541,1.41891891891892,4.72972972972973,95.2702702702703,35.1351351351351,10.1351351351351
"E00004173",127,2,125,60,8,1.51181102362205,2.8740157480315,1.40944881889764,1.5748031496063,98.4251968503937,47.244094488189,6.2992125984252
"E00004174",131,3,128,84,32,2.09160305343511,2.95419847328244,1.70229007633588,2.29007633587786,97.7099236641221,64.1221374045801,24.4274809160305
"E00004175",128,4,124,36,21,2.125,3.359375,1.53125,3.125,96.875,28.125,16.40625
"E00004177",74,2,72,52,7,1.41891891891892,2.52702702702703,1.2972972972973,2.7027027027027,97.2972972972973,70.2702702702703,9.45945945945946
"E00004179",190,2,188,61,26,1.72105263157895,3.12105263157895,1.52631578947368,1.05263157894737,98.9473684210526,32.1052631578947,13.6842105263158
"E00004180",128,8,120,61,14,2.2109375,3.3125,1.90625,6.25,93.75,47.65625,10.9375
"E00004181",212,3,209,76,27,1.67452830188679,3.2877358490566,1.49528301886792,1.41509433962264,98.5849056603774,35.8490566037736,12.7358490566038
"E00004182",76,3,73,29,11,2.13157894736842,3.47368421052632,1.76315789473684,3.94736842105263,96.0526315789474,38.1578947368421,14.4736842105263
"E00004183",106,3,103,38,15,1.85849056603774,3.33962264150943,1.59433962264151,2.83018867924528,97.1698113207547,35.8490566037736,14.1509433962264
"E00004184",112,3,109,26,11,1.875,3.52678571428571,1.71428571428571,2.67857142857143,97.3214285714286,23.2142857142857,9.82142857142857
"E00004185",171,5,166,94,33,2.41520467836257,3.58479532163743,2.01754385964912,2.92397660818713,97.0760233918129,54.9707602339181,19.2982456140351
"E00004187",226,10,216,119,36,2.15929203539823,3.58407079646018,1.95132743362832,4.42477876106195,95.5752212389381,52.6548672566372,15.929203539823
"E00004188",109,4,105,59,21,1.6697247706422,2.96330275229358,1.42201834862385,3.6697247706422,96.3302752293578,54.1284403669725,19.2660550458716
"E00004189",118,6,112,60,31,2.30508474576271,3.61016949152542,2,5.08474576271187,94.9152542372881,50.8474576271186,26.271186440678
"E00004190",384,3,381,352,27,1.2265625,1.625,1.03125,0.78125,99.21875,91.6666666666667,7.03125
"E00004193",119,4,115,46,14,2.05042016806723,3.72268907563025,2.07563025210084,3.36134453781513,96.6386554621849,38.655462184874,11.7647058823529
"E00004194",144,10,134,66,13,1.75,3.35416666666667,1.70138888888889,6.94444444444444,93.0555555555556,45.8333333333333,9.02777777777778
"E00004195",133,16,117,45,23,2.33834586466165,4.01503759398496,2.08270676691729,12.0300751879699,87.9699248120301,33.8345864661654,17.2932330827068
"E00004196",101,12,89,17,4,2.08910891089109,4.38613861386139,2.30693069306931,11.8811881188119,88.1188118811881,16.8316831683168,3.96039603960396
"E00004197",116,12,104,22,8,2.04310344827586,4.51724137931035,2.24137931034483,10.3448275862069,89.6551724137931,18.9655172413793,6.89655172413793
"E00004198",182,22,160,92,23,1.92307692307692,3.31868131868132,1.7967032967033,12.0879120879121,87.9120879120879,50.5494505494505,12.6373626373626
"E00004199",163,13,150,81,12,1.75460122699387,3.25153374233129,1.6441717791411,7.97546012269939,92.0245398773006,49.6932515337423,7.36196319018405
"E00004200",136,5,131,73,16,1.82352941176471,3.22058823529412,1.71323529411765,3.67647058823529,96.3235294117647,53.6764705882353,11.7647058823529
"E00004201",144,9,135,19,4,1.88888888888889,4.40972222222222,2.11805555555556,6.25,93.75,13.1944444444444,2.77777777777778
