"GeographyCode","KS405EW0001","KS405EW0002","KS405EW0003","KS405EW0004","KS405EW0005","KS405EW0006","KS405EW0007","KS405EW0008","KS405EW0009","KS405EW0010","KS405EW0011","KS405EW0012","KS405EW0013","KS405EW0014","KS405EW0015","KS405EW0016","KS405EW0017","KS405EW0018","KS405EW0019","KS405EW0020","KS405EW0021","KS405EW0022","KS405EW0023","KS405EW0024","KS405EW0025","KS405EW0026"
"E01000842",2,76,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000843",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000844",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000845",1,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"E01000846",1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100
"E01000847",2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000848",2,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"E01000849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000850",5,413,0,0,0,0,0,0,0,0,0,0,234,179,0,0,0,0,0,0,0,0,0,0,56.6585956416465,43.3414043583535
"E01000851",10,738,0,0,0,0,0,0,0,0,0,0,738,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000852",13,611,0,0,0,0,0,0,0,0,0,0,609,2,0,0,0,0,0,0,0,0,0,0,99.6726677577741,0.327332242225859
"E01000853",6,35,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000854",15,190,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000855",13,50,0,0,0,0,0,0,0,0,0,0,7,43,0,0,0,0,0,0,0,0,0,0,14,86
"E01000856",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000857",1,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E01000858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000859",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000861",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000862",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000863",2,98,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000864",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000865",7,528,0,0,0,0,0,0,0,0,0,0,527,1,0,0,0,0,0,0,0,0,0,0,99.8106060606061,0.189393939393939
"E01000866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000869",1,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000871",1,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"E01000872",3,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100
"E01000873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000875",6,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
"E01000876",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000877",2,28,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E01000878",2,378,0,0,0,0,0,0,0,0,0,23,355,0,0,0,0,0,0,0,0,0,0,6.08465608465608,93.9153439153439,0
"E01000879",3,153,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000880",1,44,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E01000881",3,59,0,0,0,0,0,0,0,0,0,0,58,1,0,0,0,0,0,0,0,0,0,0,98.3050847457627,1.69491525423729
"E01000882",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000883",2,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000884",2,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000885",3,74,0,0,0,0,0,0,0,52,0,0,22,0,0,0,0,0,0,0,0,70.2702702702703,0,0,29.7297297297297,0
"E01000886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000887",1,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000890",1,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000891",1,41,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E01000892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
