"GeographyCode","KS405EW0001","KS405EW0002","KS405EW0003","KS405EW0004","KS405EW0005","KS405EW0006","KS405EW0007","KS405EW0008","KS405EW0009","KS405EW0010","KS405EW0011","KS405EW0012","KS405EW0013","KS405EW0014","KS405EW0015","KS405EW0016","KS405EW0017","KS405EW0018","KS405EW0019","KS405EW0020","KS405EW0021","KS405EW0022","KS405EW0023","KS405EW0024","KS405EW0025","KS405EW0026"
"E02000166",1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
"E02000167",6,75,0,25,0,0,0,0,0,0,0,1,49,0,0,33.3333333333333,0,0,0,0,0,0,0,1.33333333333333,65.3333333333333,0
"E02000168",7,132,0,0,0,0,40,0,58,34,0,0,0,0,0,0,0,0,30.3030303030303,0,43.9393939393939,25.7575757575758,0,0,0,0
"E02000169",11,656,0,0,0,0,0,0,0,96,0,23,537,0,0,0,0,0,0,0,0,14.6341463414634,0,3.50609756097561,81.859756097561,0
"E02000170",6,45,0,0,0,0,0,0,0,28,0,11,0,6,0,0,0,0,0,0,0,62.2222222222222,0,24.4444444444444,0,13.3333333333333
"E02000171",4,29,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,100,0
"E02000172",7,228,0,0,0,0,0,0,0,47,0,0,181,0,0,0,0,0,0,0,0,20.6140350877193,0,0,79.3859649122807,0
"E02000173",13,110,0,0,0,0,0,0,0,0,0,16,89,5,0,0,0,0,0,0,0,0,0,14.5454545454545,80.9090909090909,4.54545454545455
"E02000174",2,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,100,0
"E02000175",50,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"E02000176",5,84,0,0,0,0,0,0,0,0,0,8,76,0,0,0,0,0,0,0,0,0,0,9.52380952380952,90.4761904761905,0
"E02000177",2,85,0,0,0,0,79,0,0,6,0,0,0,0,0,0,0,0,92.9411764705882,0,0,7.05882352941176,0,0,0,0
"E02000178",21,34,0,0,0,0,0,0,0,0,8,8,18,0,0,0,0,0,0,0,0,0,23.5294117647059,23.5294117647059,52.9411764705882,0
"E02000179",4,24,0,0,0,0,0,0,20,0,0,0,2,2,0,0,0,0,0,0,83.3333333333333,0,0,0,8.33333333333333,8.33333333333333
"E02000180",9,540,0,0,0,0,0,0,0,0,0,0,539,1,0,0,0,0,0,0,0,0,0,0,99.8148148148148,0.185185185185185
"E02000181",2,5,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,80,0,0,0,20
"E02000182",3,59,0,0,0,0,25,34,0,0,0,0,0,0,0,0,0,0,42.3728813559322,57.6271186440678,0,0,0,0,0,0
"E02000183",2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E02000184",10,156,0,0,0,0,0,0,0,0,0,16,79,61,0,0,0,0,0,0,0,0,0,10.2564102564103,50.6410256410256,39.1025641025641
"E02000185",11,77,0,0,0,0,0,0,75,0,0,0,0,2,0,0,0,0,0,0,97.4025974025974,0,0,0,0,2.5974025974026
"E02000186",23,196,0,0,0,0,0,0,0,15,0,0,173,8,0,0,0,0,0,0,0,7.6530612244898,0,0,88.265306122449,4.08163265306122
"E02000187",12,91,0,0,0,0,0,0,0,9,0,0,80,2,0,0,0,0,0,0,0,9.89010989010989,0,0,87.9120879120879,2.1978021978022
"E02000188",9,383,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,100,0
"E02000189",28,537,0,0,0,0,0,0,0,0,0,0,396,141,0,0,0,0,0,0,0,0,0,0,73.7430167597765,26.2569832402235
"E02000190",25,1616,0,0,0,0,0,16,0,16,0,0,1582,2,0,0,0,0,0,0.99009900990099,0,0.99009900990099,0,0,97.8960396039604,0.123762376237624
"E02000191",43,1952,0,0,0,0,0,0,0,0,0,0,1771,181,0,0,0,0,0,0,0,0,0,0,90.7274590163934,9.27254098360656
"E02000192",7,136,0,0,0,0,0,0,0,0,0,12,70,54,0,0,0,0,0,0,0,0,0,8.82352941176471,51.4705882352941,39.7058823529412
"E02000193",21,620,0,0,0,0,0,0,0,0,0,0,571,49,0,0,0,0,0,0,0,0,0,0,92.0967741935484,7.90322580645161
