"GeographyCode","KS501EW0001","KS501EW0002","KS501EW0003","KS501EW0004","KS501EW0005","KS501EW0006","KS501EW0007","KS501EW0008","KS501EW0009","KS501EW0010","KS501EW0011","KS501EW0012","KS501EW0013","KS501EW0014","KS501EW0015","KS501EW0016","KS501EW0017","KS501EW0018","KS501EW0019","KS501EW0020","KS501EW0021","KS501EW0022","KS501EW0023","KS501EW0024","KS501EW0025"
"E02000166",6541,861,467,608,52,596,3552,405,159,371,89,36,244,13.1631249044489,7.13958110380676,9.2952147989604,0.794985476226877,9.11175661213882,54.3036232991897,6.19171380522856,2.43082097538603,5.67191560923406,1.36064821892677,0.550374560464761,3.73031646537227
"E02000167",6541,361,254,457,37,485,4470,477,113,269,68,14,186,5.51903378688274,3.88319828772359,6.98669928145543,0.565662742699893,7.41476838403914,68.3381745910411,7.29246292615808,1.72756459256994,4.11252102125057,1.03959639198899,0.214034551291851,2.8436018957346
"E02000168",6795,844,418,555,60,603,3932,383,144,436,112,23,301,12.420897718911,6.15158204562178,8.16777041942605,0.883002207505519,8.87417218543046,57.8660779985283,5.63649742457689,2.11920529801325,6.41648270787344,1.64827078734364,0.338484179543782,4.42972774098602
"E02000169",6193,416,268,501,37,737,3627,607,118,737,144,55,538,6.7172614241886,4.32746649442919,8.08977878249637,0.597448732439851,11.9005328596803,58.5661230421444,9.80138866462135,1.90537703859196,11.9005328596803,2.32520587760375,0.88809946714032,8.68722751493622
"E02000170",7094,542,387,500,63,614,4320,668,128,431,120,30,280,7.64025937411897,5.45531435015506,7.0482097547223,0.88807442909501,8.65520157879899,60.8965322808007,9.41640823230899,1.80434169720891,6.07555680857062,1.69157034113335,0.422892585283338,3.94699746264449
"E02000171",6444,650,401,504,56,547,3800,486,137,426,115,22,288,10.0869025450031,6.22284295468653,7.82122905027933,0.869025450031037,8.4885164494103,58.9695841092489,7.54189944134078,2.1260086902545,6.61080074487896,1.78460583488516,0.341402855369336,4.46927374301676
"E02000172",8151,1817,822,755,95,965,3013,684,214,1024,206,80,734,22.2917433443749,10.0846521899153,9.262667157404,1.16550116550117,11.8390381548276,36.9647895963685,8.39160839160839,2.62544473070789,12.5628757207705,2.52729726413937,0.981474665685192,9.00503005766164
"E02000173",6403,387,212,343,19,480,4297,665,73,477,93,24,358,6.04404185538029,3.31094799312822,5.35686397001406,0.29673590504451,7.4964860221771,67.109167577698,10.3857566765579,1.14009058253943,7.4496329845385,1.45244416679681,0.374824301108855,5.59112915820709
"E02000174",7287,1056,564,632,80,695,3807,453,159,650,160,48,442,14.491560312886,7.739810621655,8.6729792781666,1.09784547824894,9.53753259228764,52.2437216961713,6.2165500205846,2.18196788801976,8.91999451077261,2.19569095649787,0.658707286949362,6.06559626732537
"E02000175",7720,664,411,490,73,596,4809,677,115,520,134,31,353,8.60103626943005,5.32383419689119,6.34715025906736,0.94559585492228,7.72020725388601,62.2927461139896,8.76943005181347,1.48963730569948,6.73575129533679,1.73575129533679,0.401554404145078,4.57253886010363
"E02000176",5476,297,187,311,38,354,3792,497,53,271,80,9,181,5.4236669101534,3.41490138787436,5.67932797662527,0.693937180423667,6.4645726807889,69.2476260043828,9.07596785975164,0.967859751643536,4.94886778670562,1.4609203798393,0.164353542731921,3.30533235938641
"E02000177",7233,1384,692,632,88,721,3074,642,164,642,161,60,418,19.1345223282179,9.56726116410895,8.73772984930181,1.2166459283838,9.96820129959906,42.4996543619522,8.87598506843633,2.26738559380617,8.87598506843633,2.22590902806581,0.829531314807134,5.77906815982303
"E02000178",7630,1102,561,661,89,636,3744,837,163,586,149,37,400,14.4429882044561,7.35255570117955,8.66317169069463,1.16644823066841,8.33551769331586,49.0694626474443,10.9698558322412,2.13630406290957,7.68020969855832,1.95281782437746,0.484927916120577,5.24246395806029
"E02000179",5010,579,341,412,37,423,2726,492,84,349,79,23,247,11.5568862275449,6.8063872255489,8.22355289421158,0.738522954091816,8.44311377245509,54.4111776447106,9.82035928143713,1.67664670658683,6.96606786427146,1.57684630738523,0.459081836327345,4.93013972055888
