"GeographyCode","KS501EW0001","KS501EW0002","KS501EW0003","KS501EW0004","KS501EW0005","KS501EW0006","KS501EW0007","KS501EW0008","KS501EW0009","KS501EW0010","KS501EW0011","KS501EW0012","KS501EW0013","KS501EW0014","KS501EW0015","KS501EW0016","KS501EW0017","KS501EW0018","KS501EW0019","KS501EW0020","KS501EW0021","KS501EW0022","KS501EW0023","KS501EW0024","KS501EW0025"
"E00004120",273,7,11,15,1,10,201,28,3,32,6,1,25,2.56410256410256,4.02930402930403,5.49450549450549,0.366300366300366,3.66300366300366,73.6263736263736,10.2564102564103,1.0989010989011,11.7216117216117,2.1978021978022,0.366300366300366,9.15750915750916
"E00004121",206,7,8,17,0,15,144,15,1,5,2,0,3,3.39805825242718,3.88349514563107,8.25242718446602,0,7.28155339805825,69.9029126213592,7.28155339805825,0.485436893203883,2.42718446601942,0.970873786407767,0,1.45631067961165
"E00004122",182,7,6,16,1,11,123,18,2,9,2,0,7,3.84615384615385,3.2967032967033,8.79120879120879,0.549450549450549,6.04395604395604,67.5824175824176,9.89010989010989,1.0989010989011,4.94505494505495,1.0989010989011,0,3.84615384615385
"E00004123",232,18,17,19,1,20,141,16,2,14,3,0,11,7.75862068965517,7.32758620689655,8.18965517241379,0.431034482758621,8.62068965517241,60.7758620689655,6.89655172413793,0.862068965517241,6.03448275862069,1.29310344827586,0,4.74137931034483
"E00004124",147,2,4,8,2,18,97,16,1,7,1,0,6,1.36054421768707,2.72108843537415,5.4421768707483,1.36054421768707,12.2448979591837,65.9863945578231,10.8843537414966,0.680272108843537,4.76190476190476,0.680272108843537,0,4.08163265306122
"E00004125",252,7,9,14,2,11,187,22,2,11,2,0,9,2.77777777777778,3.57142857142857,5.55555555555556,0.793650793650794,4.36507936507936,74.2063492063492,8.73015873015873,0.793650793650794,4.36507936507936,0.793650793650794,0,3.57142857142857
"E00004126",237,17,10,16,2,21,148,23,1,8,3,0,5,7.17299578059072,4.21940928270042,6.75105485232067,0.843881856540084,8.86075949367089,62.4472573839662,9.70464135021097,0.421940928270042,3.37552742616034,1.26582278481013,0,2.10970464135021
"E00004127",227,26,10,14,1,21,137,18,4,20,8,0,12,11.4537444933921,4.40528634361234,6.16740088105727,0.440528634361234,9.2511013215859,60.352422907489,7.9295154185022,1.76211453744493,8.81057268722467,3.52422907488987,0,5.2863436123348
"E00004128",254,14,6,15,0,17,178,24,0,16,4,0,12,5.51181102362205,2.36220472440945,5.90551181102362,0,6.69291338582677,70.0787401574803,9.44881889763779,0,6.2992125984252,1.5748031496063,0,4.7244094488189
"E00004129",243,16,14,12,2,19,162,18,1,8,1,0,7,6.5843621399177,5.76131687242798,4.93827160493827,0.823045267489712,7.81893004115226,66.6666666666667,7.40740740740741,0.411522633744856,3.29218106995885,0.411522633744856,0,2.88065843621399
