"GeographyCode","KS603EW0001","KS603EW0002","KS603EW0003","KS603EW0004","KS603EW0005","KS603EW0006","KS603EW0007","KS603EW0008","KS603EW0009","KS603EW0010","KS603EW0011","KS603EW0012","KS603EW0013","KS603EW0014","KS603EW0015","KS603EW0016","KS603EW0017","KS603EW0018","KS603EW0019","KS603EW0020","KS603EW0021","KS603EW0022","KS603EW0023","KS603EW0024","KS603EW0025","KS603EW0026","KS603EW0027","KS603EW0028","KS603EW0029"
"E00004120",135,4,56,25,4,2,13,19,6,0,6,0,1,0,1,2.96296296296296,41.4814814814815,18.5185185185185,2.96296296296296,1.48148148148148,9.62962962962963,14.0740740740741,4.44444444444444,0,4.44444444444444,0,0.740740740740741,0,0.740740740740741
"E00004121",98,3,46,20,3,1,10,2,8,3,2,0,1,0,2,3.06122448979592,46.9387755102041,20.4081632653061,3.06122448979592,1.02040816326531,10.2040816326531,2.04081632653061,8.16326530612245,3.06122448979592,2.04081632653061,0,1.02040816326531,0,2.04081632653061
"E00004122",78,10,24,13,2,2,5,6,10,1,5,0,0,0,1,12.8205128205128,30.7692307692308,16.6666666666667,2.56410256410256,2.56410256410256,6.41025641025641,7.69230769230769,12.8205128205128,1.28205128205128,6.41025641025641,0,0,0,1.28205128205128
"E00004123",111,15,40,23,3,3,5,9,12,0,1,2,0,0,1,13.5135135135135,36.036036036036,20.7207207207207,2.7027027027027,2.7027027027027,4.5045045045045,8.10810810810811,10.8108108108108,0,0.900900900900901,1.8018018018018,0,0,0.900900900900901
"E00004124",67,5,33,9,2,1,4,3,6,1,3,1,0,0,0,7.46268656716418,49.2537313432836,13.4328358208955,2.98507462686567,1.49253731343284,5.97014925373134,4.47761194029851,8.95522388059701,1.49253731343284,4.47761194029851,1.49253731343284,0,0,0
"E00004125",130,9,69,19,4,1,9,5,6,1,7,1,1,0,0,6.92307692307692,53.0769230769231,14.6153846153846,3.07692307692308,0.769230769230769,6.92307692307692,3.84615384615385,4.61538461538462,0.769230769230769,5.38461538461539,0.769230769230769,0.769230769230769,0,0
"E00004126",104,8,56,11,3,1,8,3,10,0,4,0,0,0,1,7.69230769230769,53.8461538461538,10.5769230769231,2.88461538461538,0.961538461538462,7.69230769230769,2.88461538461538,9.61538461538462,0,3.84615384615385,0,0,0,0.961538461538462
"E00004127",106,12,43,15,0,6,12,10,4,3,1,0,0,0,0,11.3207547169811,40.5660377358491,14.1509433962264,0,5.66037735849057,11.3207547169811,9.43396226415094,3.77358490566038,2.83018867924528,0.943396226415094,0,0,0,0
"E00004128",125,5,55,22,2,2,12,11,11,1,4,0,0,0,1,4,44,17.6,1.6,1.6,9.6,8.8,8.8,0.8,3.2,0,0,0,0.8
"E00004129",119,10,63,12,7,0,10,5,5,4,3,2,3,0,4,8.40336134453782,52.9411764705882,10.0840336134454,5.88235294117647,0,8.40336134453782,4.20168067226891,4.20168067226891,3.36134453781513,2.52100840336134,1.68067226890756,2.52100840336134,0,3.36134453781513
