"GeographyCode","KS604EW0001","KS604EW0002","KS604EW0003","KS604EW0004","KS604EW0005","KS604EW0006","KS604EW0007","KS604EW0008","KS604EW0009","KS604EW0010","KS604EW0011","KS604EW0012","KS604EW0013","KS604EW0014","KS604EW0015","KS604EW0016","KS604EW0017","KS604EW0018","KS604EW0019","KS604EW0020","KS604EW0021","KS604EW0022","KS604EW0023","KS604EW0024","KS604EW0025","KS604EW0026","KS604EW0027","KS604EW0028","KS604EW0029"
"E01000842",849,64,90,401,294,450,26,32,197,195,399,38,58,204,99,7.53828032979976,10.6007067137809,47.2320376914017,34.6289752650177,53.0035335689046,3.06242638398115,3.76914016489988,23.2037691401649,22.9681978798587,46.9964664310954,4.47585394581861,6.83156654888104,24.0282685512367,11.660777385159
"E01000843",909,71,96,446,296,455,18,38,217,182,454,53,58,229,114,7.81078107810781,10.5610561056106,49.0649064906491,32.5632563256326,50.0550055005501,1.98019801980198,4.18041804180418,23.8723872387239,20.02200220022,49.9449944994499,5.83058305830583,6.38063806380638,25.1925192519252,12.5412541254125
"E01000844",1089,58,96,546,389,594,16,38,293,247,495,42,58,253,142,5.32598714416896,8.81542699724518,50.1377410468319,35.7208448117539,54.5454545454545,1.4692378328742,3.48943985307622,26.9054178145087,22.6813590449954,45.4545454545455,3.85674931129477,5.32598714416896,23.2323232323232,13.0394857667585
"E01000845",847,61,87,441,258,432,19,22,218,173,415,42,65,223,85,7.20188902007084,10.271546635183,52.0661157024793,30.4604486422668,51.0035419126328,2.24321133412042,2.5974025974026,25.7378984651712,20.4250295159386,48.9964580873672,4.95867768595041,7.6741440377804,26.3282172373081,10.0354191263282
"E01000846",582,62,127,289,104,308,20,49,163,76,274,42,78,126,28,10.6529209621993,21.8213058419244,49.6563573883162,17.8694158075601,52.9209621993127,3.43642611683849,8.4192439862543,28.0068728522337,13.0584192439863,47.0790378006873,7.21649484536082,13.4020618556701,21.6494845360825,4.81099656357388
"E01000847",712,59,112,347,194,404,20,44,185,155,308,39,68,162,39,8.28651685393258,15.7303370786517,48.7359550561798,27.247191011236,56.7415730337079,2.80898876404494,6.17977528089888,25.9831460674157,21.7696629213483,43.2584269662921,5.47752808988764,9.55056179775281,22.752808988764,5.47752808988764
"E01000848",1008,62,108,502,336,521,21,29,244,227,487,41,79,258,109,6.15079365079365,10.7142857142857,49.8015873015873,33.3333333333333,51.6865079365079,2.08333333333333,2.87698412698413,24.2063492063492,22.5198412698413,48.3134920634921,4.06746031746032,7.83730158730159,25.5952380952381,10.8134920634921
"E01000849",982,58,128,511,285,487,20,39,249,179,495,38,89,262,106,5.90631364562118,13.0346232179226,52.0366598778004,29.0224032586558,49.5926680244399,2.03665987780041,3.97148676171079,25.3564154786151,18.2281059063136,50.4073319755601,3.86965376782077,9.06313645621181,26.6802443991853,10.7942973523422
"E01000850",937,66,93,543,235,559,29,41,328,161,378,37,52,215,74,7.04375667022412,9.92529348986126,57.9509071504803,25.0800426894344,59.65848452508,3.09498399146211,4.37566702241195,35.0053361792956,17.1824973319104,40.34151547492,3.94877267876201,5.54962646744931,22.9455709711846,7.89754535752401
"E01000851",1017,147,113,526,231,625,86,51,327,161,392,61,62,199,70,14.4542772861357,11.1111111111111,51.7207472959685,22.7138643067847,61.4552605703048,8.45624385447394,5.01474926253687,32.1533923303835,15.8308751229105,38.5447394296952,5.99803343166175,6.09636184857424,19.5673549655851,6.88298918387414
"E01000852",497,127,58,218,94,277,58,23,136,60,220,69,35,82,34,25.5533199195171,11.6700201207243,43.8631790744467,18.9134808853119,55.7344064386318,11.6700201207243,4.62776659959759,27.364185110664,12.0724346076459,44.2655935613682,13.8832997987928,7.04225352112676,16.4989939637827,6.841046277666
"E01000853",622,66,119,349,88,306,33,48,166,59,316,33,71,183,29,10.6109324758842,19.1318327974277,56.1093247588424,14.1479099678457,49.1961414790997,5.30546623794212,7.71704180064309,26.6881028938907,9.48553054662379,50.8038585209003,5.30546623794212,11.4147909967846,29.4212218649518,4.66237942122186
"E01000854",638,77,104,307,150,356,41,39,179,97,282,36,65,128,53,12.0689655172414,16.3009404388715,48.1191222570533,23.5109717868339,55.7993730407524,6.42633228840125,6.1128526645768,28.0564263322884,15.2037617554859,44.2006269592476,5.64263322884013,10.1880877742947,20.0626959247649,8.30721003134796
"E01000855",1110,53,118,696,243,600,30,65,352,153,510,23,53,344,90,4.77477477477477,10.6306306306306,62.7027027027027,21.8918918918919,54.0540540540541,2.7027027027027,5.85585585585586,31.7117117117117,13.7837837837838,45.945945945946,2.07207207207207,4.77477477477477,30.990990990991,8.10810810810811
"E01000856",731,77,130,417,107,395,36,53,225,81,336,41,77,192,26,10.5335157318741,17.7838577291382,57.0451436388509,14.6374829001368,54.0355677154583,4.92476060191518,7.25034199726402,30.7797537619699,11.0807113543092,45.9644322845417,5.60875512995896,10.5335157318741,26.265389876881,3.55677154582763
"E01000857",773,43,98,390,242,412,15,32,205,160,361,28,66,185,82,5.5627425614489,12.6778783958603,50.4527813712807,31.3065976714101,53.2988357050453,1.9404915912031,4.13971539456662,26.5200517464424,20.6985769728331,46.7011642949547,3.6222509702458,8.53816300129366,23.9327296248383,10.608020698577
"E01000858",801,67,138,421,175,429,21,60,235,113,372,46,78,186,62,8.3645443196005,17.2284644194757,52.5593008739076,21.8476903870162,53.5580524344569,2.62172284644195,7.49063670411985,29.3383270911361,14.1073657927591,46.4419475655431,5.74282147315855,9.73782771535581,23.2209737827715,7.74032459425718
"E01000859",992,72,122,450,348,522,19,53,229,221,470,53,69,221,127,7.25806451612903,12.2983870967742,45.3629032258064,35.0806451612903,52.6209677419355,1.91532258064516,5.34274193548387,23.0846774193548,22.2782258064516,47.3790322580645,5.34274193548387,6.95564516129032,22.2782258064516,12.8024193548387
"E01000860",656,58,85,346,167,316,20,33,156,107,340,38,52,190,60,8.84146341463415,12.9573170731707,52.7439024390244,25.4573170731707,48.1707317073171,3.04878048780488,5.03048780487805,23.780487804878,16.3109756097561,51.8292682926829,5.79268292682927,7.92682926829268,28.9634146341463,9.14634146341463
"E01000861",839,88,122,482,147,455,34,59,260,102,384,54,63,222,45,10.4886769964243,14.5411203814064,57.4493444576877,17.5208581644815,54.2312276519666,4.05244338498212,7.03218116805721,30.9892729439809,12.1573301549464,45.7687723480334,6.43623361144219,7.50893921334923,26.4600715137068,5.36352800953516
"E01000862",1020,64,120,514,322,560,27,41,261,231,460,37,79,253,91,6.27450980392157,11.7647058823529,50.3921568627451,31.5686274509804,54.9019607843137,2.64705882352941,4.01960784313725,25.5882352941176,22.6470588235294,45.0980392156863,3.62745098039216,7.74509803921569,24.8039215686275,8.92156862745098
"E01000863",907,86,101,513,207,485,37,42,260,146,422,49,59,253,61,9.48180815876516,11.135611907387,56.5600882028666,22.8224917309813,53.4729878721058,4.07938257993385,4.63065049614112,28.6659316427784,16.0970231532525,46.5270121278942,5.40242557883131,6.50496141124587,27.8941565600882,6.72546857772878
"E01000864",876,56,132,516,172,449,16,51,265,117,427,40,81,251,55,6.39269406392694,15.0684931506849,58.9041095890411,19.634703196347,51.2557077625571,1.82648401826484,5.82191780821918,30.2511415525114,13.3561643835616,48.7442922374429,4.5662100456621,9.24657534246575,28.6529680365297,6.27853881278539
"E01000865",642,107,100,309,126,333,41,48,164,80,309,66,52,145,46,16.6666666666667,15.5763239875389,48.1308411214953,19.6261682242991,51.8691588785047,6.38629283489097,7.47663551401869,25.5451713395639,12.4610591900312,48.1308411214953,10.2803738317757,8.09968847352025,22.5856697819315,7.16510903426791
"E01000866",1044,83,169,591,201,511,21,66,310,114,533,62,103,281,87,7.95019157088123,16.1877394636015,56.6091954022989,19.2528735632184,48.9463601532567,2.01149425287356,6.32183908045977,29.6934865900383,10.9195402298851,51.0536398467433,5.93869731800766,9.86590038314176,26.9157088122605,8.33333333333333
"E01000867",700,57,134,403,106,380,24,61,227,68,320,33,73,176,38,8.14285714285714,19.1428571428571,57.5714285714286,15.1428571428571,54.2857142857143,3.42857142857143,8.71428571428572,32.4285714285714,9.71428571428571,45.7142857142857,4.71428571428571,10.4285714285714,25.1428571428571,5.42857142857143
"E01000868",605,72,130,332,71,312,27,61,182,42,293,45,69,150,29,11.900826446281,21.4876033057851,54.8760330578512,11.7355371900826,51.5702479338843,4.46280991735537,10.0826446280992,30.0826446280992,6.94214876033058,48.4297520661157,7.43801652892562,11.404958677686,24.7933884297521,4.79338842975207
"E01000869",1166,101,165,660,240,617,39,67,360,151,549,62,98,300,89,8.66209262435678,14.1509433962264,56.6037735849057,20.5831903945111,52.9159519725557,3.34476843910806,5.74614065180103,30.8747855917667,12.9502572898799,47.0840480274443,5.31732418524871,8.40480274442539,25.7289879931389,7.63293310463122
"E01000870",873,66,142,506,159,419,18,44,255,102,454,48,98,251,57,7.56013745704467,16.2657502863688,57.9610538373425,18.213058419244,47.9954180985109,2.06185567010309,5.04009163802978,29.2096219931272,11.6838487972509,52.0045819014891,5.49828178694158,11.2256586483391,28.7514318442153,6.52920962199313
"E01000871",865,79,123,462,201,457,25,40,247,145,408,54,83,215,56,9.13294797687861,14.2196531791908,53.4104046242775,23.2369942196532,52.8323699421965,2.89017341040462,4.6242774566474,28.5549132947977,16.7630057803468,47.1676300578035,6.24277456647399,9.59537572254335,24.8554913294798,6.47398843930636
"E01000872",1191,77,141,772,201,637,20,59,414,144,554,57,82,358,57,6.46515533165407,11.8387909319899,64.8194794290512,16.8765743073048,53.4844668345928,1.67926112510495,4.95382031905961,34.7607052896725,12.0906801007557,46.5155331654072,4.78589420654912,6.88497061293031,30.0587741393787,4.78589420654912
"E01000873",1004,69,113,581,241,527,36,42,296,153,477,33,71,285,88,6.87250996015936,11.2549800796813,57.8685258964143,24.003984063745,52.4900398406375,3.58565737051793,4.18326693227092,29.4820717131474,15.2390438247012,47.5099601593625,3.28685258964143,7.07171314741036,28.3864541832669,8.76494023904383
"E01000874",943,82,109,502,250,482,28,41,251,162,461,54,68,251,88,8.69565217391304,11.558854718982,53.2343584305408,26.5111346765642,51.1134676564157,2.96924708377519,4.34782608695652,26.6171792152704,17.1792152704136,48.8865323435843,5.72640509013786,7.21102863202545,26.6171792152704,9.33191940615058
"E01000875",982,55,119,610,198,525,21,60,325,119,457,34,59,285,79,5.60081466395112,12.1181262729124,62.1181262729124,20.162932790224,53.4623217922607,2.13849287169043,6.10997963340122,33.0957230142566,12.1181262729124,46.5376782077393,3.46232179226069,6.0081466395112,29.0224032586558,8.04480651731161
"E01000876",839,74,106,502,157,433,27,49,264,93,406,47,57,238,64,8.82002383790226,12.6340882002384,59.8331346841478,18.7127532777116,51.6090584028606,3.2181168057211,5.84028605482718,31.4660309892729,11.0846245530393,48.3909415971395,5.60190703218117,6.7938021454112,28.3671036948748,7.62812872467223
"E01000877",973,49,105,588,231,505,20,36,290,159,468,29,69,298,72,5.03597122302158,10.7913669064748,60.431654676259,23.7410071942446,51.9013360739979,2.05549845837616,3.69989722507708,29.8047276464543,16.3412127440904,48.0986639260021,2.98047276464543,7.09146968139774,30.6269270298047,7.39979445015416
"E01000878",675,103,84,292,196,385,41,34,171,139,290,62,50,121,57,15.2592592592593,12.4444444444444,43.2592592592593,29.037037037037,57.037037037037,6.07407407407407,5.03703703703704,25.3333333333333,20.5925925925926,42.962962962963,9.18518518518519,7.40740740740741,17.9259259259259,8.44444444444444
"E01000879",737,74,91,340,232,408,26,34,180,168,329,48,57,160,64,10.0407055630936,12.3473541383989,46.1329715061058,31.4789687924016,55.359565807327,3.52781546811398,4.61329715061058,24.4233378561737,22.7951153324288,44.640434192673,6.51289009497965,7.73405698778833,21.7096336499322,8.68385345997286
"E01000880",790,57,81,356,296,444,18,28,179,219,346,39,53,177,77,7.21518987341772,10.253164556962,45.0632911392405,37.4683544303797,56.2025316455696,2.27848101265823,3.54430379746835,22.6582278481013,27.7215189873418,43.7974683544304,4.93670886075949,6.70886075949367,22.4050632911392,9.74683544303798
"E01000881",795,55,95,384,261,424,16,40,193,175,371,39,55,191,86,6.91823899371069,11.9496855345912,48.3018867924528,32.8301886792453,53.3333333333333,2.0125786163522,5.0314465408805,24.2767295597484,22.0125786163522,46.6666666666667,4.90566037735849,6.91823899371069,24.0251572327044,10.8176100628931
"E01000882",954,69,92,464,329,506,24,32,231,219,448,45,60,233,110,7.23270440251572,9.64360587002096,48.6373165618449,34.4863731656185,53.0398322851153,2.51572327044025,3.35429769392034,24.2138364779874,22.9559748427673,46.9601677148847,4.71698113207547,6.28930817610063,24.4234800838574,11.5303983228512
"E01000883",717,48,57,383,229,384,16,23,203,142,333,32,34,180,87,6.69456066945607,7.94979079497908,53.4170153417015,31.9386331938633,53.5564853556485,2.23152022315202,3.20781032078103,28.3124128312413,19.8047419804742,46.4435146443515,4.46304044630404,4.74198047419805,25.1046025104602,12.1338912133891
"E01000884",716,89,108,277,242,396,34,31,149,182,320,55,77,128,60,12.4301675977654,15.0837988826816,38.6871508379888,33.7988826815642,55.3072625698324,4.74860335195531,4.32960893854749,20.8100558659218,25.4189944134078,44.6927374301676,7.68156424581006,10.7541899441341,17.877094972067,8.37988826815642
"E01000885",664,78,100,274,212,382,29,39,161,153,282,49,61,113,59,11.7469879518072,15.0602409638554,41.2650602409639,31.9277108433735,57.5301204819277,4.36746987951807,5.87349397590361,24.2469879518072,23.0421686746988,42.4698795180723,7.37951807228916,9.18674698795181,17.0180722891566,8.8855421686747
