"GeographyCode","KS606EW0001","KS606EW0002","KS606EW0003","KS606EW0004","KS606EW0005","KS606EW0006","KS606EW0007","KS606EW0008","KS606EW0009","KS606EW0010","KS606EW0011","KS606EW0012","KS606EW0013","KS606EW0014","KS606EW0015","KS606EW0016","KS606EW0017","KS606EW0018","KS606EW0019","KS606EW0020","KS606EW0021","KS606EW0022","KS606EW0023","KS606EW0024","KS606EW0025","KS606EW0026","KS606EW0027","KS606EW0028","KS606EW0029","KS606EW0030","KS606EW0031","KS606EW0032","KS606EW0033","KS606EW0034","KS606EW0035","KS606EW0036","KS606EW0037"
"E01000842",450,0,3,5,3,0,14,16,3,23,50,117,11,87,13,12,35,22,36,0,0.666666666666667,1.11111111111111,0.666666666666667,0,3.11111111111111,3.55555555555556,0.666666666666667,5.11111111111111,11.1111111111111,26,2.44444444444444,19.3333333333333,2.88888888888889,2.66666666666667,7.77777777777778,4.88888888888889,8
"E01000843",455,0,1,3,7,1,8,26,9,28,59,91,16,115,10,9,27,23,22,0,0.21978021978022,0.659340659340659,1.53846153846154,0.21978021978022,1.75824175824176,5.71428571428571,1.97802197802198,6.15384615384615,12.967032967033,20,3.51648351648352,25.2747252747253,2.1978021978022,1.97802197802198,5.93406593406593,5.05494505494505,4.83516483516484
"E01000844",594,0,2,13,3,0,19,28,9,13,51,168,8,153,23,14,30,25,35,0,0.336700336700337,2.18855218855219,0.505050505050505,0,3.1986531986532,4.71380471380471,1.51515151515152,2.18855218855219,8.58585858585858,28.2828282828283,1.34680134680135,25.7575757575758,3.87205387205387,2.35690235690236,5.05050505050505,4.20875420875421,5.89225589225589
"E01000845",432,0,2,4,0,2,13,26,10,16,54,99,6,98,13,14,20,22,33,0,0.462962962962963,0.925925925925926,0,0.462962962962963,3.00925925925926,6.01851851851852,2.31481481481481,3.7037037037037,12.5,22.9166666666667,1.38888888888889,22.6851851851852,3.00925925925926,3.24074074074074,4.62962962962963,5.09259259259259,7.63888888888889
"E01000846",308,0,0,4,0,0,23,26,26,19,26,40,8,53,9,14,14,22,24,0,0,1.2987012987013,0,0,7.46753246753247,8.44155844155844,8.44155844155844,6.16883116883117,8.44155844155844,12.987012987013,2.5974025974026,17.2077922077922,2.92207792207792,4.54545454545455,4.54545454545455,7.14285714285714,7.79220779220779
"E01000847",404,0,1,8,1,1,12,48,20,21,38,72,13,62,21,14,19,25,28,0,0.247524752475248,1.98019801980198,0.247524752475248,0.247524752475248,2.97029702970297,11.8811881188119,4.95049504950495,5.1980198019802,9.40594059405941,17.8217821782178,3.21782178217822,15.3465346534653,5.1980198019802,3.46534653465347,4.7029702970297,6.18811881188119,6.93069306930693
"E01000848",521,0,3,7,2,0,7,28,8,29,58,135,8,114,13,9,28,33,39,0,0.575815738963532,1.34357005758157,0.383877159309021,0,1.34357005758157,5.3742802303263,1.53550863723608,5.56621880998081,11.1324376199616,25.9117082533589,1.53550863723608,21.8809980806142,2.49520153550864,1.72744721689059,5.3742802303263,6.33397312859885,7.48560460652591
"E01000849",487,0,0,4,2,1,19,32,12,24,52,96,7,98,13,13,39,37,38,0,0,0.82135523613963,0.410677618069815,0.205338809034908,3.90143737166324,6.57084188911704,2.46406570841889,4.92813141683778,10.6776180698152,19.7125256673511,1.43737166324435,20.1232032854209,2.6694045174538,2.6694045174538,8.0082135523614,7.59753593429158,7.80287474332649
"E01000850",559,0,0,11,0,0,14,24,11,46,83,47,9,137,16,11,44,74,32,0,0,1.96779964221825,0,0,2.50447227191413,4.29338103756708,1.96779964221825,8.22898032200358,14.8479427549195,8.40787119856887,1.61001788908766,24.5080500894454,2.86225402504472,1.96779964221825,7.87119856887299,13.2379248658318,5.72450805008945
"E01000851",625,0,3,7,0,0,14,47,19,45,89,58,9,138,17,19,57,52,51,0,0.48,1.12,0,0,2.24,7.52,3.04,7.2,14.24,9.28,1.44,22.08,2.72,3.04,9.12,8.32,8.16
"E01000852",277,1,2,5,1,0,6,24,7,20,23,28,5,44,8,10,51,20,22,0.36101083032491,0.72202166064982,1.80505415162455,0.36101083032491,0,2.16606498194946,8.66425992779783,2.52707581227437,7.22021660649819,8.30324909747292,10.1083032490975,1.80505415162455,15.884476534296,2.88808664259928,3.6101083032491,18.4115523465704,7.22021660649819,7.94223826714801
"E01000853",306,0,0,7,2,0,11,38,21,42,16,18,7,47,20,19,25,14,19,0,0,2.28758169934641,0.65359477124183,0,3.59477124183007,12.4183006535948,6.86274509803922,13.7254901960784,5.22875816993464,5.88235294117647,2.28758169934641,15.359477124183,6.5359477124183,6.20915032679739,8.16993464052288,4.57516339869281,6.20915032679739
"E01000854",356,0,1,9,3,0,7,37,19,45,37,34,8,40,13,15,29,33,26,0,0.280898876404494,2.52808988764045,0.842696629213483,0,1.96629213483146,10.3932584269663,5.33707865168539,12.6404494382022,10.3932584269663,9.55056179775281,2.24719101123596,11.2359550561798,3.65168539325843,4.21348314606742,8.14606741573034,9.26966292134832,7.30337078651685
"E01000855",600,1,2,8,1,0,8,45,7,42,89,61,8,125,19,21,53,46,64,0.166666666666667,0.333333333333333,1.33333333333333,0.166666666666667,0,1.33333333333333,7.5,1.16666666666667,7,14.8333333333333,10.1666666666667,1.33333333333333,20.8333333333333,3.16666666666667,3.5,8.83333333333333,7.66666666666667,10.6666666666667
"E01000856",395,0,0,9,2,1,38,44,20,41,45,26,12,66,13,4,30,17,27,0,0,2.27848101265823,0.506329113924051,0.253164556962025,9.62025316455696,11.1392405063291,5.06329113924051,10.379746835443,11.3924050632911,6.58227848101266,3.0379746835443,16.7088607594937,3.29113924050633,1.0126582278481,7.59493670886076,4.30379746835443,6.83544303797468
"E01000857",412,0,1,7,0,1,20,27,18,9,42,65,16,99,21,8,29,17,32,0,0.242718446601942,1.69902912621359,0,0.242718446601942,4.85436893203883,6.55339805825243,4.36893203883495,2.18446601941748,10.1941747572816,15.7766990291262,3.88349514563107,24.0291262135922,5.09708737864078,1.94174757281553,7.03883495145631,4.12621359223301,7.76699029126214
"E01000858",429,0,0,8,1,4,31,41,30,32,50,39,7,75,20,12,19,20,40,0,0,1.86480186480186,0.233100233100233,0.932400932400932,7.22610722610723,9.55710955710956,6.99300699300699,7.45920745920746,11.6550116550117,9.09090909090909,1.63170163170163,17.4825174825175,4.66200466200466,2.7972027972028,4.42890442890443,4.66200466200466,9.32400932400932
"E01000859",522,0,3,17,2,0,23,41,10,12,69,91,10,126,12,5,33,17,51,0,0.574712643678161,3.25670498084291,0.383141762452107,0,4.40613026819923,7.8544061302682,1.91570881226054,2.29885057471264,13.2183908045977,17.4329501915709,1.91570881226054,24.1379310344828,2.29885057471264,0.957854406130268,6.32183908045977,3.25670498084291,9.77011494252874
"E01000860",316,0,0,3,1,0,12,19,6,17,33,39,6,76,10,18,25,29,22,0,0,0.949367088607595,0.316455696202532,0,3.79746835443038,6.0126582278481,1.89873417721519,5.37974683544304,10.4430379746835,12.3417721518987,1.89873417721519,24.0506329113924,3.16455696202532,5.69620253164557,7.91139240506329,9.17721518987342,6.9620253164557
"E01000861",455,1,0,5,1,2,22,40,17,39,63,23,15,81,17,17,34,38,40,0.21978021978022,0,1.0989010989011,0.21978021978022,0.43956043956044,4.83516483516484,8.79120879120879,3.73626373626374,8.57142857142857,13.8461538461538,5.05494505494505,3.2967032967033,17.8021978021978,3.73626373626374,3.73626373626374,7.47252747252747,8.35164835164835,8.79120879120879
