"GeographyCode","KS607EW0001","KS607EW0002","KS607EW0003","KS607EW0004","KS607EW0005","KS607EW0006","KS607EW0007","KS607EW0008","KS607EW0009","KS607EW0010","KS607EW0011","KS607EW0012","KS607EW0013","KS607EW0014","KS607EW0015","KS607EW0016","KS607EW0017","KS607EW0018","KS607EW0019","KS607EW0020","KS607EW0021","KS607EW0022","KS607EW0023","KS607EW0024","KS607EW0025","KS607EW0026","KS607EW0027","KS607EW0028","KS607EW0029","KS607EW0030","KS607EW0031","KS607EW0032","KS607EW0033","KS607EW0034","KS607EW0035","KS607EW0036","KS607EW0037"
"E02000166",1995,3,0,23,2,1,28,147,13,65,184,67,33,346,75,70,337,397,204,0.150375939849624,0,1.15288220551378,0.100250626566416,0.050125313283208,1.40350877192982,7.36842105263158,0.651629072681704,3.25814536340852,9.22305764411028,3.35839598997494,1.65413533834586,17.34335839599,3.7593984962406,3.50877192982456,16.8922305764411,19.8997493734336,10.2255639097744
"E02000167",1939,2,2,36,3,1,19,161,11,44,166,143,48,405,83,56,253,278,228,0.103145951521403,0.103145951521403,1.85662712738525,0.154718927282104,0.0515729757607014,0.979886539453326,8.30324909747292,0.567302733367715,2.26921093347086,8.56111397627643,7.3749355337803,2.47550283651367,20.8870551830841,4.28055698813822,2.88808664259928,13.0479628674575,14.337287261475,11.7586384734399
"E02000168",2222,1,1,45,4,2,14,194,19,78,275,95,33,393,63,92,348,331,234,0.045004500450045,0.045004500450045,2.02520252025203,0.18001800180018,0.09000900090009,0.63006300630063,8.73087308730873,0.855085508550855,3.51035103510351,12.3762376237624,4.27542754275427,1.48514851485149,17.6867686768677,2.83528352835284,4.14041404140414,15.6615661566157,14.8964896489649,10.5310531053105
"E02000169",1567,3,3,28,3,0,15,157,8,76,108,138,54,291,63,42,194,189,195,0.1914486279515,0.1914486279515,1.78685386088066,0.1914486279515,0,0.957243139757498,10.0191448627951,0.510529674537333,4.85003190810466,6.89215060625399,8.80663688576899,3.44607530312699,18.5705169112955,4.02042118698149,2.680280791321,12.3803446075303,12.0612635609445,12.4441608168475
"E02000170",2368,3,2,43,5,2,43,204,19,108,218,189,37,448,110,83,330,280,244,0.126689189189189,0.0844594594594595,1.81587837837838,0.211148648648649,0.0844594594594595,1.81587837837838,8.61486486486486,0.802364864864865,4.56081081081081,9.20608108108108,7.98141891891892,1.5625,18.9189189189189,4.64527027027027,3.50506756756757,13.9358108108108,11.8243243243243,10.3040540540541
"E02000171",2037,1,1,20,1,1,24,187,13,59,183,133,25,365,79,61,311,365,208,0.0490918016691213,0.0490918016691213,0.981836033382425,0.0490918016691213,0.0490918016691213,1.17820324005891,9.18016691212568,0.638193421698576,2.89641629847815,8.98379970544919,6.52920962199313,1.22729504172803,17.9185076092293,3.87825233186058,2.9945999018164,15.2675503190967,17.9185076092293,10.2110947471772
"E02000172",2000,1,1,34,4,2,17,209,18,137,174,59,47,253,86,96,343,350,169,0.05,0.05,1.7,0.2,0.1,0.85,10.45,0.9,6.85,8.7,2.95,2.35,12.65,4.3,4.8,17.15,17.5,8.45
"E02000173",2006,0,4,29,4,0,22,159,14,71,162,262,47,383,64,43,194,382,166,0,0.199401794616152,1.4456630109671,0.199401794616152,0,1.09670987038883,7.92622133599202,0.69790628115653,3.53938185443669,8.07577268195414,13.0608175473579,2.34297108673978,19.0927218344965,3.19042871385842,2.14356929212363,9.67098703888335,19.0428713858425,8.27517447657029
"E02000174",2314,1,1,30,3,1,23,233,15,103,281,74,36,382,112,84,341,303,291,0.0432152117545376,0.0432152117545376,1.29645635263613,0.129645635263613,0.0432152117545376,0.993949870354365,10.0691443388073,0.648228176318064,4.45116681071737,12.1434745030251,3.19792566983578,1.55574762316335,16.5082108902334,4.84010371650821,3.63007778738116,14.7363872082973,13.0942091616249,12.5756266205704
"E02000175",2741,0,3,52,5,0,37,288,36,105,224,289,40,600,122,111,300,324,205,0,0.109449106165633,1.8971178402043,0.182415176942722,0,1.34987230937614,10.5071141919008,1.3133892739876,3.83071871579715,8.17219992703393,10.5435972272893,1.45932141554177,21.8898212331266,4.45093031740241,4.04961692812842,10.9449106165633,11.8205034658884,7.47902225465159
