"GeographyCode","KS607EW0001","KS607EW0002","KS607EW0003","KS607EW0004","KS607EW0005","KS607EW0006","KS607EW0007","KS607EW0008","KS607EW0009","KS607EW0010","KS607EW0011","KS607EW0012","KS607EW0013","KS607EW0014","KS607EW0015","KS607EW0016","KS607EW0017","KS607EW0018","KS607EW0019","KS607EW0020","KS607EW0021","KS607EW0022","KS607EW0023","KS607EW0024","KS607EW0025","KS607EW0026","KS607EW0027","KS607EW0028","KS607EW0029","KS607EW0030","KS607EW0031","KS607EW0032","KS607EW0033","KS607EW0034","KS607EW0035","KS607EW0036","KS607EW0037"
"E00004120",87,0,0,0,0,0,0,5,0,1,7,10,4,22,2,2,11,13,10,0,0,0,0,0,0,5.74712643678161,0,1.14942528735632,8.04597701149425,11.4942528735632,4.59770114942529,25.2873563218391,2.29885057471264,2.29885057471264,12.6436781609195,14.9425287356322,11.4942528735632
"E00004121",70,0,0,1,0,0,0,4,0,1,3,9,0,32,1,0,4,7,8,0,0,1.42857142857143,0,0,0,5.71428571428571,0,1.42857142857143,4.28571428571429,12.8571428571429,0,45.7142857142857,1.42857142857143,0,5.71428571428571,10,11.4285714285714
"E00004122",49,0,0,1,0,0,0,6,0,0,3,5,2,14,3,1,1,7,6,0,0,2.04081632653061,0,0,0,12.2448979591837,0,0,6.12244897959184,10.2040816326531,4.08163265306122,28.5714285714286,6.12244897959184,2.04081632653061,2.04081632653061,14.2857142857143,12.2448979591837
"E00004123",81,0,0,1,0,0,1,4,1,4,6,7,3,17,2,6,6,15,8,0,0,1.23456790123457,0,0,1.23456790123457,4.93827160493827,1.23456790123457,4.93827160493827,7.40740740740741,8.64197530864197,3.7037037037037,20.9876543209877,2.46913580246914,7.40740740740741,7.40740740740741,18.5185185185185,9.87654320987654
"E00004124",48,0,0,1,0,0,0,1,0,1,3,6,1,8,5,0,8,7,7,0,0,2.08333333333333,0,0,0,2.08333333333333,0,2.08333333333333,6.25,12.5,2.08333333333333,16.6666666666667,10.4166666666667,0,16.6666666666667,14.5833333333333,14.5833333333333
"E00004125",98,0,0,1,1,0,1,5,0,3,6,11,1,21,5,7,14,12,10,0,0,1.02040816326531,1.02040816326531,0,1.02040816326531,5.10204081632653,0,3.06122448979592,6.12244897959184,11.2244897959184,1.02040816326531,21.4285714285714,5.10204081632653,7.14285714285714,14.2857142857143,12.2448979591837,10.2040816326531
"E00004126",76,0,0,2,0,0,0,6,1,3,6,10,2,21,1,5,8,6,5,0,0,2.63157894736842,0,0,0,7.89473684210526,1.31578947368421,3.94736842105263,7.89473684210526,13.1578947368421,2.63157894736842,27.6315789473684,1.31578947368421,6.57894736842105,10.5263157894737,7.89473684210526,6.57894736842105
"E00004127",76,0,0,1,0,0,3,5,0,2,9,3,1,16,2,3,11,15,5,0,0,1.31578947368421,0,0,3.94736842105263,6.57894736842105,0,2.63157894736842,11.8421052631579,3.94736842105263,1.31578947368421,21.0526315789474,2.63157894736842,3.94736842105263,14.4736842105263,19.7368421052632,6.57894736842105
"E00004128",84,0,0,1,0,0,3,6,0,0,8,15,0,22,2,3,12,8,4,0,0,1.19047619047619,0,0,3.57142857142857,7.14285714285714,0,0,9.52380952380952,17.8571428571429,0,26.1904761904762,2.38095238095238,3.57142857142857,14.2857142857143,9.52380952380952,4.76190476190476
"E00004129",85,0,1,4,0,0,0,3,0,0,5,15,0,13,3,2,13,15,11,0,1.17647058823529,4.70588235294118,0,0,0,3.52941176470588,0,0,5.88235294117647,17.6470588235294,0,15.2941176470588,3.52941176470588,2.35294117647059,15.2941176470588,17.6470588235294,12.9411764705882
"E00004130",83,0,0,1,0,0,1,10,0,5,13,6,2,19,1,1,2,16,6,0,0,1.20481927710843,0,0,1.20481927710843,12.0481927710843,0,6.02409638554217,15.6626506024096,7.2289156626506,2.40963855421687,22.8915662650602,1.20481927710843,1.20481927710843,2.40963855421687,19.2771084337349,7.2289156626506
"E00004131",90,0,0,0,0,0,1,11,0,10,7,7,1,23,3,1,11,9,6,0,0,0,0,0,1.11111111111111,12.2222222222222,0,11.1111111111111,7.77777777777778,7.77777777777778,1.11111111111111,25.5555555555556,3.33333333333333,1.11111111111111,12.2222222222222,10,6.66666666666667
"E00004132",66,0,0,1,0,0,1,3,0,0,7,9,1,18,2,3,6,9,6,0,0,1.51515151515152,0,0,1.51515151515152,4.54545454545455,0,0,10.6060606060606,13.6363636363636,1.51515151515152,27.2727272727273,3.03030303030303,4.54545454545455,9.09090909090909,13.6363636363636,9.09090909090909
"E00004133",79,0,1,0,0,0,0,3,1,3,7,10,0,19,3,4,13,7,8,0,1.26582278481013,0,0,0,0,3.79746835443038,1.26582278481013,3.79746835443038,8.86075949367089,12.6582278481013,0,24.0506329113924,3.79746835443038,5.06329113924051,16.4556962025316,8.86075949367089,10.126582278481
"E00004134",50,0,0,0,0,0,0,3,1,0,5,9,0,13,3,1,2,7,6,0,0,0,0,0,0,6,2,0,10,18,0,26,6,2,4,14,12
"E00004135",61,0,0,0,0,0,1,6,0,1,2,7,2,17,2,2,3,9,9,0,0,0,0,0,1.63934426229508,9.83606557377049,0,1.63934426229508,3.27868852459016,11.4754098360656,3.27868852459016,27.8688524590164,3.27868852459016,3.27868852459016,4.91803278688525,14.7540983606557,14.7540983606557
"E00004136",69,0,0,0,0,1,0,7,0,3,5,7,1,16,1,3,12,9,4,0,0,0,0,1.44927536231884,0,10.1449275362319,0,4.34782608695652,7.2463768115942,10.1449275362319,1.44927536231884,23.1884057971014,1.44927536231884,4.34782608695652,17.3913043478261,13.0434782608696,5.79710144927536
"E00004137",86,0,1,1,0,0,0,9,2,9,8,7,2,17,1,2,9,12,6,0,1.16279069767442,1.16279069767442,0,0,0,10.4651162790698,2.32558139534884,10.4651162790698,9.30232558139535,8.13953488372093,2.32558139534884,19.7674418604651,1.16279069767442,2.32558139534884,10.4651162790698,13.953488372093,6.97674418604651
"E00004138",57,0,0,1,1,0,1,6,1,3,3,5,0,13,1,1,4,8,9,0,0,1.75438596491228,1.75438596491228,0,1.75438596491228,10.5263157894737,1.75438596491228,5.26315789473684,5.26315789473684,8.7719298245614,0,22.8070175438596,1.75438596491228,1.75438596491228,7.01754385964912,14.0350877192982,15.7894736842105
"E00004139",43,0,0,0,0,0,2,5,0,9,2,3,0,4,2,1,5,7,3,0,0,0,0,0,4.65116279069767,11.6279069767442,0,20.9302325581395,4.65116279069767,6.97674418604651,0,9.30232558139535,4.65116279069767,2.32558139534884,11.6279069767442,16.2790697674419,6.97674418604651
"E00004140",63,0,1,1,0,1,0,6,0,1,3,11,3,9,2,1,6,11,7,0,1.58730158730159,1.58730158730159,0,1.58730158730159,0,9.52380952380952,0,1.58730158730159,4.76190476190476,17.4603174603175,4.76190476190476,14.2857142857143,3.17460317460317,1.58730158730159,9.52380952380952,17.4603174603175,11.1111111111111
"E00004141",50,0,0,0,0,0,0,2,0,1,5,6,3,10,2,1,7,8,5,0,0,0,0,0,0,4,0,2,10,12,6,20,4,2,14,16,10
"E00004142",65,0,0,0,0,2,2,3,1,3,6,13,1,9,2,3,7,11,2,0,0,0,0,3.07692307692308,3.07692307692308,4.61538461538462,1.53846153846154,4.61538461538462,9.23076923076923,20,1.53846153846154,13.8461538461538,3.07692307692308,4.61538461538462,10.7692307692308,16.9230769230769,3.07692307692308
