"GeographyCode","KS608EW0001","KS608EW0002","KS608EW0003","KS608EW0004","KS608EW0005","KS608EW0006","KS608EW0007","KS608EW0008","KS608EW0009","KS608EW0010","KS608EW0011","KS608EW0012","KS608EW0013","KS608EW0014","KS608EW0015","KS608EW0016","KS608EW0017","KS608EW0018","KS608EW0019"
"E01000842",849,170,306,225,56,17,29,22,4,20,20.0235571260306,36.0424028268551,26.5017667844523,6.59599528857479,2.00235571260306,3.41578327444052,2.59128386336867,0.471142520612485,2.35571260306243
"E01000843",909,140,337,232,57,23,40,30,11,39,15.4015401540154,37.0737073707371,25.5225522552255,6.27062706270627,2.53025302530253,4.4004400440044,3.3003300330033,1.21012101210121,4.29042904290429
"E01000844",1089,237,429,261,53,20,38,25,6,20,21.763085399449,39.3939393939394,23.9669421487603,4.86685032139578,1.83654729109275,3.48943985307622,2.29568411386593,0.550964187327824,1.83654729109275
"E01000845",847,168,291,214,54,23,31,32,11,23,19.8347107438017,34.3565525383707,25.2656434474616,6.3754427390791,2.71546635182999,3.65997638724911,3.77804014167651,1.2987012987013,2.71546635182999
"E01000846",582,85,138,126,59,23,40,41,29,41,14.6048109965636,23.7113402061856,21.6494845360825,10.1374570446735,3.95189003436426,6.87285223367698,7.0446735395189,4.98281786941581,7.0446735395189
"E01000847",712,122,202,165,62,20,46,37,18,40,17.1348314606742,28.3707865168539,23.1741573033708,8.70786516853933,2.80898876404494,6.46067415730337,5.19662921348315,2.52808988764045,5.61797752808989
"E01000848",1008,221,322,263,69,34,32,27,10,30,21.9246031746032,31.9444444444444,26.0912698412698,6.8452380952381,3.37301587301587,3.17460317460317,2.67857142857143,0.992063492063492,2.97619047619048
"E01000849",982,161,376,225,85,31,41,27,7,29,16.3951120162933,38.2892057026477,22.9124236252546,8.65580448065173,3.15682281059063,4.17515274949083,2.74949083503055,0.712830957230143,2.95315682281059
"E01000850",937,88,403,208,74,35,41,35,2,51,9.39167556029883,43.0096051227321,22.1985058697972,7.89754535752401,3.73532550693703,4.37566702241195,3.73532550693703,0.213447171824973,5.44290288153682
"E01000851",1017,142,335,239,82,20,43,62,6,88,13.9626352015733,32.9400196656834,23.5004916420846,8.06293018682399,1.96656833824975,4.22812192723697,6.09636184857424,0.589970501474926,8.65290068829892
"E01000852",497,49,179,83,49,11,34,35,8,49,9.85915492957746,36.0160965794769,16.7002012072435,9.85915492957746,2.21327967806841,6.841046277666,7.04225352112676,1.60965794768612,9.85915492957746
"E01000853",622,62,176,105,81,36,35,51,24,52,9.96784565916399,28.2958199356913,16.8810289389068,13.0225080385852,5.78778135048232,5.62700964630225,8.19935691318328,3.85852090032154,8.36012861736334
"E01000854",638,76,188,131,51,25,33,68,16,50,11.9122257053292,29.4670846394984,20.5329153605016,7.99373040752351,3.91849529780564,5.17241379310345,10.6583072100313,2.50783699059561,7.83699059561129
"E01000855",1110,124,488,246,92,27,43,34,5,51,11.1711711711712,43.963963963964,22.1621621621622,8.28828828828829,2.43243243243243,3.87387387387387,3.06306306306306,0.45045045045045,4.59459459459459
"E01000856",731,94,192,150,68,40,55,49,22,61,12.859097127223,26.265389876881,20.5198358413133,9.30232558139535,5.4719562243502,7.52393980848153,6.703146374829,3.00957592339261,8.34473324213406
"E01000857",773,140,247,201,55,21,34,35,15,25,18.111254851229,31.9534282018111,26.0025873221216,7.11513583441138,2.71668822768435,4.39844760672704,4.52781371280724,1.9404915912031,3.23415265200517
"E01000858",801,88,222,147,61,51,79,51,33,69,10.9862671660424,27.7153558052434,18.3520599250936,7.61548064918852,6.36704119850187,9.86267166042447,6.36704119850187,4.11985018726592,8.61423220973783
"E01000859",992,239,334,258,55,31,23,23,6,23,24.0927419354839,33.6693548387097,26.008064516129,5.54435483870968,3.125,2.31854838709677,2.31854838709677,0.604838709677419,2.31854838709677
"E01000860",656,115,263,139,38,20,26,22,14,19,17.530487804878,40.0914634146341,21.1890243902439,5.79268292682927,3.04878048780488,3.96341463414634,3.35365853658537,2.13414634146341,2.89634146341463
"E01000861",839,90,253,180,75,42,50,56,22,71,10.7270560190703,30.1549463647199,21.4541120381406,8.93921334922527,5.00595947556615,5.95947556615018,6.6746126340882,2.62216924910608,8.46245530393325
"E01000862",1020,233,354,263,63,20,39,18,5,25,22.843137254902,34.7058823529412,25.7843137254902,6.17647058823529,1.96078431372549,3.82352941176471,1.76470588235294,0.490196078431373,2.45098039215686
"E01000863",907,142,267,229,72,45,36,48,10,58,15.6560088202867,29.4377067254686,25.2480705622933,7.93825799338479,4.96141124586549,3.96912899669239,5.29217199558986,1.10253583241455,6.39470782800441
"E01000864",876,108,302,200,77,38,45,51,11,44,12.3287671232877,34.4748858447489,22.8310502283105,8.78995433789954,4.337899543379,5.13698630136986,5.82191780821918,1.25570776255708,5.02283105022831
"E01000865",642,79,207,181,45,26,17,36,5,46,12.3052959501558,32.2429906542056,28.1931464174455,7.00934579439252,4.04984423676012,2.64797507788162,5.60747663551402,0.778816199376947,7.16510903426791
"E01000866",1044,130,325,224,82,74,53,67,34,55,12.4521072796935,31.1302681992337,21.455938697318,7.8544061302682,7.08812260536398,5.07662835249042,6.4176245210728,3.25670498084291,5.26819923371647
"E01000867",700,57,189,141,81,46,56,58,26,46,8.14285714285714,27,20.1428571428571,11.5714285714286,6.57142857142857,8,8.28571428571428,3.71428571428571,6.57142857142857
"E01000868",605,60,79,115,43,48,73,57,35,95,9.91735537190083,13.0578512396694,19.0082644628099,7.10743801652893,7.93388429752066,12.0661157024793,9.42148760330578,5.78512396694215,15.702479338843
"E01000869",1166,140,367,307,95,42,55,72,24,64,12.0068610634648,31.47512864494,26.3293310463122,8.147512864494,3.60205831903945,4.71698113207547,6.17495711835334,2.05831903945112,5.48885077186964
"E01000870",873,102,258,229,75,43,52,49,18,47,11.6838487972509,29.553264604811,26.2313860252005,8.59106529209622,4.92554410080183,5.95647193585338,5.61282932416953,2.06185567010309,5.38373424971363
"E01000871",865,129,295,180,75,37,49,45,12,43,14.9132947976879,34.1040462427746,20.8092485549133,8.67052023121387,4.27745664739884,5.66473988439306,5.20231213872832,1.38728323699422,4.97109826589595
"E01000872",1191,128,402,206,96,84,90,64,24,97,10.7472712006717,33.7531486146096,17.296389588581,8.06045340050378,7.05289672544081,7.55667506297229,5.37363560033585,2.01511335012594,8.14441645675903
"E01000873",1004,138,365,252,87,26,56,34,8,38,13.7450199203187,36.3545816733068,25.0996015936255,8.66533864541833,2.58964143426295,5.57768924302789,3.38645418326693,0.796812749003984,3.78486055776892
"E01000874",943,168,362,241,66,16,29,38,4,19,17.8154825026511,38.3881230116649,25.5567338282078,6.99893955461294,1.69671261930011,3.07529162248144,4.02969247083775,0.424178154825027,2.01484623541888
"E01000875",982,97,304,232,87,52,58,59,15,78,9.87780040733197,30.9572301425662,23.6252545824847,8.85947046843177,5.29531568228106,5.90631364562118,6.0081466395112,1.52749490835031,7.94297352342159
"E01000876",839,113,251,143,79,42,51,55,22,83,13.4684147794994,29.9165673420739,17.0441001191895,9.41597139451728,5.00595947556615,6.07866507747318,6.5554231227652,2.62216924910608,9.8927294398093
"E01000877",973,148,354,236,86,28,27,34,24,36,15.2106885919836,36.382322713258,24.2548818088386,8.83864337101747,2.87769784172662,2.77492291880781,3.49434737923947,2.46659815005139,3.69989722507708
"E01000878",675,150,198,145,48,24,33,39,12,26,22.2222222222222,29.3333333333333,21.4814814814815,7.11111111111111,3.55555555555556,4.88888888888889,5.77777777777778,1.77777777777778,3.85185185185185
"E01000879",737,154,248,159,53,35,28,29,1,30,20.8955223880597,33.6499321573948,21.5739484396201,7.19131614654003,4.74898236092266,3.79918588873813,3.9348710990502,0.135685210312076,4.07055630936228
"E01000880",790,199,279,168,54,16,44,11,7,12,25.1898734177215,35.3164556962025,21.2658227848101,6.83544303797468,2.0253164556962,5.56962025316456,1.39240506329114,0.886075949367089,1.51898734177215
"E01000881",795,159,257,186,72,28,30,28,6,29,20,32.3270440251572,23.3962264150943,9.05660377358491,3.52201257861635,3.77358490566038,3.52201257861635,0.754716981132076,3.64779874213836
"E01000882",954,221,338,248,65,12,26,23,3,18,23.1656184486373,35.4297693920335,25.9958071278826,6.81341719077568,1.25786163522013,2.72536687631027,2.41090146750524,0.314465408805031,1.88679245283019
