"GeographyCode","KS608EW0001","KS608EW0002","KS608EW0003","KS608EW0004","KS608EW0005","KS608EW0006","KS608EW0007","KS608EW0008","KS608EW0009","KS608EW0010","KS608EW0011","KS608EW0012","KS608EW0013","KS608EW0014","KS608EW0015","KS608EW0016","KS608EW0017","KS608EW0018","KS608EW0019"
"E02000166",3928,556,1310,878,339,161,236,167,76,205,14.1547861507128,33.3503054989817,22.3523421588595,8.63034623217923,4.09877800407332,6.0081466395112,4.25152749490835,1.93482688391039,5.21894093686354
"E02000167",4296,904,1626,1075,240,81,168,96,31,75,21.0428305400372,37.8491620111732,25.0232774674115,5.58659217877095,1.8854748603352,3.91061452513966,2.23463687150838,0.721601489757914,1.74581005586592
"E02000168",4463,512,1586,1088,378,187,214,212,76,210,11.4721039659422,35.5366345507506,24.3782209276272,8.46963925610576,4.19000672193592,4.7949809545149,4.75016804839794,1.70289043244454,4.70535514228098
"E02000169",3582,858,1150,784,249,95,193,114,29,110,23.9530988274707,32.1049692908989,21.8872138470128,6.95142378559464,2.65214963707426,5.38805136795087,3.18257956448911,0.809603573422669,3.07091010608599
"E02000170",4976,711,1778,1115,410,191,251,215,72,233,14.2885852090032,35.7315112540193,22.4075562700965,8.2395498392283,3.83842443729904,5.04421221864952,4.32073954983923,1.44694533762058,4.68247588424437
"E02000171",4210,612,1568,975,306,161,196,172,68,152,14.5368171021378,37.2446555819477,23.1591448931116,7.26840855106888,3.82422802850356,4.65558194774347,4.0855106888361,1.61520190023753,3.6104513064133
"E02000172",4208,392,1019,825,430,281,350,318,177,416,9.31558935361217,24.2157794676806,19.6055133079848,10.2186311787072,6.67775665399239,8.31749049429658,7.55703422053232,4.20627376425855,9.88593155893536
"E02000173",4314,878,1659,978,295,86,150,119,25,124,20.35234121465,38.4561891515994,22.6703755215577,6.83820120537784,1.99350950394066,3.47705146036161,2.75846082522021,0.579508576726936,2.8743625405656
"E02000174",4592,482,1485,1085,381,228,298,246,120,267,10.4965156794425,32.338850174216,23.6280487804878,8.29703832752613,4.96515679442509,6.48954703832753,5.35714285714286,2.61324041811847,5.81445993031359
"E02000175",5504,750,1991,1287,447,200,247,276,73,233,13.6264534883721,36.1736918604651,23.3829941860465,8.12136627906977,3.63372093023256,4.48764534883721,5.01453488372093,1.32630813953488,4.23328488372093
"E02000176",3928,789,1433,974,263,102,140,101,27,99,20.0865580448065,36.4816700610998,24.79633401222,6.69551934826884,2.59674134419552,3.56415478615071,2.57128309572301,0.687372708757637,2.520366598778
"E02000177",4089,499,1095,825,384,237,292,291,121,345,12.2034727317192,26.7791636096845,20.1760821716801,9.39104915627293,5.7960381511372,7.14111029591587,7.11665443873808,2.95915871851308,8.43727072633896
"E02000178",4881,538,1553,1025,421,250,270,293,121,410,11.0223314894489,31.8172505634091,20.99979512395,8.62528170456874,5.1219012497439,5.53165334972342,6.00286826469986,2.47900020487605,8.39991804958001
"E02000179",3050,515,968,737,232,89,157,140,69,143,16.8852459016393,31.7377049180328,24.1639344262295,7.60655737704918,2.91803278688525,5.14754098360656,4.59016393442623,2.26229508196721,4.68852459016393
"E02000180",3989,444,1144,944,341,200,246,274,101,295,11.1306091752319,28.6788668839308,23.6650789671597,8.54850839809476,5.01378791677112,6.16695913762848,6.86888944597644,2.53196289796942,7.3953371772374
