"GeographyCode","QS101EW0001","QS101EW0002","QS101EW0003","QS101EW0004"
"E00004120",314,286,28,0
"E00004121",250,250,0,0
"E00004122",236,236,0,0
"E00004123",296,296,0,0
"E00004124",176,176,0,0
"E00004125",268,268,0,0
"E00004126",274,274,0,0
"E00004127",265,265,0,0
"E00004128",293,293,0,0
"E00004129",265,265,0,0
"E00004130",268,268,0,0
"E00004131",280,280,0,0
"E00004132",204,196,8,0
"E00004133",255,255,0,0
"E00004134",188,188,0,0
"E00004135",143,143,0,0
"E00004136",228,228,0,0
"E00004137",272,272,0,0
"E00004138",225,225,0,0
"E00004139",333,333,0,0
"E00004140",206,206,0,0
"E00004141",188,188,0,0
"E00004142",237,237,0,0
"E00004143",242,242,0,0
"E00004144",230,230,0,0
"E00004145",256,208,48,0
"E00004146",249,249,0,0
"E00004147",225,225,0,0
"E00004148",175,175,0,0
"E00004149",337,317,20,0
"E00004150",304,304,0,0
"E00004151",261,261,0,0
"E00004152",243,243,0,0
"E00004153",206,206,0,0
"E00004154",255,255,0,0
"E00004155",250,250,0,0
"E00004156",223,223,0,0
"E00004157",226,226,0,0
"E00004158",284,284,0,0
"E00004159",394,394,0,0
"E00004160",214,214,0,0
"E00004161",201,201,0,0
"E00004162",248,248,0,0
"E00004163",393,391,2,0
"E00004164",383,383,0,0
"E00004165",345,345,0,0
"E00004166",416,416,0,0
"E00004167",284,282,2,0
"E00004168",194,194,0,0
"E00004169",317,293,24,0
"E00004172",229,229,0,0
"E00004173",609,192,417,0
"E00004174",274,274,0,0
"E00004175",289,272,17,0
"E00004177",296,105,191,0
"E00004179",327,327,0,0
"E00004180",283,283,0,0
"E00004181",355,355,0,0
"E00004182",180,162,18,0
"E00004183",197,197,0,0
"E00004184",210,210,0,0
"E00004185",413,413,0,0
"E00004187",488,488,0,0
"E00004188",182,182,0,0
"E00004189",317,272,45,0
"E00004190",471,471,0,0
"E00004193",657,244,413,0
"E00004194",252,252,0,0
"E00004195",311,311,0,0
"E00004196",211,211,0,0
"E00004197",257,237,20,0
"E00004198",350,350,0,0
"E00004199",286,286,0,0
"E00004200",248,248,0,0
"E00004201",272,272,0,0
"E00004202",171,171,0,0
"E00004203",319,319,0,0
"E00004204",277,277,0,0
"E00004205",373,352,21,0
"E00004206",310,310,0,0
"E00004207",365,365,0,0
"E00004208",303,303,0,0
"E00004209",271,271,0,0
"E00004210",323,323,0,0
"E00004211",306,306,0,0
"E00004212",330,330,0,0
"E00004213",456,456,0,0
"E00004214",521,521,0,0
"E00004215",269,269,0,0
"E00004216",299,299,0,0
"E00004217",244,244,0,0
"E00004218",305,305,0,0
"E00004219",366,366,0,0
"E00004220",170,170,0,0
"E00004221",232,232,0,0
"E00004222",215,211,4,0
"E00004223",321,321,0,0
"E00004224",280,280,0,0
"E00004225",463,386,77,0
"E00004226",256,256,0,0
"E00004227",271,271,0,0
"E00004228",204,204,0,0
"E00004229",318,318,0,0
"E00004230",283,283,0,0
"E00004231",328,328,0,0
"E00004232",202,202,0,0
"E00004233",231,231,0,0
"E00004234",242,242,0,0
"E00004235",326,326,0,0
"E00004236",329,329,0,0
"E00004237",267,267,0,0
"E00004238",290,290,0,0
"E00004239",215,215,0,0
"E00004240",329,329,0,0
"E00004241",295,295,0,0
"E00004242",176,176,0,0
"E00004243",290,290,0,0
"E00004244",292,292,0,0
"E00004245",317,317,0,0
"E00004246",792,264,528,0
"E00004247",314,314,0,0
"E00004248",446,446,0,0
"E00004249",226,226,0,0
"E00004250",271,271,0,0
"E00004251",231,231,0,0
"E00004252",252,252,0,0
"E00004253",296,296,0,0
"E00004254",315,315,0,0
"E00004255",282,282,0,0
"E00004256",361,361,0,0
"E00004257",264,264,0,0
"E00004258",236,236,0,0
"E00004259",328,328,0,0
"E00004260",220,220,0,0
"E00004261",275,275,0,0
"E00004262",281,281,0,0
"E00004263",385,385,0,0
"E00004264",348,348,0,0
"E00004265",234,234,0,0
"E00004266",345,345,0,0
"E00004268",319,319,0,0
"E00004269",231,231,0,0
"E00004270",448,448,0,0
"E00004271",328,328,0,0
"E00004272",273,273,0,0
"E00004273",364,364,0,0
"E00004274",291,291,0,0
"E00004275",199,199,0,0
"E00004276",274,274,0,0
"E00004277",259,259,0,0
"E00004278",218,218,0,0
"E00004279",290,290,0,0
"E00004280",211,211,0,0
"E00004281",251,251,0,0
"E00004282",302,302,0,0
"E00004283",267,267,0,0
"E00004284",247,247,0,0
"E00004285",270,270,0,0
"E00004286",294,294,0,0
"E00004287",273,265,8,0
"E00004288",318,318,0,0
"E00004289",232,232,0,0
"E00004290",306,306,0,0
"E00004291",340,340,0,0
"E00004292",332,332,0,0
"E00004293",276,276,0,0
"E00004294",215,215,0,0
"E00004295",389,378,11,0
"E00004296",383,383,0,0
"E00004297",319,291,28,0
"E00004298",311,311,0,0
"E00004299",302,302,0,0
"E00004300",273,273,0,0
"E00004301",503,503,0,0
"E00004302",303,303,0,0
"E00004303",299,299,0,0
"E00004304",397,397,0,0
"E00004305",355,355,0,0
"E00004306",315,315,0,0
"E00004307",368,368,0,0
"E00004308",278,278,0,0
"E00004309",286,286,0,0
"E00004310",306,306,0,0
