"GeographyCode","QS103EW0001","QS103EW0002","QS103EW0003","QS103EW0004","QS103EW0005","QS103EW0006","QS103EW0007","QS103EW0008","QS103EW0009","QS103EW0010","QS103EW0011","QS103EW0012","QS103EW0013","QS103EW0014","QS103EW0015","QS103EW0016","QS103EW0017","QS103EW0018","QS103EW0019","QS103EW0020","QS103EW0021","QS103EW0022","QS103EW0023","QS103EW0024","QS103EW0025","QS103EW0026","QS103EW0027","QS103EW0028","QS103EW0029","QS103EW0030","QS103EW0031","QS103EW0032","QS103EW0033","QS103EW0034","QS103EW0035","QS103EW0036","QS103EW0037","QS103EW0038","QS103EW0039","QS103EW0040","QS103EW0041","QS103EW0042","QS103EW0043","QS103EW0044","QS103EW0045","QS103EW0046","QS103EW0047","QS103EW0048","QS103EW0049","QS103EW0050","QS103EW0051","QS103EW0052","QS103EW0053","QS103EW0054","QS103EW0055","QS103EW0056","QS103EW0057","QS103EW0058","QS103EW0059","QS103EW0060","QS103EW0061","QS103EW0062","QS103EW0063","QS103EW0064","QS103EW0065","QS103EW0066","QS103EW0067","QS103EW0068","QS103EW0069","QS103EW0070","QS103EW0071","QS103EW0072","QS103EW0073","QS103EW0074","QS103EW0075","QS103EW0076","QS103EW0077","QS103EW0078","QS103EW0079","QS103EW0080","QS103EW0081","QS103EW0082","QS103EW0083","QS103EW0084","QS103EW0085","QS103EW0086","QS103EW0087","QS103EW0088","QS103EW0089","QS103EW0090","QS103EW0091","QS103EW0092","QS103EW0093","QS103EW0094","QS103EW0095","QS103EW0096","QS103EW0097","QS103EW0098","QS103EW0099","QS103EW0100","QS103EW0101","QS103EW0102"
"E01000842",1444,29,18,17,18,14,14,12,12,8,9,11,5,9,4,4,3,7,11,6,7,2,6,12,20,23,30,28,34,21,33,44,45,32,28,49,42,48,25,26,22,31,40,22,29,19,32,16,18,16,23,12,16,16,17,9,16,9,16,11,12,11,13,22,6,23,10,13,16,19,7,8,11,13,16,6,2,6,7,7,3,4,10,7,4,3,4,7,4,2,2,3,2,0,1,1,0,0,2,1,0,0
"E01000843",1678,48,54,33,36,19,26,16,12,11,11,10,10,4,5,7,6,7,8,10,12,13,17,25,28,29,28,43,41,39,39,51,46,41,61,41,55,35,43,31,24,33,41,22,26,21,12,23,6,22,16,16,11,13,12,10,16,7,9,16,14,14,17,15,14,14,16,14,12,7,10,9,8,14,11,11,5,7,6,7,10,4,2,7,4,3,4,1,1,2,2,4,0,0,1,0,0,0,0,1,0,0
"E01000844",1772,68,29,30,24,26,15,21,9,18,8,8,13,7,3,7,3,5,6,3,1,6,12,14,15,21,38,43,34,56,46,67,73,47,78,64,43,63,37,39,34,28,32,31,18,28,25,24,30,28,21,14,13,15,15,11,11,11,5,18,11,12,14,12,13,27,9,10,12,7,7,12,12,5,9,13,7,11,3,10,5,6,4,3,6,3,4,1,0,2,3,1,0,0,0,2,1,1,1,1,0,0
"E01000845",1464,20,22,15,19,10,15,7,12,6,20,11,12,12,5,10,12,5,8,10,6,12,11,17,15,28,38,40,35,42,56,51,48,44,31,31,34,22,31,27,27,14,24,18,26,31,19,16,12,12,19,14,21,13,15,16,8,16,15,10,13,11,27,16,12,16,9,18,6,8,8,5,6,3,15,5,9,5,10,7,4,5,10,5,3,3,5,6,2,5,2,1,3,1,0,1,0,0,1,1,0,1
"E01000846",1501,16,23,26,23,27,29,28,28,17,23,25,19,21,14,22,34,19,14,26,12,17,10,11,20,19,20,24,25,20,24,18,28,27,19,18,21,20,22,21,17,29,30,28,29,25,19,33,13,17,18,14,17,26,17,10,12,14,14,11,16,9,6,13,14,8,12,13,13,11,10,8,8,18,8,12,7,9,7,7,7,10,8,1,9,5,5,6,2,2,3,7,1,0,1,0,0,0,1,0,1,0
"E01000847",1686,36,30,33,28,31,27,31,27,20,30,29,27,18,17,27,17,17,14,20,15,13,17,14,20,24,34,24,44,46,22,24,23,30,29,25,25,24,35,29,31,31,27,24,16,24,33,23,30,26,20,20,28,12,14,15,13,6,18,13,10,12,12,12,17,14,15,10,6,12,7,14,9,7,11,11,6,8,7,3,9,3,6,7,7,6,3,5,5,5,3,2,0,0,0,1,0,0,0,1,0,0
"E01000848",1588,23,28,24,19,22,12,14,10,9,11,6,7,9,4,4,22,3,4,12,6,2,4,4,13,16,21,26,31,41,36,53,46,52,37,40,66,50,37,46,34,32,26,32,25,16,25,29,23,17,44,23,12,12,15,13,14,16,16,10,11,7,15,14,23,20,12,12,12,10,10,8,16,7,7,9,13,6,8,5,4,10,10,6,5,1,4,2,9,2,2,2,1,0,0,0,0,1,0,0,0,0
"E01000849",1569,28,19,21,16,10,19,10,12,6,14,14,3,4,4,10,7,12,7,11,2,3,9,15,25,26,57,33,53,45,46,58,52,44,50,35,52,57,25,35,31,23,23,22,24,26,13,15,18,14,16,12,18,11,14,12,15,16,6,6,14,15,15,8,17,15,17,15,7,11,10,14,9,8,6,6,7,6,9,16,4,11,6,5,3,7,5,4,3,3,2,2,3,0,1,0,0,0,0,1,0,0
"E01000850",1694,7,8,8,8,10,5,7,6,4,1,3,0,6,5,3,1,2,4,50,106,53,68,54,64,40,46,51,51,66,70,43,60,32,30,36,29,43,35,25,34,30,23,17,17,16,18,23,23,14,17,9,11,15,14,22,9,18,23,14,9,10,9,7,4,7,13,3,12,13,1,5,8,5,9,8,7,9,5,5,4,4,2,8,4,0,4,3,1,2,2,0,1,0,0,1,1,0,1,0,0,0
"E01000851",2383,2,11,11,11,7,6,8,14,5,12,10,9,17,4,3,6,3,5,151,374,244,117,88,92,60,44,51,54,45,49,45,36,39,30,34,46,39,29,25,25,20,25,34,21,25,18,20,20,22,21,15,10,10,20,12,13,15,15,14,7,9,10,16,12,8,11,11,8,12,4,7,1,8,4,3,4,7,2,2,2,8,3,0,2,3,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
