"GeographyCode","QS103EW0001","QS103EW0002","QS103EW0003","QS103EW0004","QS103EW0005","QS103EW0006","QS103EW0007","QS103EW0008","QS103EW0009","QS103EW0010","QS103EW0011","QS103EW0012","QS103EW0013","QS103EW0014","QS103EW0015","QS103EW0016","QS103EW0017","QS103EW0018","QS103EW0019","QS103EW0020","QS103EW0021","QS103EW0022","QS103EW0023","QS103EW0024","QS103EW0025","QS103EW0026","QS103EW0027","QS103EW0028","QS103EW0029","QS103EW0030","QS103EW0031","QS103EW0032","QS103EW0033","QS103EW0034","QS103EW0035","QS103EW0036","QS103EW0037","QS103EW0038","QS103EW0039","QS103EW0040","QS103EW0041","QS103EW0042","QS103EW0043","QS103EW0044","QS103EW0045","QS103EW0046","QS103EW0047","QS103EW0048","QS103EW0049","QS103EW0050","QS103EW0051","QS103EW0052","QS103EW0053","QS103EW0054","QS103EW0055","QS103EW0056","QS103EW0057","QS103EW0058","QS103EW0059","QS103EW0060","QS103EW0061","QS103EW0062","QS103EW0063","QS103EW0064","QS103EW0065","QS103EW0066","QS103EW0067","QS103EW0068","QS103EW0069","QS103EW0070","QS103EW0071","QS103EW0072","QS103EW0073","QS103EW0074","QS103EW0075","QS103EW0076","QS103EW0077","QS103EW0078","QS103EW0079","QS103EW0080","QS103EW0081","QS103EW0082","QS103EW0083","QS103EW0084","QS103EW0085","QS103EW0086","QS103EW0087","QS103EW0088","QS103EW0089","QS103EW0090","QS103EW0091","QS103EW0092","QS103EW0093","QS103EW0094","QS103EW0095","QS103EW0096","QS103EW0097","QS103EW0098","QS103EW0099","QS103EW0100","QS103EW0101","QS103EW0102"
"E00004120",314,9,4,4,2,3,3,1,4,2,1,3,0,4,0,1,0,0,3,1,2,0,1,4,8,7,8,8,11,5,10,15,9,6,7,5,12,8,3,2,6,5,10,6,9,5,7,4,3,0,4,4,4,1,4,0,1,0,1,4,1,6,5,7,1,6,1,3,4,3,0,2,2,5,2,3,0,0,1,0,0,0,0,3,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"E00004121",250,9,6,6,5,3,4,6,2,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,1,3,2,3,7,10,4,6,9,13,6,6,10,6,3,4,2,3,4,7,2,1,3,2,2,1,2,1,1,2,1,2,1,4,3,4,3,2,4,3,2,6,2,2,1,3,3,2,1,5,0,3,2,2,0,1,1,1,2,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"E00004122",236,6,8,4,6,5,4,6,2,2,3,5,1,0,1,1,0,0,2,1,1,2,1,1,2,2,3,3,4,9,2,5,3,3,9,5,7,8,7,3,5,6,2,6,0,5,5,8,2,3,2,1,4,3,1,3,2,1,1,2,1,3,0,2,1,1,3,1,0,1,1,2,0,1,2,1,2,4,1,0,2,0,1,1,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"E00004123",296,6,5,4,7,6,4,7,1,3,2,2,6,2,5,2,2,2,0,2,1,3,0,3,2,8,4,7,11,5,4,5,3,4,3,3,5,8,6,6,8,8,2,3,4,2,1,1,9,6,4,4,5,4,4,3,7,3,5,1,1,3,2,1,2,1,7,0,2,4,1,4,1,0,2,4,1,0,0,0,3,0,2,2,1,1,1,2,2,0,0,2,0,0,0,1,0,0,0,0,0,0
"E00004124",176,6,4,3,0,1,3,3,2,0,4,2,0,1,0,0,0,0,1,1,0,0,1,1,3,6,5,2,5,5,3,1,5,3,4,6,4,6,1,4,3,4,4,0,2,1,4,1,2,2,2,1,0,0,1,1,2,4,3,3,5,2,1,2,1,4,3,1,0,0,0,1,0,3,1,0,1,0,2,5,1,1,0,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"E00004125",268,2,1,2,1,1,1,1,1,0,3,1,0,0,0,1,1,1,1,0,0,0,2,3,6,3,8,4,13,11,17,9,7,12,14,5,11,6,3,8,9,5,4,1,3,5,0,2,5,3,3,5,2,0,0,2,4,2,0,0,1,2,1,0,3,3,4,5,3,2,1,3,1,1,2,3,0,2,1,3,1,2,1,0,0,2,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0
"E00004126",274,3,8,3,4,1,4,1,0,2,2,2,1,1,1,2,2,0,1,2,1,0,1,1,0,6,2,3,5,5,6,14,8,6,6,11,16,8,3,10,7,12,7,8,5,2,1,4,9,3,2,2,2,4,2,1,2,2,6,1,2,0,2,1,3,2,2,3,1,1,2,1,1,0,0,2,7,0,1,0,2,0,1,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
"E00004127",265,5,2,3,4,2,3,1,0,2,1,6,1,1,1,5,1,3,1,5,0,2,1,3,8,8,9,6,13,8,7,18,7,5,6,4,3,6,2,6,4,1,1,2,6,4,2,0,2,3,1,1,3,5,3,5,4,1,0,0,2,3,3,3,3,1,5,2,1,2,3,2,2,1,1,0,1,0,3,2,0,3,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"E00004128",293,3,4,2,2,6,3,6,2,2,2,1,1,2,0,1,2,0,0,3,0,2,2,2,6,2,6,2,9,8,11,4,12,11,1,8,10,13,12,8,4,6,4,5,7,3,1,5,1,1,6,7,0,1,2,1,1,2,2,0,3,1,4,2,7,3,1,3,4,2,1,3,5,0,1,0,0,3,2,2,1,7,1,2,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"E00004129",265,5,2,5,4,3,1,1,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,2,4,4,2,12,16,7,15,3,9,13,6,13,9,7,3,6,2,4,4,3,1,4,2,2,6,6,6,3,0,1,1,2,3,3,3,0,3,3,3,0,7,3,0,2,2,1,0,6,3,3,4,3,0,2,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"E00004130",268,7,1,4,3,3,3,3,1,1,1,1,1,2,1,2,3,2,2,2,1,0,2,5,2,3,19,4,9,5,8,14,11,3,8,6,9,6,5,3,5,5,6,4,3,6,0,3,5,1,5,1,2,1,4,3,2,5,1,1,4,4,3,1,2,0,2,1,0,2,2,3,1,0,0,1,3,0,0,3,0,2,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"E00004131",280,2,6,3,2,8,2,2,4,2,3,1,3,3,0,0,11,0,1,2,2,0,0,0,2,1,6,8,2,5,4,6,8,3,3,6,6,4,2,10,8,6,3,3,3,4,7,11,8,5,13,4,3,3,3,5,6,4,0,3,0,1,2,3,5,4,3,2,2,0,2,2,1,2,2,0,2,2,2,1,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"E00004132",204,6,7,4,3,3,2,3,2,2,2,1,0,0,1,1,1,2,2,4,1,0,1,0,1,0,0,8,1,4,3,7,6,13,7,5,11,7,2,5,3,4,5,5,2,4,7,2,1,0,4,1,2,1,2,2,1,1,1,3,2,1,0,2,1,2,0,0,1,0,2,1,1,2,1,1,0,0,0,0,1,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"E00004133",255,4,2,5,7,1,4,2,5,3,5,3,1,0,2,2,1,4,2,3,1,0,0,2,2,4,9,4,6,3,7,8,4,7,9,3,8,12,5,6,4,4,3,7,5,2,4,2,2,2,2,1,11,3,6,1,2,1,1,1,1,2,2,0,3,1,1,2,3,2,2,3,3,3,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"E00004134",188,3,1,3,1,0,3,0,1,2,1,1,2,1,1,2,0,2,0,2,0,1,1,6,4,5,6,4,1,2,6,4,2,3,8,4,2,1,3,3,2,2,4,4,5,1,2,3,1,5,3,4,1,4,2,2,4,1,2,2,6,4,1,1,0,0,1,2,2,1,2,2,1,0,0,1,2,1,1,3,2,1,0,2,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
