"GeographyCode","QS108EW0001","QS108EW0002","QS108EW0003","QS108EW0004","QS108EW0005","QS108EW0006","QS108EW0007","QS108EW0008","QS108EW0009","QS108EW0010","QS108EW0011"
"E01000842",1181,616,432,148,36,565,408,33,18,68,38
"E01000843",1370,686,424,220,42,684,480,42,36,97,29
"E01000844",1483,818,560,218,40,665,497,50,22,70,26
"E01000845",1236,558,342,190,26,678,461,48,25,94,50
"E01000846",1124,464,380,68,16,660,421,33,45,98,63
"E01000847",1256,580,446,116,18,676,437,40,41,107,51
"E01000848",1356,759,500,215,44,597,407,44,18,80,48
"E01000849",1372,560,382,146,32,812,609,37,34,79,53
"E01000850",1200,400,202,128,70,800,648,37,16,60,39
"E01000851",1511,446,236,128,82,1065,863,58,34,85,25
"E01000852",933,230,156,44,30,703,575,31,14,51,32
"E01000853",1348,370,256,78,36,978,667,37,50,129,95
"E01000854",1426,374,264,56,54,1052,853,55,40,62,42
"E01000855",1663,394,224,112,58,1269,1008,89,36,92,44
"E01000856",1294,498,338,134,26,796,592,40,43,75,46
"E01000857",1197,591,406,164,21,606,404,44,18,84,56
"E01000858",1503,522,348,162,12,981,732,44,46,116,43
"E01000859",1347,668,446,186,36,679,480,26,37,108,28
"E01000860",1144,442,290,120,32,702,403,41,38,152,68
"E01000861",1384,402,216,130,56,982,796,39,38,81,28
"E01000862",1465,820,540,206,74,645,462,41,24,74,44
"E01000863",1238,484,246,200,38,754,606,38,24,57,29
"E01000864",1331,514,298,186,30,817,634,35,29,80,39
"E01000865",840,358,236,96,26,482,369,20,27,44,22
"E01000866",1717,630,386,204,40,1087,782,35,42,148,80
"E01000867",1301,447,252,166,29,854,610,56,36,92,60
"E01000868",1049,420,292,116,12,629,433,26,49,84,37
"E01000869",1793,658,354,230,74,1135,903,41,38,108,45
"E01000870",1424,552,304,218,30,872,664,28,41,86,53
"E01000871",1341,682,536,130,16,659,470,43,24,63,59
"E01000872",1662,645,370,233,42,1017,794,43,40,92,48
"E01000873",1386,625,408,197,20,761,572,37,26,87,39
"E01000874",1332,688,532,108,48,644,488,24,20,68,44
"E01000875",1450,533,262,248,23,917,700,47,45,84,41
"E01000876",1427,536,342,170,24,891,650,39,47,90,65
"E01000877",1328,654,448,176,30,674,509,32,22,84,27
"E01000878",1054,570,466,94,10,484,307,33,11,68,65
"E01000879",1067,584,438,124,22,483,310,17,23,81,52
"E01000880",1168,686,560,86,40,482,319,32,16,75,40
"E01000881",1174,570,392,156,22,604,449,35,25,67,28
"E01000882",1268,696,480,180,36,572,405,34,18,79,36
"E01000883",1137,528,396,114,18,609,449,51,20,58,31
"E01000884",1125,660,566,86,8,465,300,43,13,58,51
"E01000885",1123,692,578,104,10,431,238,51,18,46,78
"E01000886",1173,578,402,140,36,595,442,28,22,83,20
"E01000887",1256,548,342,178,28,708,508,34,26,101,39
"E01000888",1279,624,414,178,32,655,475,28,31,78,43
"E01000889",1304,484,338,136,10,820,576,28,43,88,85
"E01000890",1306,451,338,88,25,855,521,44,57,136,97
"E01000891",1193,358,238,98,22,835,603,35,43,96,58
"E01000892",1481,684,452,180,52,797,537,55,26,89,90
"E01000893",1301,714,488,204,22,587,394,23,29,87,54
"E01000894",1123,702,548,120,34,421,268,36,11,59,47
"E01000895",1378,689,446,203,40,689,430,34,23,106,96
"E01000896",1391,852,642,144,66,539,367,30,8,79,55
"E01000897",1283,802,600,162,40,481,272,28,20,93,68
"E01000898",1431,572,386,154,32,859,625,54,31,93,56
"E01000899",1279,829,680,114,35,450,269,35,18,61,67
"E01000900",1474,592,394,168,30,882,642,38,41,99,62
"E01000901",1318,474,358,102,14,844,573,47,46,106,72
"E01000902",1102,395,284,91,20,707,500,28,32,96,51
"E01000903",1226,540,364,154,22,686,467,36,27,92,64
"E01000904",1739,632,388,208,36,1107,822,35,40,133,77
"E01000905",1489,478,382,88,8,1011,692,41,53,120,105
"E01000906",1380,604,358,220,26,776,571,37,19,84,65
"E01000907",1135,458,312,132,14,677,455,19,42,95,66
"E01000908",1289,502,318,160,24,787,562,32,29,111,53
"E01000909",1370,718,536,152,30,652,444,24,28,98,58
"E01000910",1221,676,512,156,8,545,401,23,23,56,42
"E01000911",1231,606,416,156,34,625,429,28,29,83,56
"E01000912",1329,462,316,136,10,867,602,26,34,119,86
"E01000913",1410,884,694,146,44,526,329,30,27,76,64
"E01000914",1617,499,312,141,46,1118,844,86,27,104,57
"E01000915",1234,489,296,149,44,745,546,34,39,65,61
"E01000916",1483,555,312,165,78,928,701,41,45,84,57
"E01000917",1457,480,302,130,48,977,658,51,53,155,60
"E01000918",1681,534,326,132,76,1147,892,56,43,106,50
"E01000919",1494,440,264,110,66,1054,762,90,25,121,56
"E01000920",1677,670,370,212,88,1007,761,65,40,92,49
"E01000921",1689,728,364,322,42,961,791,22,37,79,32
"E01000922",1312,402,220,144,38,910,724,30,30,78,48
"E01000923",1206,532,328,182,22,674,513,26,24,84,27
"E01000924",1436,632,274,300,58,804,623,26,24,98,33
"E01000925",1162,420,292,104,24,742,503,25,49,105,60
"E01000926",1537,445,218,189,38,1092,890,35,28,93,46
"E01000927",1490,664,362,234,68,826,634,20,33,95,44
"E01000928",1316,568,384,158,26,748,554,24,36,75,59
"E01000929",1260,495,384,101,10,765,470,40,42,134,79
"E01000930",1586,495,330,125,40,1091,674,59,63,174,121
"E01000931",1581,574,382,176,16,1007,685,47,60,148,67
"E01000932",1657,664,314,302,48,993,755,41,32,121,44
"E01000933",1492,631,380,206,45,861,623,50,38,101,49
"E01000934",1233,470,350,96,24,763,508,40,44,116,55
"E01000935",1047,442,316,112,14,605,398,28,39,105,35
"E01000936",1048,364,234,92,38,684,488,33,38,72,53
"E01000937",814,236,144,68,24,578,470,36,15,35,22
"E01000938",1364,343,190,103,50,1021,802,45,59,84,31
"E01000939",921,296,236,44,16,625,443,35,33,59,55
"E01000940",933,362,260,82,20,571,435,32,14,52,38
"E01000941",973,332,232,80,20,641,437,35,42,71,56
"E01000942",1080,303,170,99,34,777,628,34,22,67,26
"E01000943",894,252,136,98,18,642,515,26,25,64,12
"E01000944",1627,366,256,76,34,1261,1058,30,39,72,62
"E01000945",1225,359,246,93,20,866,686,53,32,62,33
"E01000946",1261,467,354,87,26,794,543,50,31,99,71
"E01000947",1736,516,270,194,52,1220,1004,43,32,100,41
"E01000948",1460,654,396,196,62,806,535,35,46,121,69
"E01000949",1267,496,350,102,44,771,542,23,43,88,75
"E01000950",1100,379,287,76,16,721,498,42,40,89,52
"E01000951",1218,394,330,52,12,824,586,33,46,76,83
"E01000952",1402,466,306,128,32,936,701,42,42,88,63
"E01000953",1349,458,346,106,6,891,608,45,42,102,94
"E01000954",1194,449,340,97,12,745,506,30,54,88,67
"E01000955",1163,400,332,52,16,763,519,31,37,100,76
"E01000956",1187,396,296,80,20,791,588,32,46,81,44
"E01000957",1435,577,348,189,40,858,645,36,43,95,39
"E01000958",1707,558,330,186,42,1149,892,69,48,93,47
"E01000959",1376,402,328,64,10,974,716,36,42,92,88
"E01000960",1474,706,484,192,30,768,559,48,17,81,63
"E01000961",1228,512,426,78,8,716,481,40,41,78,76
"E01000962",1376,714,404,270,40,662,540,20,14,60,28
"E01000963",1567,760,644,100,16,807,513,76,36,71,111
"E01000964",1309,596,406,152,38,713,500,40,35,85,53
"E01000965",1315,598,342,234,22,717,563,33,24,70,27
"E01000966",1292,744,494,216,34,548,406,28,17,57,40
"E01000967",1149,622,492,98,32,527,318,51,17,87,54
"E01000968",1335,604,368,218,18,731,559,17,19,88,48
"E01000969",1791,796,506,244,46,995,805,33,22,82,53
"E01000970",1362,526,254,234,38,836,698,33,26,65,14
"E01000971",1237,666,464,166,36,571,418,36,18,57,42
"E01000972",1676,630,418,190,22,1046,759,53,57,115,62
"E01000973",1652,608,342,238,28,1044,847,27,35,103,32
"E01000974",1486,508,278,198,32,978,731,37,46,106,58
