"GeographyCode","QS108EW0001","QS108EW0002","QS108EW0003","QS108EW0004","QS108EW0005","QS108EW0006","QS108EW0007","QS108EW0008","QS108EW0009","QS108EW0010","QS108EW0011"
"E02000166",6533,3024,2176,726,122,3509,2392,131,160,499,327
"E02000167",6472,3786,2804,785,197,2686,1728,158,89,392,319
"E02000168",6663,3110,2004,974,132,3553,2688,123,149,377,216
"E02000169",5537,3192,2608,494,90,2345,1474,176,81,328,286
"E02000170",7049,3294,2294,844,156,3755,2833,179,132,394,217
"E02000171",6415,2974,1974,830,170,3441,2429,181,132,443,256
"E02000172",7923,2833,1854,802,177,5090,3631,204,252,599,404
"E02000173",6293,3168,2254,766,148,3125,2200,202,114,390,219
"E02000174",7276,2679,1474,1015,190,4597,3462,149,184,530,272
"E02000175",7718,3226,1984,1072,170,4492,3527,182,158,422,203
"E02000176",5392,2753,1874,727,152,2639,1921,164,92,297,165
"E02000177",7184,2701,1806,775,120,4483,3227,179,185,532,360
"E02000178",7601,2815,1578,1094,143,4786,3521,211,230,549,275
"E02000179",4986,2288,1592,594,102,2698,1799,163,147,396,193
"E02000180",6314,2397,1432,794,171,3917,2949,178,179,408,203
"E02000181",6627,3256,2014,1090,152,3371,2568,138,109,360,196
"E02000182",5418,2600,2046,468,86,2818,1871,215,111,317,304
"E02000183",6656,3043,2030,838,175,3613,2481,196,163,534,239
"E02000184",7196,2437,1560,703,174,4759,3641,220,214,436,248
"E02000185",6618,2533,1760,640,133,4085,2673,217,226,630,339
"E02000186",5695,2121,1266,677,178,3574,2688,166,133,377,210
"E02000187",6295,2169,1620,463,86,4126,2922,180,221,459,344
"E02000188",6437,1994,1469,399,126,4443,3370,181,200,387,305
"E02000189",4266,1365,920,321,124,2901,2168,145,144,267,177
"E02000190",5109,1493,938,423,132,3616,2717,168,154,366,211
"E02000191",5070,1450,858,356,236,3620,2939,181,104,258,138
"E02000192",5851,2194,1280,656,258,3657,2666,191,177,396,227
"E02000193",6455,1867,1126,495,246,4588,3506,321,131,423,207
