"GeographyCode","QS108EW0001","QS108EW0002","QS108EW0003","QS108EW0004","QS108EW0005","QS108EW0006","QS108EW0007","QS108EW0008","QS108EW0009","QS108EW0010","QS108EW0011"
"E00004120",245,138,94,34,10,107,70,10,3,16,8
"E00004121",206,124,102,18,4,82,58,4,1,11,8
"E00004122",182,110,82,26,2,72,48,8,3,6,7
"E00004123",232,142,114,26,2,90,64,2,3,14,7
"E00004124",147,68,52,12,4,79,60,3,1,9,6
"E00004125",252,76,46,24,6,176,129,6,8,24,9
"E00004126",237,130,82,36,12,107,69,6,6,17,9
"E00004127",227,90,56,24,10,137,101,8,7,14,7
"E00004128",254,130,88,34,8,124,91,4,3,17,9
"E00004129",243,134,72,48,14,109,88,1,2,9,9
"E00004130",231,96,64,26,6,135,116,5,4,4,6
"E00004131",228,136,106,28,2,92,56,17,2,9,8
"E00004132",158,95,56,37,2,63,47,3,1,9,3
"E00004133",208,100,78,22,0,108,79,6,3,11,9
"E00004134",166,82,64,16,2,84,66,5,1,11,1
"E00004135",139,48,22,24,2,91,68,7,6,9,1
"E00004136",190,90,54,34,2,100,79,4,3,10,4
"E00004137",236,134,96,32,6,102,56,13,4,19,10
"E00004138",196,92,64,22,6,104,67,3,6,23,5
"E00004139",209,98,70,20,8,111,66,13,18,11,3
"E00004140",182,104,68,24,12,78,53,3,2,11,9
"E00004141",171,74,46,24,4,97,70,4,5,10,8
"E00004142",210,86,64,22,0,124,101,7,1,10,5
"E00004143",200,116,74,34,8,84,61,5,2,14,2
"E00004144",184,106,72,30,4,78,54,6,0,11,7
"E00004145",178,102,72,24,6,76,56,3,3,12,2
"E00004146",222,106,44,50,12,116,82,10,7,13,4
"E00004147",203,112,56,48,8,91,66,1,1,18,5
"E00004148",151,54,38,12,4,97,57,5,3,19,13
"E00004149",271,150,108,36,6,121,94,5,1,11,10
"E00004150",270,118,78,36,4,152,134,4,1,10,3
"E00004151",237,128,70,50,8,109,78,4,2,17,8
"E00004152",195,112,88,20,4,83,58,6,4,9,6
"E00004153",180,78,42,30,6,102,70,11,3,11,7
"E00004154",212,122,88,28,6,90,58,13,5,13,1
"E00004155",198,126,100,18,8,72,51,11,2,6,2
"E00004156",184,96,60,28,8,88,58,9,9,9,3
"E00004157",185,96,78,14,4,89,70,5,2,5,7
"E00004158",223,58,38,20,0,165,109,13,10,25,8
"E00004159",278,88,76,8,4,190,131,5,15,30,9
"E00004160",167,62,44,16,2,105,53,2,8,24,18
"E00004161",174,90,46,42,2,84,53,10,6,11,4
"E00004162",213,116,58,56,2,97,77,4,2,7,7
"E00004163",297,142,114,22,6,155,111,8,11,18,7
"E00004164",286,84,68,14,2,202,123,17,17,29,16
"E00004165",261,90,62,24,4,171,105,10,11,30,15
"E00004166",284,96,74,18,4,188,109,12,13,39,15
"E00004167",208,134,114,16,4,74,44,4,3,10,13
"E00004168",168,82,64,14,4,86,56,2,5,8,15
"E00004169",276,70,62,8,0,206,168,9,2,14,13
"E00004172",217,82,26,24,32,135,102,7,4,16,6
