"GeographyCode","QS110EW0001","QS110EW0002","QS110EW0003","QS110EW0004","QS110EW0005","QS110EW0006","QS110EW0007","QS110EW0008","QS110EW0009","QS110EW0010","QS110EW0011","QS110EW0012","QS110EW0013","QS110EW0014","QS110EW0015","QS110EW0016","QS110EW0017","QS110EW0018","QS110EW0019","QS110EW0020","QS110EW0021","QS110EW0022","QS110EW0023","QS110EW0024","QS110EW0025","QS110EW0026","QS110EW0027"
"E01000842",1181,70,38,32,317,267,46,3,1,0,458,284,98,43,18,15,139,53,65,21,115,58,56,1,82,48,34
"E01000843",1370,149,82,67,430,320,99,10,1,0,472,262,129,53,22,6,136,73,52,11,112,58,53,1,71,32,39
"E01000844",1483,83,66,17,546,439,105,2,0,0,549,294,179,49,19,8,134,52,69,13,96,45,46,5,75,36,39
"E01000845",1236,112,68,44,416,350,50,6,9,1,411,246,73,53,25,14,144,60,66,18,81,36,41,4,72,39,33
"E01000846",1124,148,58,90,222,132,67,22,1,0,425,183,89,84,51,18,117,26,78,13,113,42,65,6,99,44,55
"E01000847",1256,153,64,89,300,213,68,13,6,0,487,196,151,81,46,13,127,39,74,14,102,40,60,2,87,32,55
"E01000848",1356,56,41,15,383,333,47,2,0,1,577,326,117,52,78,4,146,54,79,13,103,35,67,1,91,55,36
"E01000849",1372,110,73,37,473,417,47,7,2,0,461,285,92,55,17,12,127,64,52,11,103,59,38,6,98,59,39
"E01000850",1200,210,192,18,400,369,26,5,0,0,356,280,43,21,5,7,94,40,45,9,76,45,29,2,64,32,32
"E01000851",1511,411,386,25,414,390,13,7,1,3,457,370,34,26,22,5,119,50,54,15,69,33,29,7,41,22,19
"E01000852",933,328,311,17,204,193,9,2,0,0,162,119,14,11,10,8,86,49,30,7,84,42,41,1,69,37,32
"E01000853",1348,223,183,40,236,190,34,9,2,1,395,256,65,34,27,13,178,70,90,18,164,87,69,8,152,110,42
"E01000854",1426,542,490,52,296,236,49,6,2,3,343,226,60,38,12,7,100,40,44,16,88,40,38,10,57,24,33
"E01000855",1663,300,280,20,516,498,12,2,1,3,450,383,29,15,5,18,175,90,76,9,132,78,50,4,90,56,34
"E01000856",1294,269,169,100,364,278,62,18,3,3,435,222,56,99,46,12,117,32,70,15,61,23,30,8,48,15,33
"E01000857",1197,91,54,37,294,241,40,9,2,2,454,254,81,72,28,19,150,54,75,21,130,62,60,8,78,39,39
"E01000858",1503,323,171,152,409,319,48,23,11,8,503,254,69,86,66,28,128,33,67,28,94,32,52,10,46,23,23
"E01000859",1347,73,38,35,342,302,36,2,2,0,547,332,95,68,40,12,193,59,104,30,134,52,74,8,58,28,30
"E01000860",1144,71,40,31,196,163,27,4,1,1,388,247,60,43,29,9,187,115,64,8,197,126,68,3,105,69,36
"E01000861",1384,325,253,72,395,345,38,3,5,4,437,309,32,47,39,10,107,35,52,20,75,22,44,9,45,19,26
"E01000862",1465,108,73,35,423,378,41,2,2,0,518,288,100,76,40,14,170,45,100,25,141,38,99,4,105,38,67
"E01000863",1238,234,198,36,468,429,31,5,1,2,367,257,47,32,24,7,71,20,41,10,57,16,37,4,41,14,27
"E01000864",1331,241,164,77,408,370,35,2,0,1,449,272,74,41,48,14,107,38,52,17,71,21,47,3,55,21,34
"E01000865",840,131,104,27,207,175,21,7,4,0,285,170,38,36,38,3,103,37,51,15,76,17,55,4,38,14,24
"E01000866",1717,261,154,107,494,397,76,14,4,3,539,299,83,71,46,40,183,66,101,16,129,56,69,4,111,41,70
"E01000867",1301,290,227,63,381,309,55,10,6,1,353,201,66,50,24,12,124,36,74,14,77,40,31,6,76,34,42
"E01000868",1049,133,58,75,274,156,93,16,8,1,416,210,111,48,42,5,137,50,62,25,54,24,21,9,35,15,20
"E01000869",1793,370,310,60,548,469,58,11,9,1,523,309,119,49,30,16,164,47,98,19,116,55,55,6,72,49,23
"E01000870",1424,212,91,121,401,326,44,13,7,11,477,279,66,60,52,20,162,49,83,30,105,59,39,7,67,27,40
"E01000871",1341,149,85,64,341,289,44,5,1,2,482,177,120,125,38,22,187,28,130,29,97,20,68,9,85,31,54
"E01000872",1662,199,132,67,687,590,76,11,9,1,519,354,53,64,32,16,149,53,86,10,63,25,32,6,45,26,19
"E01000873",1386,158,104,54,473,413,50,6,3,1,415,198,113,53,44,7,169,51,96,22,102,33,67,2,69,28,41
"E01000874",1332,148,105,43,406,337,62,4,2,1,444,231,114,50,35,14,124,36,64,24,123,29,90,4,87,32,55
"E01000875",1450,235,160,75,547,494,44,6,3,0,411,271,48,52,22,18,114,47,50,17,84,44,32,8,59,31,28
"E01000876",1427,216,129,87,408,331,52,12,10,3,468,269,70,71,42,16,168,60,91,17,99,38,53,8,68,40,28
"E01000877",1328,148,97,51,475,411,57,5,2,0,446,253,114,40,21,18,125,43,64,18,80,27,52,1,54,18,36
"E01000878",1054,101,54,47,258,208,43,1,5,1,333,160,69,68,27,9,133,28,86,19,103,25,76,2,126,47,79
"E01000879",1067,89,59,30,220,188,26,3,2,1,432,215,126,53,22,16,120,37,71,12,105,31,71,3,101,33,68
"E01000880",1168,84,32,52,237,175,49,9,2,2,575,226,177,90,60,22,121,34,66,21,82,35,42,5,69,22,47
"E01000881",1174,127,99,28,375,325,46,0,1,3,426,211,102,60,49,4,93,24,56,13,82,29,48,5,71,28,43
"E01000882",1268,83,58,25,359,312,43,4,0,0,517,294,106,75,34,8,130,44,71,15,108,37,69,2,71,30,41
"E01000883",1137,122,97,25,387,343,37,6,0,1,374,202,99,45,20,8,93,31,52,10,82,33,45,4,79,36,43
"E01000884",1125,123,61,62,187,134,44,4,3,2,476,158,133,105,58,22,155,37,99,19,108,28,77,3,76,33,43
"E01000885",1123,90,52,38,181,122,50,6,3,0,388,152,110,73,39,14,164,25,120,19,170,37,127,6,130,41,89
"E01000886",1173,122,60,62,267,230,26,8,2,1,470,203,101,76,53,37,144,36,91,17,109,26,79,4,61,15,46
"E01000887",1256,108,70,38,442,381,37,19,3,2,421,226,72,81,30,12,125,43,73,9,86,31,49,6,74,29,45
"E01000888",1279,153,97,56,299,232,56,3,4,4,498,240,114,88,39,17,167,50,84,33,87,37,48,2,75,19,56
"E01000889",1304,250,124,126,291,191,61,31,3,5,428,194,76,62,79,17,159,48,87,24,88,21,54,13,88,48,40
"E01000890",1306,181,78,103,231,152,54,17,4,4,442,238,78,59,50,17,180,88,75,17,137,60,61,16,135,58,77
"E01000891",1193,233,127,106,318,212,67,21,12,6,377,199,60,56,44,18,117,58,49,10,89,50,32,7,59,27,32
"E01000892",1481,165,91,74,339,277,48,9,5,0,579,314,131,80,31,23,151,48,85,18,138,54,72,12,109,41,68
"E01000893",1301,93,40,53,291,228,50,6,6,1,503,244,107,64,66,22,174,43,100,31,133,29,97,7,107,53,54
"E01000894",1123,79,44,35,216,176,36,1,0,3,458,221,128,61,32,16,148,23,107,18,127,36,85,6,95,38,57
"E01000895",1378,101,62,39,340,291,40,7,2,0,473,231,124,80,26,12,174,72,86,16,112,58,50,4,178,114,64
"E01000896",1391,92,51,41,303,260,38,5,0,0,540,264,130,85,51,10,157,38,91,28,163,40,115,8,136,49,87
"E01000897",1283,72,35,37,278,221,52,3,1,1,526,232,139,106,31,18,164,41,102,21,119,32,79,8,124,50,74
"E01000898",1431,140,96,44,467,382,73,6,3,3,498,326,70,59,32,11,133,32,83,18,104,45,52,7,89,43,46
"E01000899",1279,84,43,41,181,126,46,7,0,2,532,224,123,117,52,16,212,47,139,26,149,33,108,8,121,32,89
"E01000900",1474,249,143,106,395,315,56,15,7,2,481,254,96,58,57,16,148,42,90,16,121,37,71,13,80,35,45
"E01000901",1318,242,111,131,332,178,107,37,8,2,489,210,93,107,52,27,128,42,65,21,71,23,37,11,56,28,28
"E01000902",1102,186,85,101,285,187,73,16,7,2,364,169,77,65,42,11,122,38,66,18,69,40,23,6,76,43,33
"E01000903",1226,138,72,66,340,277,52,4,3,4,388,213,99,37,19,20,159,65,72,22,108,57,44,7,93,60,33
"E01000904",1739,311,213,98,496,400,62,22,6,6,557,328,99,70,42,18,158,32,99,27,118,39,67,12,99,41,58
"E01000905",1489,268,147,121,313,178,81,39,9,6,499,237,95,85,51,31,151,48,83,20,118,58,48,12,140,67,73
"E01000906",1380,140,101,39,487,441,28,6,7,5,409,267,66,35,28,13,126,31,82,13,84,40,43,1,134,55,79
