"GeographyCode","QS110EW0001","QS110EW0002","QS110EW0003","QS110EW0004","QS110EW0005","QS110EW0006","QS110EW0007","QS110EW0008","QS110EW0009","QS110EW0010","QS110EW0011","QS110EW0012","QS110EW0013","QS110EW0014","QS110EW0015","QS110EW0016","QS110EW0017","QS110EW0018","QS110EW0019","QS110EW0020","QS110EW0021","QS110EW0022","QS110EW0023","QS110EW0024","QS110EW0025","QS110EW0026","QS110EW0027"
"E02000166",6533,733,368,365,1242,989,166,54,22,11,2365,1218,476,345,239,87,972,247,580,145,700,199,456,45,521,239,282
"E02000167",6472,449,240,209,1331,1081,210,26,8,6,2506,1184,612,407,227,76,865,223,523,119,684,196,455,33,637,286,351
"E02000168",6663,797,477,320,1790,1528,203,31,20,8,2418,1248,529,340,229,72,787,214,441,132,531,165,340,26,340,125,215
"E02000169",5537,487,258,229,1083,827,212,23,15,6,2204,911,615,389,206,83,693,161,442,90,568,156,393,19,502,176,326
"E02000170",7049,802,523,279,2382,2040,289,31,17,5,2306,1213,514,332,170,77,754,211,440,103,465,134,309,22,340,135,205
"E02000171",6415,686,390,296,1687,1397,219,43,17,11,2356,1196,517,362,172,109,746,242,405,99,528,205,292,31,412,164,248
"E02000172",7923,1458,875,583,1986,1421,381,123,38,23,2592,1363,482,383,271,93,853,319,425,109,558,227,273,58,476,208,268
"E02000173",6293,544,385,159,1866,1583,251,19,5,8,2341,1265,516,345,166,49,613,172,364,77,495,176,293,26,434,187,247
"E02000174",7276,1110,663,447,2336,1968,265,58,26,19,2246,1268,382,290,211,95,722,237,363,122,494,231,231,32,368,163,205
"E02000175",7718,855,580,275,3115,2793,247,43,25,7,2378,1458,455,251,142,72,650,247,322,81,452,193,230,29,268,116,152
"E02000176",5392,319,218,101,1719,1456,245,14,3,1,2045,1189,486,199,132,39,546,223,265,58,417,197,207,13,346,198,148
"E02000177",7184,1154,689,465,1976,1521,300,98,36,21,2310,1255,433,313,220,89,705,191,420,94,510,214,252,44,529,241,288
"E02000178",7601,1083,664,419,2652,2278,288,56,18,12,2357,1530,344,251,156,76,714,279,338,97,434,206,202,26,361,187,174
"E02000179",4986,562,272,290,1368,1015,284,51,17,1,1795,887,442,271,144,51,524,198,270,56,408,176,219,13,329,147,182
"E02000180",6314,1165,863,302,1818,1479,262,46,27,4,2026,1162,408,224,182,50,635,208,337,90,394,157,209,28,276,133,143
"E02000181",6627,576,406,170,2568,2240,286,25,9,8,2175,1273,489,212,162,39,623,196,362,65,358,161,183,14,327,158,169
"E02000182",5418,639,412,227,1511,1167,270,56,11,7,1822,852,425,279,201,65,553,147,342,64,415,118,272,25,478,214,264
"E02000183",6656,666,376,290,1664,1403,192,40,18,11,2410,1375,405,345,203,82,828,306,410,112,696,310,353,33,392,197,195
"E02000184",7196,1659,1231,428,2081,1537,419,72,39,14,2188,1278,308,320,209,73,592,185,322,85,360,130,192,38,316,124,192
"E02000185",6618,837,495,342,1869,1415,339,86,23,6,2170,1185,384,325,198,78,794,350,360,84,503,288,191,24,445,267,178
"E02000186",5695,1055,856,199,1826,1611,164,33,10,8,1669,1060,230,193,139,47,491,167,264,60,357,131,203,23,297,130,167
"E02000187",6295,1540,1043,497,1315,829,342,109,21,14,2011,980,429,319,208,75,590,217,296,77,421,179,199,43,418,181,237
"E02000188",6437,2010,1611,399,1219,794,288,93,31,13,1951,1022,374,291,193,71,521,159,265,97,325,130,155,40,411,208,203
"E02000189",4266,1093,789,304,1093,858,170,34,24,7,1249,635,273,183,123,35,388,122,217,49,237,94,125,18,206,104,102
"E02000190",5109,1157,970,187,1176,962,152,45,4,13,1522,1016,215,143,100,48,545,244,253,48,371,210,141,20,338,210,128
"E02000191",5070,1491,1379,112,1314,1188,97,20,3,6,1318,995,151,96,49,27,399,179,173,47,317,160,137,20,231,115,116
"E02000192",5851,938,657,281,1583,1241,230,86,16,10,2028,1321,279,231,147,50,643,253,308,82,360,166,160,34,299,153,146
"E02000193",6455,1326,1150,176,1701,1520,93,59,14,15,1968,1420,169,251,80,48,682,298,329,55,451,254,180,17,327,184,143
