"GeographyCode","QS110EW0001","QS110EW0002","QS110EW0003","QS110EW0004","QS110EW0005","QS110EW0006","QS110EW0007","QS110EW0008","QS110EW0009","QS110EW0010","QS110EW0011","QS110EW0012","QS110EW0013","QS110EW0014","QS110EW0015","QS110EW0016","QS110EW0017","QS110EW0018","QS110EW0019","QS110EW0020","QS110EW0021","QS110EW0022","QS110EW0023","QS110EW0024","QS110EW0025","QS110EW0026","QS110EW0027"
"E00004120",245,8,5,3,75,67,7,0,1,0,96,59,24,8,4,1,32,9,18,5,25,11,14,0,9,4,5
"E00004121",206,6,5,1,58,42,16,0,0,0,68,33,27,8,0,0,27,7,19,1,27,10,17,0,20,7,13
"E00004122",182,12,6,6,46,36,10,0,0,0,81,29,38,8,4,2,14,6,7,1,12,4,8,0,17,6,11
"E00004123",232,21,15,6,49,39,10,0,0,0,93,31,31,13,15,3,26,2,21,3,25,8,17,0,18,3,15
"E00004124",147,13,11,2,39,32,6,1,0,0,43,17,13,12,0,1,27,14,12,1,9,7,2,0,16,8,8
"E00004125",252,16,13,3,100,96,4,0,0,0,77,59,8,7,2,1,16,13,2,1,25,22,3,0,18,15,3
"E00004126",237,12,8,4,66,55,10,1,0,0,108,73,18,13,1,3,21,8,11,2,13,6,7,0,17,9,8
"E00004127",227,31,19,12,83,70,10,2,1,0,60,39,9,6,4,2,20,6,11,3,19,5,13,1,14,8,6
"E00004128",254,17,15,2,72,66,6,0,0,0,97,56,22,14,5,0,25,13,11,1,20,8,12,0,23,13,10
"E00004129",243,11,8,3,87,79,8,0,0,0,83,64,16,2,1,0,27,5,19,3,24,8,16,0,11,8,3
"E00004130",231,19,11,8,87,77,7,2,1,0,77,44,18,8,7,0,23,11,9,3,12,4,7,1,13,5,8
"E00004131",228,8,4,4,51,43,7,0,0,1,111,34,21,11,44,1,28,9,14,5,16,1,14,1,14,7,7
"E00004132",158,3,1,2,54,40,13,1,0,0,70,38,23,6,3,0,14,5,7,2,9,4,5,0,8,3,5
"E00004133",208,18,9,9,60,49,10,1,0,0,90,38,21,20,4,7,14,6,7,1,19,9,6,4,7,2,5
"E00004134",166,21,15,6,40,33,6,0,1,0,54,32,7,12,2,1,21,8,10,3,12,4,8,0,18,4,14
"E00004135",139,9,8,1,55,52,3,0,0,0,49,44,4,0,0,1,12,4,7,1,9,8,1,0,5,4,1
"E00004136",190,18,10,8,56,51,5,0,0,0,81,42,27,4,7,1,12,6,5,1,16,6,9,1,7,4,3
"E00004137",236,5,5,0,53,50,3,0,0,0,108,61,17,6,24,0,31,14,17,0,21,8,13,0,18,15,3
"E00004138",196,3,2,1,57,48,9,0,0,0,61,33,21,7,0,0,31,23,8,0,29,21,8,0,15,9,6
"E00004139",209,69,27,42,78,12,57,9,0,0,55,13,24,8,7,3,3,2,0,1,2,2,0,0,2,2,0
"E00004140",182,7,6,1,55,47,7,1,0,0,61,42,7,7,5,0,23,9,11,3,13,7,6,0,23,12,11
"E00004141",171,12,8,4,37,32,5,0,0,0,66,51,9,3,3,0,20,10,5,5,27,13,14,0,9,6,3
"E00004142",210,14,7,7,62,51,11,0,0,0,90,63,18,2,2,5,17,11,6,0,17,10,7,0,10,7,3
"E00004143",200,9,7,2,69,59,10,0,0,0,80,46,21,8,5,0,23,8,11,4,9,6,3,0,10,8,2
