"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E01000842",724,163,55,89,19,305,126,84,95,104,53,38,13,152,106,45,1
"E01000843",846,277,75,120,82,326,116,86,124,105,73,24,8,138,90,47,1
"E01000844",870,287,103,144,40,352,126,90,136,102,52,41,9,129,81,46,2
"E01000845",731,223,83,119,21,278,122,62,94,105,60,34,11,125,75,44,6
"E01000846",616,116,36,30,50,262,72,44,146,83,26,48,9,155,86,62,7
"E01000847",677,149,46,59,44,301,76,56,169,90,39,39,12,137,72,62,3
"E01000848",805,197,78,104,15,355,126,111,118,103,54,39,10,150,90,60,0
"E01000849",862,280,140,120,20,321,144,75,102,98,64,27,7,163,118,42,3
"E01000850",664,245,91,140,14,238,116,81,41,71,40,25,6,110,77,32,1
"E01000851",861,355,142,201,12,337,176,109,52,81,50,29,2,88,55,28,5
"E01000852",625,319,210,104,5,117,50,39,28,67,49,15,3,122,79,43,0
"E01000853",840,180,73,85,22,288,129,57,102,114,70,38,6,258,197,56,5
"E01000854",718,296,89,188,19,248,117,52,79,71,40,22,9,103,64,37,2
"E01000855",1111,454,309,139,6,344,217,91,36,138,90,42,6,175,134,41,0
"E01000856",628,182,51,94,37,290,84,76,130,82,32,40,10,74,38,31,5
"E01000857",686,139,43,74,22,277,103,73,101,104,54,35,15,166,101,60,5
"E01000858",775,224,72,111,41,353,127,69,157,91,33,36,22,107,55,45,7
"E01000859",807,165,74,80,11,367,167,90,110,135,59,52,24,140,80,54,6
"E01000860",797,120,58,47,15,278,147,51,80,151,115,32,4,248,195,51,2
"E01000861",729,257,86,146,25,321,153,84,84,75,35,28,12,76,41,32,3
"E01000862",816,220,64,140,16,319,108,90,121,114,45,52,17,163,76,85,2
