"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E02000166",3537,536,160,262,114,1497,461,374,662,665,247,324,94,839,438,371,30
"E02000167",3629,666,244,339,83,1476,431,357,688,563,223,260,80,924,482,415,27
"E02000168",3535,876,232,524,120,1545,538,355,652,538,214,239,85,576,290,273,13
"E02000169",2942,513,196,227,90,1280,280,305,695,429,161,216,52,720,332,374,14
"E02000170",3685,1207,351,704,152,1435,470,361,604,491,211,215,65,552,269,276,7
"E02000171",3502,810,220,472,118,1507,479,361,667,512,242,207,63,673,369,280,24
"E02000172",4186,1089,245,525,319,1722,560,380,782,604,319,218,67,771,435,305,31
"E02000173",3569,1005,382,518,105,1498,530,386,582,413,172,195,46,653,363,278,12
"E02000174",3822,1148,285,679,184,1527,521,395,611,499,237,203,59,648,394,227,27
"E02000175",4277,1651,536,975,140,1630,632,438,560,464,247,166,51,532,309,210,13
"E02000176",3261,927,376,457,94,1333,522,360,451,407,223,145,39,594,395,193,6
"E02000177",3865,1036,270,532,234,1567,484,404,679,472,191,227,54,790,455,308,27
"E02000178",4280,1476,439,826,211,1660,717,413,530,527,279,180,68,617,393,210,14
"E02000179",2870,765,240,328,197,1167,386,248,533,383,198,145,40,555,323,215,17
"E02000180",3394,1100,288,651,161,1366,483,338,545,434,208,186,40,494,290,193,11
"E02000181",3657,1272,338,785,149,1426,492,429,505,433,196,194,43,526,319,199,8
"E02000182",2963,845,259,428,158,1121,316,254,551,356,147,171,38,641,332,300,9
"E02000183",3881,868,311,452,105,1594,652,373,569,595,306,207,82,824,507,295,22
"E02000184",3655,1251,315,679,257,1499,530,391,578,428,185,188,55,477,254,201,22
"E02000185",3938,1050,343,466,241,1502,544,331,627,613,350,211,52,773,555,204,14
"E02000186",3099,1170,417,653,100,1106,428,323,355,354,167,148,39,469,261,187,21
"E02000187",3290,890,212,405,273,1349,432,270,647,425,217,166,42,626,360,243,23
"E02000188",3170,941,224,525,192,1301,443,287,571,358,159,139,60,570,338,209,23
"E02000189",2253,763,295,365,103,886,293,167,426,262,122,113,27,342,198,130,14
"E02000190",3181,1087,533,448,106,1123,550,239,334,395,244,129,22,576,420,141,15
"E02000191",2868,1215,532,633,50,940,459,281,200,290,179,91,20,423,275,140,8
"E02000192",3375,964,321,468,175,1430,613,368,449,483,253,180,50,498,319,168,11
"E02000193",3850,1349,656,634,59,1370,757,343,270,510,298,179,33,621,438,177,6
