"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E00004120",143,36,6,26,4,61,22,19,20,20,9,8,3,26,15,11,0
"E00004121",118,23,5,12,6,41,13,8,20,20,7,12,1,34,17,17,0
"E00004122",103,24,11,9,4,48,13,8,27,12,6,5,1,19,10,9,0
"E00004123",108,17,3,11,3,49,4,13,32,14,2,10,2,28,11,16,1
"E00004124",100,30,21,7,2,27,12,1,14,23,14,8,1,20,15,5,0
"E00004125",178,61,29,30,2,60,40,9,11,15,13,1,1,42,37,5,0
"E00004126",144,34,18,12,4,70,24,27,19,15,8,5,2,25,15,10,0
"E00004127",124,39,9,25,5,47,15,16,16,14,6,6,2,24,13,9,2
"E00004128",161,44,19,23,2,64,27,16,21,19,13,5,1,34,21,13,0
"E00004129",142,41,14,25,2,57,21,25,11,16,5,10,1,28,16,12,0
"E00004130",128,43,19,22,2,52,20,13,19,17,11,5,1,16,9,7,0
"E00004131",119,24,7,14,3,58,17,13,28,21,9,8,4,16,8,8,0
"E00004132",92,25,7,14,4,44,13,13,18,10,5,3,2,13,7,6,0
"E00004133",118,36,15,16,5,55,19,9,27,7,6,1,0,20,11,8,1
"E00004134",100,29,12,14,3,39,23,5,11,16,8,6,2,16,8,8,0
"E00004135",105,47,35,11,1,36,23,10,3,9,4,4,1,13,12,1,0
"E00004136",110,30,12,18,0,54,19,14,21,9,6,2,1,17,10,6,1
"E00004137",147,29,13,16,0,62,24,17,21,22,14,8,0,34,23,11,0
"E00004138",142,32,18,12,2,45,17,11,17,26,23,3,0,39,30,9,0
"E00004139",140,89,10,11,68,44,6,6,32,3,2,0,1,4,4,0,0
"E00004140",111,29,11,15,3,39,10,18,11,16,9,6,1,27,19,8,0
"E00004141",114,21,9,9,3,49,26,15,8,17,10,3,4,27,19,8,0
"E00004142",133,30,12,15,3,65,36,12,17,16,11,5,0,22,17,5,0
"E00004143",126,39,16,19,4,54,20,15,19,15,8,5,2,18,14,4,0
"E00004144",102,20,3,12,5,41,7,12,22,22,15,6,1,19,6,13,0
"E00004145",110,29,10,15,4,43,15,10,18,17,6,10,1,21,17,4,0
"E00004146",126,34,9,23,2,61,25,24,12,16,11,4,1,15,12,3,0
"E00004147",126,43,11,30,2,42,19,14,9,13,8,3,2,28,20,8,0
"E00004148",106,22,16,6,0,40,23,6,11,18,13,3,2,26,19,6,1
"E00004149",149,41,8,27,6,61,22,13,26,22,8,13,1,25,15,9,1
"E00004150",147,70,19,40,11,50,18,18,14,13,7,5,1,14,12,1,1
"E00004151",148,58,21,33,4,57,26,21,10,17,12,4,1,16,12,4,0
"E00004152",113,18,7,9,2,48,17,10,21,18,8,6,4,29,19,9,1
"E00004153",108,34,16,16,2,45,20,11,14,14,9,4,1,15,6,9,0
"E00004154",122,49,19,26,4,50,17,10,23,9,4,4,1,14,8,5,1
"E00004155",103,20,8,9,3,56,14,13,29,16,8,8,0,11,3,8,0
"E00004156",126,26,11,9,6,60,28,14,18,12,8,3,1,28,22,6,0
"E00004157",94,35,10,17,8,29,7,6,16,18,4,10,4,12,9,3,0
"E00004158",124,36,13,15,8,51,23,6,22,17,10,3,4,20,11,6,3
"E00004159",160,40,16,5,19,82,27,11,44,12,6,5,1,26,13,12,1
"E00004160",103,9,1,1,7,31,5,9,17,14,5,7,2,49,35,13,1
"E00004161",96,32,9,22,1,24,8,5,11,17,8,7,2,23,12,10,1
"E00004162",128,60,25,29,6,41,16,12,13,17,10,4,3,10,5,5,0
