"GeographyCode","QS112EW0001","QS112EW0002","QS112EW0003","QS112EW0004","QS112EW0005","QS112EW0006","QS112EW0007","QS112EW0008","QS112EW0009","QS112EW0010","QS112EW0011","QS112EW0012","QS112EW0013","QS112EW0014","QS112EW0015","QS112EW0016","QS112EW0017","QS112EW0018","QS112EW0019","QS112EW0020","QS112EW0021","QS112EW0022","QS112EW0023","QS112EW0024","QS112EW0025","QS112EW0026","QS112EW0027","QS112EW0028","QS112EW0029","QS112EW0030","QS112EW0031"
"E02000166",7916,1306,438,868,5085,352,2706,508,495,1261,442,22,22,0,0,0,868,462,153,163,90,1137,347,417,373,1525,199,319,37,64,906
"E02000167",7869,1380,482,898,5216,422,3452,746,722,1641,343,53,46,3,4,0,903,602,126,135,40,386,149,82,155,1273,175,312,9,51,726
"E02000168",8040,1274,290,984,4864,216,2584,450,415,1296,423,36,26,0,4,6,1105,644,177,245,39,923,276,354,293,1902,219,317,53,32,1281
"E02000169",6981,969,332,637,4695,416,3203,618,638,1604,343,34,30,0,4,0,576,306,71,180,19,466,133,164,169,1317,162,392,29,26,708
"E02000170",8293,1301,269,1032,4580,221,2850,688,606,1183,373,28,24,0,4,0,875,620,106,110,39,606,189,230,187,2412,194,476,66,24,1652
"E02000171",7789,1310,369,941,4691,196,2617,452,509,1347,309,37,34,0,0,3,1024,598,172,193,61,817,298,238,281,1788,240,281,81,39,1147
"E02000172",9919,1559,435,1124,5725,178,2556,376,415,1369,396,49,42,0,4,3,958,418,161,321,58,1984,601,841,542,2635,346,516,337,22,1414
"E02000173",7565,1447,363,1084,4339,290,2756,696,580,1298,182,36,32,0,4,0,830,598,67,147,18,427,121,113,193,1779,154,422,91,18,1094
"E02000174",8703,1437,394,1043,4665,134,1991,386,374,930,301,36,32,4,0,0,1214,702,197,275,40,1290,388,532,370,2601,263,438,160,35,1705
"E02000175",8846,1724,309,1415,4696,142,2488,726,591,931,240,26,26,0,0,0,1135,858,139,126,12,905,318,287,300,2426,161,217,87,23,1938
"E02000176",6289,1516,395,1121,3614,174,2298,690,530,917,161,42,36,0,0,6,798,608,91,82,17,302,98,76,128,1159,181,217,30,19,712
"E02000177",8863,1400,455,945,5260,180,2505,470,447,1223,365,30,26,4,0,0,846,524,156,123,43,1699,461,714,524,2203,257,436,157,67,1286
"E02000178",8823,1828,393,1435,4623,116,2006,538,447,725,296,14,14,0,0,0,1162,870,130,120,42,1325,411,592,322,2372,284,278,146,42,1622
"E02000179",6305,1147,323,824,3978,174,2189,414,464,1132,179,24,18,6,0,0,677,420,101,123,33,914,281,427,206,1180,149,268,34,22,707
"E02000180",7662,1269,290,979,4095,130,1907,386,296,961,264,23,20,0,0,3,994,588,118,244,44,1041,299,470,272,2298,213,387,334,16,1348
"E02000181",7703,1345,319,1026,4440,150,2559,720,574,1028,237,40,40,0,0,0,1074,818,150,84,22,617,163,218,236,1918,109,240,70,13,1486
"E02000182",6638,1054,332,722,4049,256,2517,568,612,1093,244,24,24,0,0,0,551,332,91,109,19,701,184,279,238,1535,171,321,121,33,889
"E02000183",7909,1776,507,1269,4627,248,2621,598,518,1194,311,24,24,0,0,0,1001,632,140,185,44,733,233,266,234,1506,155,305,81,31,934
"E02000184",8726,1284,254,1030,4503,145,2181,294,385,1129,373,34,34,0,0,0,773,486,95,141,51,1370,430,532,408,2939,442,407,675,20,1395
"E02000185",8213,1792,555,1237,4727,108,2511,468,438,1296,309,12,12,0,0,0,723,462,102,126,33,1373,387,617,369,1694,251,280,79,42,1042
"E02000186",6491,1273,261,1012,3161,144,1523,388,292,629,214,30,30,0,0,0,775,574,95,84,22,689,204,240,245,2057,144,234,369,17,1293
"E02000187",8064,1221,360,861,4704,132,2519,254,274,1577,414,9,6,3,0,0,581,248,110,159,64,1463,477,584,402,2139,260,498,592,21,768
"E02000188",7939,1164,338,826,4183,118,2217,232,367,1277,341,29,26,3,0,0,528,266,92,129,41,1291,381,526,384,2592,221,422,996,20,933
"E02000189",5407,908,198,710,2915,56,1334,216,233,682,203,26,26,0,0,0,398,242,43,89,24,1101,189,716,196,1584,153,270,427,17,717
"E02000190",5914,1747,420,1327,2652,102,1222,272,229,533,188,50,44,3,0,3,481,334,70,60,17,797,232,365,200,1515,107,190,478,21,719
"E02000191",5545,1445,275,1170,1955,124,945,300,169,337,139,56,56,0,0,0,450,386,31,30,3,380,93,173,114,2145,104,173,882,10,976
"E02000192",7021,1506,319,1187,3746,121,1740,358,274,917,191,76,76,0,0,0,789,516,129,114,30,1020,313,384,323,1769,171,326,279,15,978
"E02000193",7010,2149,438,1711,2544,144,1234,432,189,419,194,71,62,6,0,3,611,476,50,66,19,484,152,127,205,2317,132,397,603,9,1176
