"GeographyCode","QS113EW0001","QS113EW0002","QS113EW0003","QS113EW0004","QS113EW0005","QS113EW0006","QS113EW0007","QS113EW0008","QS113EW0009","QS113EW0010","QS113EW0011","QS113EW0012","QS113EW0013","QS113EW0014","QS113EW0015","QS113EW0016","QS113EW0017","QS113EW0018","QS113EW0019","QS113EW0020","QS113EW0021","QS113EW0022","QS113EW0023","QS113EW0024","QS113EW0025","QS113EW0026","QS113EW0027","QS113EW0028","QS113EW0029","QS113EW0030","QS113EW0031"
"E01000842",724,340,106,234,314,25,182,86,38,48,10,6,5,0,0,1,70,58,8,3,1,31,14,4,13,70,4,9,1,2,54
"E01000843",846,354,90,264,392,24,178,71,50,52,5,6,6,0,0,0,108,83,14,9,2,76,53,17,6,100,9,11,3,4,73
"E01000844",870,362,81,281,401,20,233,90,62,67,14,2,2,0,0,0,114,97,10,7,0,32,15,2,15,107,6,18,3,5,75
"E01000845",731,340,75,265,299,13,151,62,29,44,16,3,1,2,0,0,90,74,9,7,0,42,17,9,16,92,7,8,5,1,71
"E01000846",616,220,86,134,325,24,153,35,28,71,19,1,1,0,0,0,30,16,2,5,7,117,32,49,36,71,13,12,1,2,43
"E01000847",677,233,72,161,351,26,175,39,39,83,14,1,1,0,0,0,53,37,7,8,1,96,26,39,31,93,8,18,4,3,60
"E01000848",805,348,90,258,374,23,207,102,36,57,12,8,7,0,0,1,111,93,8,6,4,25,5,3,17,83,24,4,3,0,52
"E01000849",862,466,118,348,285,19,157,67,37,41,12,4,4,0,0,0,64,56,4,4,0,41,14,13,14,111,9,10,4,1,87
"E01000850",664,324,77,247,193,19,75,36,20,13,6,8,8,0,0,0,72,65,3,4,0,19,13,1,5,147,6,2,43,1,95
"E01000851",861,423,55,368,223,5,97,53,10,23,11,9,9,0,0,0,81,77,3,0,1,31,10,9,12,215,5,11,75,2,122
"E01000852",625,388,79,309,122,26,49,28,10,9,2,2,2,0,0,0,22,19,2,1,0,23,6,4,13,115,4,0,56,2,53
"E01000853",840,469,197,272,252,21,97,32,19,30,16,6,6,0,0,0,32,26,0,4,2,96,35,34,27,119,4,9,32,6,68
"E01000854",718,310,64,246,210,12,93,33,12,28,20,9,9,0,0,0,36,32,2,2,0,60,13,31,16,198,9,12,115,0,62
"E01000855",1111,750,134,616,192,19,89,58,12,9,10,10,10,0,0,0,57,51,4,1,1,17,5,2,10,169,12,3,40,1,113
"E01000856",628,205,38,167,294,11,136,31,17,67,21,4,4,0,0,0,53,40,4,5,4,90,28,23,39,129,15,23,14,1,76
"E01000857",686,301,101,200,311,20,166,54,31,61,20,2,2,0,0,0,78,57,11,5,5,45,13,7,25,74,4,11,1,2,56
"E01000858",775,287,55,232,359,10,151,43,36,39,33,1,1,0,0,0,71,44,9,16,2,126,52,37,37,129,18,20,13,3,75
"E01000859",807,380,80,300,332,17,189,75,35,66,13,3,3,0,0,0,92,71,12,7,2,31,11,5,15,95,4,11,1,3,76
"E01000860",797,515,195,320,237,29,112,43,19,41,9,3,3,0,0,0,60,49,5,6,0,33,13,10,10,45,4,3,6,4,28
"E01000861",729,315,41,274,239,9,79,29,16,25,9,7,7,0,0,0,64,52,6,5,1,80,32,19,29,175,11,10,42,1,111
"E01000862",816,293,76,217,405,48,203,84,41,58,20,3,3,0,0,0,116,95,9,7,5,35,13,7,15,118,8,13,7,3,87
"E01000863",667,255,30,225,266,11,104,49,19,26,10,6,6,0,0,0,92,81,6,3,2,53,18,13,22,146,4,5,23,1,113
"E01000864",717,265,42,223,311,18,122,47,20,40,15,2,2,0,0,0,94,77,10,6,1,75,30,18,27,141,9,7,19,1,105
"E01000865",451,182,31,151,173,17,85,32,13,35,5,2,2,0,0,0,47,35,6,4,2,22,7,5,10,96,12,3,12,3,66
"E01000866",926,364,97,267,391,23,149,45,26,52,26,3,3,0,0,0,101,69,16,13,3,115,44,25,46,171,18,15,10,3,125
"E01000867",675,239,74,165,268,12,96,31,17,36,12,1,1,0,0,0,73,62,4,3,4,86,24,32,30,168,7,20,28,3,110
"E01000868",584,219,39,180,281,4,113,35,13,46,19,1,0,0,0,1,59,22,7,26,4,104,39,40,25,84,13,22,0,0,49
"E01000869",967,364,104,260,385,14,147,48,28,45,26,5,5,0,0,0,131,98,11,19,3,88,35,25,28,218,12,8,43,0,155
"E01000870",774,316,86,230,343,17,126,45,22,40,19,1,1,0,0,0,105,71,16,14,4,94,39,24,31,115,13,13,4,2,83
"E01000871",632,183,51,132,303,23,183,57,33,54,39,2,2,0,0,0,54,40,6,6,2,41,15,7,19,146,18,48,2,0,78
"E01000872",913,382,51,331,349,8,156,69,34,36,17,2,2,0,0,0,114,93,10,9,2,69,26,19,24,182,11,15,6,0,150
"E01000873",710,235,61,174,327,17,170,60,26,62,22,3,2,0,1,0,77,59,9,2,7,60,19,24,17,148,12,13,2,5,116
"E01000874",704,227,61,166,351,42,214,80,55,63,16,5,5,0,0,0,55,46,5,3,1,35,16,4,15,126,5,11,7,3,100
"E01000875",839,369,75,294,317,10,107,52,26,19,10,1,1,0,0,0,114,100,11,3,0,85,36,31,18,153,12,8,16,7,110
"E01000876",800,342,78,264,336,12,138,54,24,44,16,1,1,0,0,0,84,66,3,9,6,101,33,34,34,122,17,15,13,0,77
"E01000877",726,274,45,229,335,20,194,78,47,55,14,1,1,0,0,0,84,72,5,6,1,36,15,14,7,117,4,5,3,3,102
