"GeographyCode","QS113EW0001","QS113EW0002","QS113EW0003","QS113EW0004","QS113EW0005","QS113EW0006","QS113EW0007","QS113EW0008","QS113EW0009","QS113EW0010","QS113EW0011","QS113EW0012","QS113EW0013","QS113EW0014","QS113EW0015","QS113EW0016","QS113EW0017","QS113EW0018","QS113EW0019","QS113EW0020","QS113EW0021","QS113EW0022","QS113EW0023","QS113EW0024","QS113EW0025","QS113EW0026","QS113EW0027","QS113EW0028","QS113EW0029","QS113EW0030","QS113EW0031"
"E00004120",143,52,15,37,73,3,41,21,8,10,2,2,2,0,0,0,18,17,0,1,0,9,4,1,4,18,1,2,0,1,14
"E00004121",118,42,17,25,69,10,41,14,6,16,5,0,0,0,0,0,10,7,2,1,0,8,2,0,6,7,0,0,0,1,6
"E00004122",103,40,10,30,55,7,31,5,11,14,1,0,0,0,0,0,12,10,2,0,0,5,0,2,3,8,1,2,1,0,4
"E00004123",108,20,11,9,70,8,42,9,10,16,7,0,0,0,0,0,12,7,2,3,0,8,2,0,6,18,1,4,0,0,13
"E00004124",100,62,15,47,35,5,21,5,5,7,4,0,0,0,0,0,6,5,0,1,0,3,1,1,1,3,0,2,0,0,1
"E00004125",178,119,37,82,41,1,20,13,4,2,1,0,0,0,0,0,10,9,0,1,0,10,5,1,4,18,1,0,1,0,16
"E00004126",144,65,15,50,68,5,37,16,10,9,2,0,0,0,0,0,21,18,2,0,1,5,1,0,4,11,3,0,0,0,8
"E00004127",124,43,13,30,53,5,22,9,5,5,3,2,2,0,0,0,9,8,1,0,0,15,4,6,5,28,1,3,3,0,21
"E00004128",161,80,21,59,64,7,35,16,5,13,1,1,1,0,0,0,18,16,1,1,0,3,1,0,2,17,2,1,2,0,12
"E00004129",142,56,16,40,72,4,30,20,4,5,1,6,6,0,0,0,24,20,2,1,1,8,0,0,8,14,1,1,1,0,11
"E00004130",128,59,9,50,45,1,26,10,5,10,1,2,2,0,0,0,11,10,1,0,0,5,1,2,2,24,0,3,0,1,20
"E00004131",119,41,8,33,59,4,38,16,8,11,3,0,0,0,0,0,14,10,1,1,2,3,0,2,1,19,12,0,0,0,7
"E00004132",92,32,7,25,48,1,26,10,6,9,1,0,0,0,0,0,17,12,2,3,0,4,1,1,2,12,1,1,0,0,10
"E00004133",118,51,11,40,46,1,33,9,11,11,2,0,0,0,0,0,8,7,1,0,0,4,2,1,1,21,5,2,0,0,14
"E00004134",100,51,8,43,36,6,22,10,5,6,1,0,0,0,0,0,7,4,1,2,0,1,1,0,0,13,1,0,1,2,9
"E00004135",105,74,12,62,23,1,8,7,1,0,0,0,0,0,0,0,13,12,1,0,0,1,1,0,0,8,2,0,0,0,6
"E00004136",110,47,10,37,44,4,20,6,5,9,0,1,1,0,0,0,16,13,1,2,0,3,1,2,0,19,1,2,1,0,15
"E00004137",147,74,23,51,63,2,41,24,3,10,4,1,0,0,0,1,17,17,0,0,0,2,2,0,0,10,5,1,0,0,4
"E00004138",142,88,30,58,49,5,28,15,5,8,0,2,2,0,0,0,10,7,2,1,0,4,1,1,2,5,0,1,0,0,4
"E00004139",140,22,4,18,104,0,32,4,21,7,0,0,0,0,0,0,14,8,6,0,0,58,46,12,0,14,6,3,1,0,4
"E00004140",111,49,19,30,51,6,29,20,4,5,0,2,1,0,0,1,11,8,1,1,1,3,1,1,1,11,1,1,0,0,9
"E00004141",114,64,19,45,44,6,17,8,2,4,3,0,0,0,0,0,13,10,2,1,0,8,5,0,3,6,1,0,0,1,4
"E00004142",133,76,17,59,39,3,27,12,6,7,2,0,0,0,0,0,6,3,3,0,0,3,2,0,1,18,1,1,0,0,16
"E00004143",126,58,14,44,63,0,35,17,9,7,2,0,0,0,0,0,20,17,0,3,0,8,4,0,4,5,1,1,0,0,3
"E00004144",102,31,6,25,55,4,32,9,10,11,2,0,0,0,0,0,14,10,1,2,1,5,1,1,3,16,0,2,0,1,13
"E00004145",110,48,17,31,57,4,34,15,9,9,1,1,1,0,0,0,12,10,2,0,0,6,2,1,3,5,0,0,1,0,4
