"GeographyCode","QS115EW0001","QS115EW0002","QS115EW0003","QS115EW0004","QS115EW0005","QS115EW0006","QS115EW0007","QS115EW0008","QS115EW0009","QS115EW0010","QS115EW0011","QS115EW0012"
"E00004120",143,52,15,37,91,5,13,19,41,0,2,11
"E00004121",118,42,17,25,76,1,16,24,26,1,0,8
"E00004122",103,40,10,30,63,2,8,20,18,4,5,6
"E00004123",108,20,11,9,88,2,14,22,16,6,6,22
"E00004124",100,62,15,47,38,1,5,12,11,1,2,6
"E00004125",178,119,37,82,59,6,2,5,29,0,2,15
"E00004126",144,65,15,50,79,1,10,16,37,5,1,9
"E00004127",124,43,13,30,81,8,9,8,33,1,5,17
"E00004128",161,80,21,59,81,1,14,18,38,1,4,5
"E00004129",142,56,16,40,86,0,15,10,47,1,3,10
"E00004130",128,59,9,50,69,2,4,11,30,2,7,13
"E00004131",119,41,8,33,78,2,14,16,24,3,12,7
"E00004132",92,32,7,25,60,0,5,19,29,2,2,3
"E00004133",118,51,11,40,67,2,5,18,21,3,6,12
"E00004134",100,51,8,43,49,1,10,10,17,1,2,8
"E00004135",105,74,12,62,31,1,1,2,24,0,1,2
"E00004136",110,47,10,37,63,1,8,14,25,2,5,8
"E00004137",147,74,23,51,73,2,8,11,37,3,5,7
"E00004138",142,88,30,58,54,2,9,15,26,0,2,0
"E00004139",140,22,4,18,118,57,0,39,17,1,2,2
"E00004140",111,49,19,30,62,2,8,8,33,2,3,6
"E00004141",114,64,19,45,50,3,7,9,24,0,0,7
"E00004142",133,76,17,59,57,0,3,13,25,2,2,12
"E00004143",126,58,14,44,68,4,3,13,35,4,3,6
"E00004144",102,31,6,25,71,2,11,23,22,1,2,10
"E00004145",110,48,17,31,62,2,5,13,34,1,3,4
"E00004146",126,57,12,45,69,0,3,7,42,2,5,10
"E00004147",126,58,20,38,68,2,8,6,39,3,2,8
"E00004148",106,71,19,52,35,2,3,6,10,2,3,9
"E00004149",149,53,15,38,96,3,10,21,37,1,5,19
"E00004150",147,56,12,44,91,1,1,19,42,1,4,23
"E00004151",148,71,12,59,77,0,5,13,48,2,0,9
"E00004152",113,51,19,32,62,0,10,15,18,4,6,9
