"GeographyCode","QS201EW0001","QS201EW0002","QS201EW0003","QS201EW0004","QS201EW0005","QS201EW0006","QS201EW0007","QS201EW0008","QS201EW0009","QS201EW0010","QS201EW0011","QS201EW0012","QS201EW0013","QS201EW0014","QS201EW0015","QS201EW0016","QS201EW0017","QS201EW0018","QS201EW0019"
"E01000842",1444,670,45,0,454,7,17,25,17,40,5,0,38,50,18,14,2,2,40
"E01000843",1678,788,30,0,377,16,15,35,36,46,5,70,28,66,88,16,13,9,40
"E01000844",1772,670,30,0,638,13,6,42,39,92,14,5,90,50,5,19,14,10,35
"E01000845",1464,744,36,0,363,13,10,31,18,27,8,34,42,50,54,4,6,6,18
"E01000846",1501,585,32,0,264,23,12,20,29,23,16,87,31,54,177,13,73,17,45
"E01000847",1686,623,41,4,331,16,21,31,27,79,25,102,42,87,109,23,55,33,37
"E01000848",1588,752,26,0,473,5,5,43,21,47,11,4,39,60,14,11,2,33,42
"E01000849",1569,706,35,0,452,6,10,32,40,69,9,18,36,64,20,14,10,16,32
"E01000850",1694,686,49,3,345,5,6,36,41,86,9,16,156,115,32,6,34,38,31
"E01000851",2383,962,52,0,461,9,6,50,41,149,31,49,238,131,60,19,40,33,52
"E01000852",1587,561,40,0,332,10,10,24,23,59,28,23,256,108,47,5,5,25,31
"E01000853",1631,698,60,0,215,27,21,24,26,21,9,174,64,69,104,44,41,24,10
"E01000854",1833,441,29,0,295,7,21,18,31,125,13,232,115,130,144,42,43,38,109
"E01000855",1764,856,51,1,354,3,4,35,22,56,17,23,112,98,16,7,42,22,45
"E01000856",1645,646,52,5,237,27,12,51,29,25,5,213,44,71,117,18,44,34,15
"E01000857",1447,794,39,0,336,5,13,24,28,19,3,58,28,30,26,11,3,3,27
"E01000858",1861,727,88,1,260,27,17,27,67,34,8,162,30,51,170,53,55,30,54
"E01000859",1586,970,50,0,358,18,12,35,16,19,1,0,25,31,18,5,8,1,19
"E01000860",1307,758,69,0,256,8,11,19,12,21,3,7,15,44,24,21,7,13,19
"E01000861",1574,724,80,1,289,28,14,26,15,43,8,116,24,40,67,38,25,13,23
"E01000862",1712,978,44,0,382,5,5,47,12,52,2,19,21,23,35,6,10,11,60
"E01000863",1481,714,92,0,328,14,11,8,22,35,7,27,22,55,66,17,30,19,14
"E01000864",1537,859,48,4,221,23,7,23,29,18,5,62,22,38,50,36,40,25,27
"E01000865",1505,786,40,1,291,21,3,14,25,63,14,27,105,41,37,9,8,7,13
"E01000866",2030,1040,73,3,317,29,24,32,43,22,12,104,16,39,96,65,24,24,67
"E01000867",1608,634,52,1,266,16,19,22,33,17,4,179,78,79,102,23,35,17,31
