"GeographyCode","QS201EW0001","QS201EW0002","QS201EW0003","QS201EW0004","QS201EW0005","QS201EW0006","QS201EW0007","QS201EW0008","QS201EW0009","QS201EW0010","QS201EW0011","QS201EW0012","QS201EW0013","QS201EW0014","QS201EW0015","QS201EW0016","QS201EW0017","QS201EW0018","QS201EW0019"
"E02000166",7924,4764,317,7,1202,142,54,187,123,76,7,149,75,150,253,125,76,43,174
"E02000167",7944,4606,162,7,1963,37,25,194,120,163,25,17,121,207,85,41,22,37,112
"E02000168",8172,4879,346,2,1165,141,55,191,149,85,24,254,69,155,243,136,85,29,164
"E02000169",7637,3663,174,1,1957,58,37,214,158,324,53,24,155,337,95,57,35,82,213
"E02000170",8338,4041,336,2,1818,88,34,190,159,284,76,106,144,300,195,93,94,180,198
"E02000171",7818,4225,246,13,1542,115,51,148,171,157,26,270,122,186,176,106,53,50,161
"E02000172",10147,4675,382,11,1280,167,149,150,241,114,65,825,174,302,747,227,246,144,248
"E02000173",7675,3155,186,2,2037,72,44,202,194,300,89,103,234,503,124,103,70,64,193
"E02000174",8714,4311,321,13,1271,120,93,93,168,190,44,501,81,298,563,176,140,162,169
"E02000175",8848,3983,295,4,1938,106,87,145,157,319,81,199,184,389,391,159,108,124,179
"E02000176",6373,2798,136,0,2017,31,38,142,117,248,39,27,203,224,57,58,28,61,149
"E02000177",8948,4132,330,15,1251,156,86,131,156,91,41,682,124,299,661,191,253,145,204
"E02000178",8857,3388,515,10,1674,156,96,123,179,253,57,295,148,348,628,227,267,246,247
"E02000179",6329,2740,139,4,1335,68,58,117,110,175,54,293,143,257,428,56,147,65,140
"E02000180",8202,3800,260,8,1351,122,62,112,191,146,40,498,256,255,541,153,205,85,117
"E02000181",7708,3559,261,8,2014,57,46,127,114,310,62,98,193,325,166,88,39,65,176
"E02000182",6697,2309,107,2,1581,56,38,100,91,389,108,201,221,670,255,74,101,170,224
"E02000183",7913,4227,290,1,1592,63,58,152,135,145,17,246,119,179,273,96,83,58,179
"E02000184",8882,3550,314,13,1364,142,81,146,173,186,36,909,246,320,680,152,229,170,171
"E02000185",8290,2776,427,13,1589,96,75,109,157,202,62,386,130,399,765,215,221,391,277
"E02000186",6687,2958,250,3,1432,63,48,78,113,201,29,254,136,302,354,71,149,103,143
"E02000187",8155,2602,240,5,991,74,126,80,170,144,51,1511,257,332,817,161,247,134,213
"E02000188",8322,2718,173,5,1131,66,84,120,108,269,72,1394,456,374,554,174,171,254,199
"E02000189",5944,1686,115,1,895,48,59,60,190,203,62,944,283,307,455,201,216,79,140
"E02000190",7530,2757,179,0,1355,82,71,113,125,254,84,634,658,375,359,118,120,135,111
"E02000191",7497,2650,170,3,1433,31,43,128,136,419,81,320,765,484,283,72,122,134,223
"E02000192",7157,2754,198,10,1226,90,66,114,121,164,57,1019,221,242,429,90,124,87,145
"E02000193",7630,3231,184,4,1494,47,36,214,122,272,47,344,575,359,225,76,111,135,154
