"GeographyCode","QS201EW0001","QS201EW0002","QS201EW0003","QS201EW0004","QS201EW0005","QS201EW0006","QS201EW0007","QS201EW0008","QS201EW0009","QS201EW0010","QS201EW0011","QS201EW0012","QS201EW0013","QS201EW0014","QS201EW0015","QS201EW0016","QS201EW0017","QS201EW0018","QS201EW0019"
"E00004120",314,133,8,0,101,3,8,5,3,11,3,0,15,4,7,0,0,0,13
"E00004121",250,118,3,0,72,5,2,4,5,17,1,0,8,5,1,2,1,0,6
"E00004122",236,96,9,0,51,0,1,9,8,16,9,5,5,10,2,1,0,9,5
"E00004123",296,147,4,0,74,0,1,10,6,13,10,2,16,1,6,1,0,2,3
"E00004124",176,90,1,0,45,0,1,6,1,1,0,0,5,15,4,0,0,1,6
"E00004125",268,111,6,0,84,0,1,5,7,13,2,0,15,12,1,1,0,5,5
"E00004126",274,133,5,0,76,3,2,5,3,17,1,0,9,6,3,4,0,0,7
"E00004127",265,129,8,0,65,3,8,4,4,3,0,15,0,11,1,3,2,5,4
"E00004128",293,133,5,0,92,1,0,9,4,11,4,2,10,13,0,0,2,2,5
"E00004129",265,130,8,0,70,0,1,7,3,7,5,0,10,7,4,2,0,8,3
"E00004130",268,104,9,0,94,0,0,4,7,15,3,0,5,9,11,1,0,3,3
"E00004131",280,111,3,0,88,1,1,13,1,2,0,0,6,22,5,0,0,17,10
"E00004132",204,114,1,0,61,0,1,4,8,4,1,1,1,0,1,1,0,0,6
"E00004133",255,107,3,0,80,1,0,4,13,15,0,3,5,3,0,9,7,0,5
"E00004134",188,100,4,0,45,1,0,5,3,8,0,1,9,7,0,2,0,0,3
"E00004135",143,67,5,0,35,0,0,4,3,11,3,0,3,4,3,0,0,1,4
"E00004136",228,136,0,0,65,1,0,3,5,3,1,0,0,9,2,0,1,0,2
"E00004137",272,131,4,0,86,0,0,5,2,6,0,1,3,12,1,4,0,6,11
"E00004138",225,95,10,0,65,0,0,3,7,11,2,0,3,12,4,0,3,3,7
"E00004139",333,59,2,0,34,6,8,8,9,8,0,69,1,16,76,7,9,5,16
"E00004140",206,93,10,0,70,1,2,3,1,7,0,0,2,5,1,3,0,1,7
"E00004141",188,86,13,0,46,0,1,7,3,7,1,0,8,2,4,3,1,0,6
"E00004142",237,109,9,0,69,2,0,3,1,11,0,0,7,15,1,1,1,0,8
"E00004143",242,104,8,0,84,2,1,9,1,6,2,1,3,9,0,3,0,2,7
"E00004144",230,135,0,0,60,4,1,4,5,2,1,0,7,5,0,4,0,0,2
"E00004145",256,108,2,0,98,1,1,3,6,3,1,0,3,17,4,6,0,0,3
"E00004146",249,128,7,0,60,4,1,5,6,8,1,0,6,11,4,3,0,0,5
"E00004147",225,135,7,0,48,0,5,7,1,6,0,0,2,6,2,0,0,1,5
"E00004148",175,110,1,0,43,0,0,1,1,4,1,0,3,5,1,0,0,1,4
"E00004149",337,185,9,0,84,0,2,14,4,10,0,6,7,9,0,0,2,2,3
"E00004150",304,114,6,0,92,1,0,4,10,15,5,0,29,13,0,6,0,3,6
