"GeographyCode","QS203EW0001","QS203EW0002","QS203EW0003","QS203EW0004","QS203EW0005","QS203EW0006","QS203EW0007","QS203EW0008","QS203EW0009","QS203EW0010","QS203EW0011","QS203EW0012","QS203EW0013","QS203EW0014","QS203EW0015","QS203EW0016","QS203EW0017","QS203EW0018","QS203EW0019","QS203EW0020","QS203EW0021","QS203EW0022","QS203EW0023","QS203EW0024","QS203EW0025","QS203EW0026","QS203EW0027","QS203EW0028","QS203EW0029","QS203EW0030","QS203EW0031","QS203EW0032","QS203EW0033","QS203EW0034","QS203EW0035","QS203EW0036","QS203EW0037","QS203EW0038","QS203EW0039","QS203EW0040","QS203EW0041","QS203EW0042","QS203EW0043","QS203EW0044","QS203EW0045","QS203EW0046","QS203EW0047","QS203EW0048","QS203EW0049","QS203EW0050","QS203EW0051","QS203EW0052","QS203EW0053","QS203EW0054","QS203EW0055","QS203EW0056","QS203EW0057","QS203EW0058","QS203EW0059","QS203EW0060","QS203EW0061","QS203EW0062","QS203EW0063","QS203EW0064","QS203EW0065","QS203EW0066","QS203EW0067","QS203EW0068","QS203EW0069","QS203EW0070","QS203EW0071","QS203EW0072","QS203EW0073","QS203EW0074","QS203EW0075","QS203EW0076","QS203EW0077","QS203EW0078"
"E01000842",1444,1015,736,677,7,35,17,0,0,0,0,0,0,30,249,201,144,35,32,15,5,21,36,57,0,32,2,23,48,9,39,64,3,8,1,2,5,53,3,2,31,2,15,0,157,53,18,35,61,16,14,31,21,0,17,4,0,0,20,7,13,2,152,121,99,22,0,27,4,1,3,56,0,56,46,10,0,0
"E01000843",1678,1228,972,920,5,31,16,0,0,0,0,0,0,21,235,172,127,30,28,27,5,9,28,45,2,14,2,27,63,11,52,104,9,18,1,5,12,75,4,15,35,2,19,2,171,36,9,27,52,6,8,38,53,33,16,1,0,3,30,13,17,0,139,98,76,22,4,26,11,4,7,36,0,36,25,11,0,0
"E01000844",1772,1205,828,774,4,35,15,0,0,0,0,0,0,24,353,252,195,46,47,37,2,6,57,57,1,32,5,19,101,7,94,61,9,5,1,3,1,46,4,0,32,1,9,1,280,68,20,48,95,26,31,38,77,0,54,11,4,8,39,8,31,1,166,130,107,23,4,30,2,0,2,60,0,60,42,18,0,0
"E01000845",1464,1086,829,780,9,27,13,0,0,1,0,0,0,30,226,191,146,38,36,23,4,14,31,45,3,12,1,29,35,4,31,56,10,11,3,6,2,35,4,11,10,6,4,0,155,35,14,21,43,11,13,19,44,18,15,4,1,6,32,14,18,1,119,93,71,22,2,21,3,2,1,48,0,48,34,14,0,0
"E01000846",1501,1069,847,816,3,21,7,0,0,2,1,0,0,29,190,104,78,16,14,16,5,13,14,26,0,13,0,13,86,2,84,148,10,45,6,14,25,92,1,57,7,5,22,1,183,45,15,30,37,6,13,18,73,43,16,10,0,4,28,14,14,0,79,38,34,4,1,34,6,2,4,22,0,22,12,10,0,0
"E01000847",1686,1183,925,879,16,21,9,0,0,0,0,0,0,33,225,139,102,22,19,16,6,12,27,37,0,13,2,22,86,3,83,162,20,33,11,11,11,107,4,54,17,9,23,2,227,66,22,44,47,5,11,31,90,41,37,5,0,7,23,13,10,1,84,43,33,10,5,27,9,3,6,30,0,27,16,11,3,0
"E01000848",1588,1120,822,774,9,30,9,0,0,0,0,0,0,18,280,217,177,39,51,21,6,12,48,40,0,12,1,27,63,1,62,61,15,6,1,2,3,39,3,0,28,2,6,1,169,39,5,34,27,6,5,16,35,1,22,9,0,3,67,40,27,1,184,148,113,35,3,28,5,2,3,54,0,53,37,16,1,0
"E01000849",1569,1167,865,814,10,29,12,0,0,0,0,0,1,37,264,215,160,34,38,23,6,7,52,55,0,8,14,33,49,4,45,68,10,9,3,3,3,49,6,4,26,5,8,0,160,35,12,23,52,3,11,38,41,8,25,1,6,1,31,8,23,1,112,84,64,20,3,18,7,5,2,62,0,62,37,25,0,0
"E01000850",1694,1164,829,764,10,28,27,0,0,0,0,0,0,38,297,261,204,64,36,27,14,21,42,57,4,24,1,28,36,6,30,62,12,10,2,7,1,40,3,3,20,0,14,0,316,38,7,31,110,35,27,48,41,8,27,4,1,1,124,39,85,3,105,67,56,11,3,28,7,0,7,47,0,47,41,6,0,0
"E01000851",2383,1634,1168,1097,16,33,22,0,0,1,1,0,0,28,436,370,276,86,34,62,4,28,62,94,7,38,13,36,66,5,61,115,22,10,1,1,8,83,7,11,16,4,45,0,427,43,9,34,157,85,41,31,83,27,37,14,1,4,138,20,118,6,149,100,82,18,6,33,10,1,9,58,0,58,44,14,0,0
"E01000852",1587,973,678,620,14,27,16,0,1,0,0,0,0,32,263,205,151,16,22,31,6,16,60,54,3,11,4,36,58,6,52,60,10,16,2,10,4,30,2,3,6,3,16,4,437,36,12,24,206,92,38,76,67,11,33,21,1,1,120,4,116,8,88,59,39,20,5,22,2,1,1,29,0,29,21,8,0,0
"E01000853",1631,1188,914,861,7,24,22,0,0,0,1,0,0,62,211,180,121,24,16,33,9,17,22,59,0,35,6,18,31,6,25,86,8,13,9,2,2,65,3,13,8,6,35,0,253,27,9,18,63,24,17,22,105,84,9,5,4,3,58,27,31,0,83,50,42,8,1,19,13,6,7,21,0,21,14,7,0,0
"E01000854",1833,1118,759,724,8,14,13,0,0,0,1,0,0,17,341,311,220,65,28,21,6,41,59,91,0,63,8,20,30,1,29,67,16,20,2,6,12,31,1,9,2,1,18,0,467,51,12,39,98,56,22,20,249,137,76,23,6,7,66,12,54,3,144,93,82,11,18,30,3,1,2,37,0,37,28,9,0,0
"E01000855",1764,1296,969,901,9,33,24,0,2,0,0,0,1,45,281,237,195,39,27,54,16,9,50,42,5,16,2,19,44,2,42,57,11,9,1,3,5,37,6,4,9,0,18,0,231,22,3,19,94,41,25,28,51,13,20,6,8,4,56,17,39,8,116,84,59,25,8,19,5,3,2,64,0,63,50,13,1,0
"E01000856",1645,1227,970,927,8,23,10,0,2,0,1,0,0,31,225,143,101,32,12,20,8,7,22,42,1,20,6,15,82,8,74,96,17,21,4,8,9,58,1,28,4,1,24,0,203,32,10,22,28,11,12,5,111,88,8,2,2,11,32,10,22,0,90,60,54,6,0,24,6,3,3,29,0,29,24,5,0,0
"E01000857",1447,1116,907,843,10,35,18,0,1,0,0,0,1,30,178,147,124,24,24,20,4,5,47,23,0,9,1,13,31,2,29,44,8,7,1,4,2,29,3,4,14,3,5,0,97,27,9,18,13,5,7,1,49,25,9,3,9,3,8,3,5,0,148,123,89,34,5,16,4,2,2,42,0,41,23,18,1,0
"E01000858",1861,1404,1150,1106,14,22,8,0,0,0,1,0,0,62,191,136,99,18,14,23,9,6,29,37,1,7,3,26,55,9,46,139,30,33,8,15,10,76,4,33,4,2,33,0,198,48,18,30,20,9,6,5,101,69,19,5,8,0,26,6,20,3,85,37,27,10,2,32,14,5,9,35,0,35,27,8,0,0
