"GeographyCode","QS203EW0001","QS203EW0002","QS203EW0003","QS203EW0004","QS203EW0005","QS203EW0006","QS203EW0007","QS203EW0008","QS203EW0009","QS203EW0010","QS203EW0011","QS203EW0012","QS203EW0013","QS203EW0014","QS203EW0015","QS203EW0016","QS203EW0017","QS203EW0018","QS203EW0019","QS203EW0020","QS203EW0021","QS203EW0022","QS203EW0023","QS203EW0024","QS203EW0025","QS203EW0026","QS203EW0027","QS203EW0028","QS203EW0029","QS203EW0030","QS203EW0031","QS203EW0032","QS203EW0033","QS203EW0034","QS203EW0035","QS203EW0036","QS203EW0037","QS203EW0038","QS203EW0039","QS203EW0040","QS203EW0041","QS203EW0042","QS203EW0043","QS203EW0044","QS203EW0045","QS203EW0046","QS203EW0047","QS203EW0048","QS203EW0049","QS203EW0050","QS203EW0051","QS203EW0052","QS203EW0053","QS203EW0054","QS203EW0055","QS203EW0056","QS203EW0057","QS203EW0058","QS203EW0059","QS203EW0060","QS203EW0061","QS203EW0062","QS203EW0063","QS203EW0064","QS203EW0065","QS203EW0066","QS203EW0067","QS203EW0068","QS203EW0069","QS203EW0070","QS203EW0071","QS203EW0072","QS203EW0073","QS203EW0074","QS203EW0075","QS203EW0076","QS203EW0077","QS203EW0078"
"E02000166",7924,6673,5703,5379,73,167,82,1,1,2,1,0,0,199,768,589,428,70,109,56,29,26,138,161,4,52,16,89,179,42,137,322,27,87,12,30,45,207,9,52,93,11,42,1,424,94,48,46,78,10,24,44,152,80,50,5,5,12,98,38,60,2,376,210,152,58,6,120,40,10,30,129,0,128,90,38,1,0
"E02000167",7944,6105,4917,4653,38,153,71,1,1,0,2,0,3,107,1076,943,743,182,165,124,17,38,217,200,11,70,12,107,133,12,121,291,27,34,2,19,13,228,17,4,162,13,32,2,491,125,41,84,152,38,23,91,112,10,71,12,16,3,98,36,62,4,776,655,556,99,9,89,23,7,16,281,0,278,204,74,3,0
"E02000168",8172,6871,5880,5569,53,166,91,1,0,0,3,2,0,227,759,615,435,92,114,74,22,35,98,180,10,70,6,94,144,24,120,313,36,62,10,32,20,213,10,59,72,11,61,2,472,85,30,55,103,30,26,47,206,140,45,7,8,6,78,26,52,0,374,220,171,49,7,92,55,21,34,141,0,140,98,42,1,1
"E02000169",7637,5534,4215,3997,30,121,65,0,2,2,2,0,0,111,1204,960,726,149,173,126,25,45,208,234,6,79,18,131,244,22,222,321,46,41,6,26,9,233,25,7,155,17,29,1,933,326,147,179,218,48,23,147,236,16,170,20,23,7,148,58,90,5,688,559,471,88,19,85,25,9,16,161,0,158,97,61,3,0
"E02000170",8338,6340,4823,4506,62,150,105,0,0,0,3,1,2,242,1269,1025,723,178,97,159,34,57,198,302,16,136,9,141,244,27,217,447,84,73,15,28,30,289,41,43,137,25,43,1,845,282,128,154,151,60,26,65,260,59,97,37,37,30,143,66,77,9,475,314,234,80,8,122,31,13,18,231,0,229,139,90,2,0
"E02000171",7818,6187,5095,4832,47,142,71,3,0,1,1,0,0,158,932,751,582,130,118,104,25,45,160,169,13,58,7,91,181,26,155,300,41,62,7,22,33,196,16,30,92,5,53,1,642,137,55,82,129,46,25,58,286,132,93,9,24,28,86,27,59,4,446,283,226,57,15,99,49,23,26,243,0,238,157,81,5,0
"E02000172",10147,7848,6595,6315,53,146,79,2,0,2,2,0,2,285,962,727,529,121,62,102,77,58,109,198,5,74,12,107,235,33,202,753,111,194,30,52,112,441,16,244,56,0,125,7,1013,172,58,114,144,68,35,41,511,372,56,37,9,37,176,91,85,10,398,165,117,48,10,151,72,18,54,135,0,133,99,34,2,0
"E02000173",7675,5126,3693,3468,44,123,58,0,0,1,3,0,0,125,1304,1091,838,179,179,135,30,81,234,253,4,110,18,121,213,41,172,339,48,52,14,25,13,239,21,22,132,18,46,0,1213,282,110,172,350,53,42,255,313,48,166,52,30,17,261,134,127,7,792,626,540,86,19,127,20,9,11,205,0,204,160,44,1,0
"E02000174",8714,7006,5520,5214,58,149,88,0,11,2,2,0,3,228,1251,1093,845,105,127,112,54,70,377,248,10,97,8,133,158,22,136,605,46,153,36,46,71,402,12,153,108,12,117,4,628,88,41,47,106,22,26,58,331,241,43,20,4,23,98,50,48,5,330,156,114,42,12,106,56,20,36,145,0,143,92,51,2,0
"E02000175",8848,6446,4953,4638,62,153,98,0,2,2,1,0,0,219,1271,1010,729,186,95,165,39,63,181,281,13,120,28,120,261,25,236,542,69,106,26,33,47,364,33,108,131,19,73,3,977,237,90,147,249,49,41,159,332,105,127,40,41,19,149,33,116,10,485,289,218,71,16,123,57,17,40,396,0,396,217,179,0,2
