"GeographyCode","QS203EW0001","QS203EW0002","QS203EW0003","QS203EW0004","QS203EW0005","QS203EW0006","QS203EW0007","QS203EW0008","QS203EW0009","QS203EW0010","QS203EW0011","QS203EW0012","QS203EW0013","QS203EW0014","QS203EW0015","QS203EW0016","QS203EW0017","QS203EW0018","QS203EW0019","QS203EW0020","QS203EW0021","QS203EW0022","QS203EW0023","QS203EW0024","QS203EW0025","QS203EW0026","QS203EW0027","QS203EW0028","QS203EW0029","QS203EW0030","QS203EW0031","QS203EW0032","QS203EW0033","QS203EW0034","QS203EW0035","QS203EW0036","QS203EW0037","QS203EW0038","QS203EW0039","QS203EW0040","QS203EW0041","QS203EW0042","QS203EW0043","QS203EW0044","QS203EW0045","QS203EW0046","QS203EW0047","QS203EW0048","QS203EW0049","QS203EW0050","QS203EW0051","QS203EW0052","QS203EW0053","QS203EW0054","QS203EW0055","QS203EW0056","QS203EW0057","QS203EW0058","QS203EW0059","QS203EW0060","QS203EW0061","QS203EW0062","QS203EW0063","QS203EW0064","QS203EW0065","QS203EW0066","QS203EW0067","QS203EW0068","QS203EW0069","QS203EW0070","QS203EW0071","QS203EW0072","QS203EW0073","QS203EW0074","QS203EW0075","QS203EW0076","QS203EW0077","QS203EW0078"
"E00004120",314,214,153,141,1,8,3,0,0,0,0,0,0,4,57,44,21,4,6,1,1,1,8,23,0,19,0,4,13,1,12,15,0,4,1,2,1,11,0,0,5,0,6,0,39,16,10,6,16,11,1,4,6,0,5,1,0,0,1,0,1,0,39,30,27,3,0,8,1,0,1,7,0,7,5,2,0,0
"E00004121",250,182,135,127,1,3,4,0,0,0,0,0,0,2,45,30,24,9,5,3,0,0,7,6,0,3,0,3,15,1,14,12,2,1,0,1,0,9,1,0,5,0,3,0,18,0,0,0,6,0,1,5,8,0,6,0,2,0,3,0,3,1,26,14,13,1,0,12,0,0,0,12,0,12,11,1,0,0
"E00004122",236,164,133,127,4,1,1,0,0,0,0,0,0,3,28,26,22,5,2,4,1,0,10,4,0,1,1,2,2,1,1,13,5,3,0,3,0,5,0,0,3,0,2,0,38,11,1,10,11,1,1,9,14,4,8,2,0,0,2,0,2,0,13,7,4,3,0,4,2,1,1,8,0,8,4,4,0,0
"E00004123",296,218,174,164,4,4,2,0,0,0,0,0,0,2,42,34,24,2,6,1,2,1,12,10,0,4,0,6,8,1,7,18,1,4,1,1,2,13,1,0,4,7,1,0,30,17,6,11,6,2,4,0,5,1,2,2,0,0,2,0,2,0,21,12,9,3,4,5,0,0,0,9,0,9,5,4,0,0
"E00004124",176,133,104,96,3,4,1,0,0,0,0,0,0,1,28,19,17,3,4,2,0,2,6,2,0,0,1,1,9,3,6,7,2,0,0,0,0,5,2,0,1,1,1,0,19,2,0,2,9,1,1,7,2,0,2,0,0,0,6,3,3,0,14,12,10,2,0,2,0,0,0,3,0,3,3,0,0,0
"E00004125",268,187,135,123,2,9,1,0,0,0,0,0,1,8,43,37,26,6,6,5,0,2,7,11,0,3,3,5,6,1,5,11,2,1,0,1,0,8,1,0,5,1,1,0,33,4,0,4,15,1,5,9,10,0,5,1,3,1,4,1,3,0,22,17,13,4,0,4,1,0,1,15,0,15,7,8,0,0
"E00004126",274,208,152,145,2,3,2,0,0,0,0,0,0,2,54,41,36,3,13,2,3,1,14,5,0,1,0,4,13,1,12,8,3,0,0,0,0,4,1,0,2,0,1,1,25,5,1,4,6,1,0,5,6,0,5,1,0,0,8,2,6,0,22,15,14,1,1,5,1,1,0,11,0,11,9,2,0,0
"E00004127",265,207,161,155,1,5,0,0,0,0,0,0,0,6,40,29,18,4,3,3,1,0,7,11,0,0,0,11,11,0,11,7,3,0,0,0,0,4,0,0,1,0,3,0,22,1,0,1,5,0,1,4,11,6,2,0,3,0,5,2,3,0,19,13,6,7,1,3,2,2,0,10,0,10,5,5,0,0
"E00004128",293,206,149,138,1,8,2,0,0,0,0,0,0,3,54,44,36,11,8,5,0,4,8,8,0,4,0,4,10,0,10,7,1,0,0,0,0,6,1,0,5,0,0,0,31,4,0,4,8,1,0,7,10,1,6,3,0,0,8,1,7,1,37,32,20,12,1,4,0,0,0,12,0,12,10,2,0,0
"E00004129",265,183,136,126,2,5,3,0,0,0,0,0,0,3,44,36,27,4,8,3,1,2,9,9,0,3,0,6,8,0,8,19,4,1,0,1,0,14,1,0,10,2,1,0,31,7,0,7,8,1,4,3,7,0,3,4,0,0,9,2,7,0,24,14,11,3,1,9,0,0,0,8,0,8,3,5,0,0
