"GeographyCode","QS204EW0001","QS204EW0002","QS204EW0003","QS204EW0004","QS204EW0005","QS204EW0006","QS204EW0007","QS204EW0008","QS204EW0009","QS204EW0010","QS204EW0011","QS204EW0012","QS204EW0013","QS204EW0014","QS204EW0015","QS204EW0016","QS204EW0017","QS204EW0018","QS204EW0019","QS204EW0020","QS204EW0021","QS204EW0022","QS204EW0023","QS204EW0024","QS204EW0025","QS204EW0026","QS204EW0027","QS204EW0028","QS204EW0029","QS204EW0030","QS204EW0031","QS204EW0032","QS204EW0033","QS204EW0034","QS204EW0035","QS204EW0036","QS204EW0037","QS204EW0038","QS204EW0039","QS204EW0040","QS204EW0041","QS204EW0042","QS204EW0043","QS204EW0044","QS204EW0045","QS204EW0046","QS204EW0047","QS204EW0048","QS204EW0049","QS204EW0050","QS204EW0051","QS204EW0052","QS204EW0053","QS204EW0054","QS204EW0055","QS204EW0056","QS204EW0057","QS204EW0058","QS204EW0059","QS204EW0060","QS204EW0061","QS204EW0062","QS204EW0063","QS204EW0064","QS204EW0065","QS204EW0066","QS204EW0067","QS204EW0068","QS204EW0069","QS204EW0070","QS204EW0071","QS204EW0072","QS204EW0073","QS204EW0074","QS204EW0075","QS204EW0076","QS204EW0077","QS204EW0078","QS204EW0079","QS204EW0080","QS204EW0081","QS204EW0082","QS204EW0083","QS204EW0084","QS204EW0085","QS204EW0086","QS204EW0087","QS204EW0088","QS204EW0089","QS204EW0090","QS204EW0091","QS204EW0092","QS204EW0093","QS204EW0094","QS204EW0095","QS204EW0096","QS204EW0097","QS204EW0098","QS204EW0099","QS204EW0100","QS204EW0101","QS204EW0102","QS204EW0103","QS204EW0104"
"E01000842",1380,1105,2,0,0,0,0,0,0,0,0,35,10,30,108,20,27,26,1,2,1,0,0,3,2,0,9,4,3,8,0,0,0,2,6,3,1,1,1,0,0,0,0,7,5,2,13,9,0,4,0,0,5,1,3,0,0,1,0,0,0,0,0,0,0,0,47,0,2,11,27,1,0,1,0,4,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0
"E01000843",1543,1220,0,0,0,0,0,0,0,0,0,28,7,25,82,22,23,8,4,2,3,0,0,4,0,8,4,1,2,1,0,0,0,0,22,9,6,2,1,4,0,0,0,12,8,7,29,19,0,6,0,4,32,0,3,0,0,29,0,0,0,0,0,0,0,0,43,1,2,7,19,6,0,1,2,5,0,0,0,0,0,0,27,1,8,13,1,1,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0
"E01000844",1645,1272,0,0,0,0,0,0,0,0,0,53,15,10,130,34,31,25,1,3,3,1,0,4,2,6,2,12,3,3,0,0,0,0,41,29,3,4,0,5,0,0,0,19,7,2,25,12,0,8,4,1,9,1,4,0,0,2,2,0,0,0,0,0,0,0,58,5,4,18,23,1,0,1,0,6,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"E01000845",1407,1131,0,0,0,0,0,0,0,0,0,32,7,19,85,16,21,7,0,2,1,2,1,8,0,9,1,10,1,4,0,0,0,2,7,2,2,0,0,3,0,0,0,15,4,3,22,8,0,9,4,1,21,1,0,0,0,19,0,0,0,1,0,0,0,0,36,0,3,11,11,2,0,0,0,6,3,0,0,0,0,0,21,1,0,15,0,0,0,0,0,0,0,0,0,0,1,4,2,2,2,2,0,0
"E01000846",1436,1040,0,0,0,0,0,0,0,0,0,23,17,25,36,12,5,10,0,2,0,0,0,0,0,4,1,0,0,0,1,0,1,0,56,41,4,6,0,5,0,0,0,14,2,12,29,5,7,13,4,0,65,4,4,0,0,57,0,0,0,0,0,0,0,0,37,0,0,10,4,7,1,1,2,10,2,0,0,0,0,0,80,3,6,59,2,1,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0
"E01000847",1587,1157,0,0,0,0,0,0,0,0,0,25,10,24,62,9,16,9,1,1,2,0,0,5,0,2,7,4,6,0,0,0,0,0,61,58,2,0,0,1,0,0,0,11,4,30,34,8,2,9,8,7,59,2,0,0,0,42,7,1,0,2,0,0,0,5,50,0,11,5,20,6,0,0,1,7,0,0,0,0,0,0,59,4,3,45,1,1,0,0,1,0,0,0,0,1,0,3,1,1,0,0,0,0
"E01000848",1513,1209,0,0,0,0,0,0,0,0,0,37,14,15,101,17,31,6,1,0,1,0,0,3,1,8,7,11,5,7,2,1,0,0,15,7,7,0,0,1,0,0,0,20,2,12,13,9,0,1,3,0,12,4,0,1,0,2,2,0,2,1,0,0,0,0,59,2,0,4,11,1,0,2,0,39,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0
"E01000849",1501,1230,0,0,0,0,0,0,0,0,0,32,10,21,100,16,29,1,1,0,9,0,1,7,1,18,3,7,4,2,0,0,1,0,10,2,5,1,0,2,1,1,0,15,7,3,13,4,0,8,0,1,18,1,4,0,0,6,1,0,0,3,0,0,0,3,36,4,0,1,22,3,0,1,0,4,1,0,0,0,0,0,5,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"E01000850",1671,1215,4,3,0,0,0,0,0,0,3,63,26,25,133,22,37,21,1,1,1,3,1,2,3,27,6,6,1,1,0,0,0,0,4,2,1,0,0,1,0,0,0,7,4,13,8,4,0,4,0,0,24,1,9,1,0,8,1,1,0,2,0,0,0,1,130,3,18,38,15,21,2,7,2,20,4,0,0,0,0,0,10,1,1,2,0,0,1,0,0,0,0,0,1,0,0,4,2,2,0,0,0,0
"E01000851",2359,1727,0,0,0,0,0,0,0,0,0,87,19,50,178,46,19,37,2,2,8,6,3,2,0,27,2,12,4,2,2,4,0,0,10,3,2,0,0,5,0,0,0,19,2,18,24,9,0,11,0,4,43,6,3,0,0,26,3,0,0,3,0,0,0,2,154,15,17,71,15,6,4,10,4,11,1,0,0,0,0,0,28,1,15,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
